time,latitude,longitude,altitude_ft,airspeed_kts,groundspeed_kts,vertical_speed_fpm,roll_deg,pitch_deg,heading_deg,accel_x,accel_y,accel_z,gyro_p,gyro_q,gyro_r
0.000,42.3601,-71.0942,1500.0,95.0,98.0,0.0,0.0,3.5,90.0,0.05,-0.02,9.81,0.01,-0.01,0.00
0.100,42.3602,-71.0940,1500.5,95.2,98.1,50.0,0.5,3.6,90.1,0.08,-0.03,9.82,0.05,-0.01,0.02
0.200,42.3603,-71.0938,1501.0,95.4,98.3,100.0,1.0,3.7,90.2,0.12,-0.05,9.83,0.08,0.00,0.04
0.300,42.3604,-71.0936,1501.5,95.6,98.5,100.0,1.5,3.8,90.3,0.15,-0.08,9.84,0.12,0.01,0.06
0.400,42.3605,-71.0934,1502.0,95.8,98.7,100.0,2.0,3.9,90.4,0.18,-0.10,9.85,0.15,0.02,0.08
0.500,42.3606,-71.0932,1502.5,96.0,99.0,100.0,2.5,4.0,90.5,0.20,-0.12,9.86,0.18,0.02,0.10
0.600,42.3607,-71.0930,1503.0,96.2,99.2,100.0,3.0,4.1,90.6,0.22,-0.14,9.87,0.20,0.03,0.12
0.700,42.3608,-71.0928,1503.5,96.4,99.4,100.0,3.5,4.2,90.7,0.24,-0.16,9.88,0.22,0.03,0.14
0.800,42.3609,-71.0926,1504.0,96.6,99.6,100.0,4.0,4.3,90.8,0.26,-0.18,9.89,0.24,0.04,0.16
0.900,42.3610,-71.0924,1504.5,96.8,99.8,100.0,4.5,4.4,90.9,0.28,-0.20,9.90,0.26,0.04,0.18
1.000,42.3611,-71.0922,1505.0,97.0,100.0,100.0,5.0,4.5,91.0,0.30,-0.22,9.91,0.28,0.05,0.20
1.100,42.3612,-71.0920,1505.5,97.2,100.2,100.0,5.5,4.6,91.1,0.32,-0.24,9.92,0.30,0.05,0.22
1.200,42.3613,-71.0918,1506.0,97.4,100.4,100.0,6.0,4.7,91.2,0.34,-0.26,9.93,0.32,0.06,0.24
1.300,42.3614,-71.0916,1506.5,97.6,100.6,100.0,6.5,4.8,91.3,0.36,-0.28,9.94,0.34,0.06,0.26
1.400,42.3615,-71.0914,1507.0,97.8,100.8,100.0,7.0,4.9,91.4,0.38,-0.30,9.95,0.36,0.07,0.28
1.500,42.3616,-71.0912,1507.5,98.0,101.0,100.0,7.5,5.0,91.5,0.40,-0.32,9.96,0.38,0.07,0.30
1.600,42.3617,-71.0910,1508.0,98.2,101.2,100.0,8.0,5.1,91.6,0.42,-0.34,9.97,0.40,0.08,0.32
1.700,42.3618,-71.0908,1508.5,98.4,101.4,100.0,8.5,5.2,91.7,0.44,-0.36,9.98,0.42,0.08,0.34
1.800,42.3619,-71.0906,1509.0,98.6,101.6,100.0,9.0,5.3,91.8,0.46,-0.38,9.99,0.44,0.09,0.36
1.900,42.3620,-71.0904,1509.5,98.8,101.8,100.0,9.5,5.4,91.9,0.48,-0.40,10.00,0.46,0.09,0.38
2.000,42.3621,-71.0902,1510.0,99.0,102.0,100.0,10.0,5.5,92.0,0.50,-0.42,10.01,0.48,0.10,0.40
2.100,42.3622,-71.0900,1510.5,99.0,102.0,100.0,10.5,5.5,92.1,0.52,-0.44,10.01,0.50,0.10,0.42
2.200,42.3623,-71.0898,1511.0,99.0,102.0,100.0,11.0,5.5,92.2,0.54,-0.46,10.01,0.52,0.11,0.44
2.300,42.3624,-71.0896,1511.5,99.0,102.0,100.0,11.5,5.5,92.3,0.56,-0.48,10.01,0.54,0.11,0.46
2.400,42.3625,-71.0894,1512.0,99.0,102.0,100.0,12.0,5.5,92.4,0.58,-0.50,10.01,0.56,0.12,0.48
2.500,42.3626,-71.0892,1512.5,99.0,102.0,100.0,12.5,5.5,92.5,0.60,-0.52,10.01,0.58,0.12,0.50
2.600,42.3627,-71.0890,1513.0,99.0,102.0,100.0,13.0,5.5,92.6,0.58,-0.50,10.01,0.56,0.11,0.48
2.700,42.3628,-71.0888,1513.5,99.0,102.0,100.0,13.5,5.5,92.7,0.56,-0.48,10.01,0.54,0.10,0.46
2.800,42.3629,-71.0886,1514.0,99.0,102.0,100.0,14.0,5.5,92.8,0.54,-0.46,10.01,0.52,0.09,0.44
