t,ax,ay,az,gx,gy,gz
0.000000,0.034558,0.082162,0.033044,-0.011430,0.005996,-0.008764
0.020000,-0.130316,0.090536,0.044637,0.008228,0.011089,-0.018024
0.040000,-0.053695,0.058112,0.036457,-0.001491,-0.015868,-0.000749
0.060000,0.029413,0.002842,0.054671,0.008992,-0.013768,0.017892
0.080000,-0.073645,-0.016291,-0.048212,-0.003246,-0.011976,-0.001393
0.100000,0.059885,0.003972,-0.029246,0.007768,-0.013929,-0.000143
0.120000,-0.078191,-0.025719,0.000814,-0.013898,0.011875,0.001379
0.140000,-0.027560,0.129406,0.100672,-0.004427,0.010175,-0.013066
0.160000,-0.271116,-0.188901,-0.017477,-0.004117,0.018275,-0.001431
0.180000,-0.042219,0.021364,0.021732,0.013376,0.001757,-0.007196
0.200000,0.211784,-0.111202,-0.037761,-0.002662,0.000569,-0.004300
0.220000,0.204277,0.064670,0.066306,-0.008447,-0.008024,-0.015045
0.240000,-0.051401,-0.164808,0.016746,0.000891,0.003721,0.007273
0.260000,0.010901,-0.122735,-0.068323,-0.018276,0.007839,-0.000391
0.280000,-0.007204,-0.094475,-0.009827,-0.014506,0.000758,0.007926
0.300000,0.009548,0.003559,-0.050629,0.005004,0.007033,0.009233
0.320000,0.059375,0.089117,0.032085,0.008740,-0.000575,-0.021042
0.340000,-0.081823,0.073165,-0.050144,-0.007812,0.003346,-0.004909
0.360000,0.087916,-0.107179,0.091447,0.006644,0.007768,0.000274
0.380000,-0.002006,-0.124875,-0.031390,0.018592,-0.009955,0.009111
0.400000,0.005410,0.027279,-0.098219,-0.004926,-0.008005,0.005688
0.420000,-0.110737,0.019958,-0.046675,-0.006356,0.008393,-0.011863
0.440000,0.023551,0.075952,-0.164879,0.000156,-0.008629,-0.002545
0.460000,0.025439,0.122465,-0.029753,-0.003914,-0.011480,0.006363
0.480000,-0.081081,0.075224,0.025345,-0.012642,-0.009991,0.008728
0.500000,0.089588,-0.034522,-0.148182,0.009547,0.006494,0.003220
0.520000,-0.011001,-0.044583,0.077532,0.022603,-0.012274,-0.007610
0.540000,0.019363,-0.163085,-0.119516,-0.010113,0.008815,0.002710
0.560000,0.088379,0.067977,-0.064024,0.010940,0.009558,-0.002416
0.580000,-0.000105,0.044557,0.046840,-0.008354,-0.010084,0.021957
0.600000,0.087624,0.025649,-0.009483,0.009518,0.005775,-0.003543
0.620000,-0.025885,0.105574,-0.225085,-0.002134,-0.003591,-0.003388
0.640000,-0.013866,0.003300,-0.142535,-0.024185,-0.000762,-0.003971
0.660000,0.033281,-0.065128,0.086244,0.002750,0.001948,0.008387
0.680000,-0.012559,0.066915,0.121884,-0.000276,0.007824,-0.025754
0.700000,0.038293,-0.087572,-0.151432,-0.011157,0.017114,-0.012335
0.720000,0.175338,-0.011129,-0.068856,-0.002933,0.006926,-0.008967
0.740000,0.014426,-0.019141,0.085214,0.007084,-0.014423,-0.019275
0.760000,0.003393,0.001375,-0.071458,-0.013435,-0.016679,-0.000319
0.780000,0.046957,-0.103387,0.066589,-0.003319,0.003143,-0.010499
0.800000,0.152394,-0.152469,-0.246623,0.025288,-0.001096,-0.000599
0.820000,0.061688,0.254790,-0.100092,0.004417,-0.002576,-0.006455
0.840000,-0.125070,0.058897,-0.084072,0.000718,0.009048,0.006518
0.860000,-0.050603,-0.034812,0.053200,0.009281,-0.005778,-0.007883
0.880000,-0.040530,0.027788,-0.017653,0.019912,-0.002519,0.004657
0.900000,-0.084467,-0.031983,-0.095040,0.007259,0.014085,-0.013632
0.920000,0.000651,-0.112387,-0.109289,-0.004921,-0.004453,-0.003131
0.940000,0.145696,-0.005318,-0.005390,-0.024242,-0.001076,-0.029052
0.960000,0.051154,-0.042086,-0.022854,0.002871,0.005268,0.005874
0.980000,0.042515,0.028242,-0.115930,-0.012151,0.009450,-0.008739
1.000000,0.083334,-0.059043,-0.105608,-0.012368,-0.009898,-0.008570
1.020000,-0.087215,-0.039055,0.164996,0.001635,0.009010,-0.021101
1.040000,-0.106255,0.016008,-0.204744,-0.005493,0.012329,0.001962
1.060000,0.025145,0.089957,-0.003425,0.005018,-0.007456,0.009487
1.080000,-0.018253,0.023151,0.105761,-0.015689,0.015305,0.013613
1.100000,0.135589,0.197247,0.076295,0.018794,0.025882,0.008810
1.120000,0.039403,-0.012598,0.071665,-0.006063,0.024779,0.011694
1.140000,0.143487,-0.003003,0.123487,0.000016,0.038511,-0.014106
1.160000,0.003659,0.082963,0.079122,0.001506,0.057682,-0.007942
1.180000,0.095290,0.063775,0.301818,-0.005071,0.079586,0.001783
1.200000,0.307027,0.016116,0.112958,-0.002886,0.065948,-0.006196
1.220000,0.592745,0.088026,0.130541,-0.002500,0.105368,-0.006105
1.240000,0.277690,0.008698,0.129050,0.017943,0.097409,-0.003576
1.260000,0.424219,-0.045907,0.448512,0.008435,0.119805,-0.008303
1.280000,0.556322,-0.271129,0.372256,-0.001318,0.142519,-0.017157
1.300000,0.351564,0.110964,0.427459,-0.002485,0.152900,-0.004037
1.320000,0.621203,-0.106512,0.635933,0.007354,0.164223,-0.003645
1.340000,0.820671,-0.106477,0.532212,0.000376,0.192887,-0.002212
1.360000,0.602289,-0.002357,0.409132,0.015166,0.191809,0.012865
1.380000,0.905368,-0.096918,0.545315,-0.008578,0.213965,0.003640
1.400000,0.815359,-0.064756,0.588237,0.020548,0.238521,-0.004059
1.420000,0.752398,-0.013346,0.529956,0.012991,0.240492,-0.007914
1.440000,0.805017,-0.020689,0.645680,0.004487,0.255589,0.009537
1.460000,0.890586,-0.029310,0.783255,-0.005497,0.269290,0.006345
1.480000,0.884337,-0.013665,0.666847,0.002780,0.274707,-0.006976
1.500000,0.891025,-0.126449,0.806819,0.009038,0.284475,0.004963
