t,ax,ay,az,gx,gy,gz
0.000000,0.015236,-0.051999,0.037523,0.012490,0.006877,0.019661
0.010000,0.047028,-0.097552,-0.065109,-0.015478,-0.002654,-0.004625
0.020000,0.006392,-0.015812,-0.000840,-0.019737,0.010603,-0.002704
0.030000,-0.042652,0.043970,0.038890,0.007396,0.023598,-0.003532
0.040000,0.003302,0.056362,0.023375,-0.004212,0.001187,0.009872
0.050000,-0.042965,0.018438,-0.047944,-0.005667,-0.006310,0.010572
0.060000,0.043923,-0.002496,-0.009243,0.003786,-0.020447,-0.012254
0.070000,-0.034046,0.061127,-0.007726,0.015012,0.004019,-0.007622
0.080000,-0.021416,-0.017607,0.026615,-0.001704,0.000132,0.007357
0.090000,0.018272,0.020637,0.021541,-0.013583,-0.008409,0.002730
0.100000,0.107082,-0.020321,-0.025612,-0.000998,0.005719,-0.012295
0.110000,-0.040689,0.030799,0.056449,0.003571,0.010916,0.004868
0.120000,-0.005697,-0.042008,-0.041224,0.001391,-0.000959,-0.008349
0.130000,0.032530,0.037163,0.027158,-0.000720,0.012597,-0.001190
0.140000,-0.033275,0.011608,0.005834,-0.008898,-0.004922,0.002009
0.150000,0.010934,0.043571,0.011180,-0.003735,0.004853,0.005228
0.160000,0.033946,0.003379,0.014456,0.008890,0.014236,0.009959
0.170000,0.031564,-0.072858,-0.015984,-0.009342,-0.009035,-0.000758
0.180000,-0.023519,-0.031944,-0.013757,-0.004512,-0.011383,-0.004417
0.190000,0.074747,-0.043292,0.048414,-0.004745,-0.006718,-0.003158
0.200000,-0.084143,-0.016744,0.008138,0.011785,0.001992,0.024718
0.210000,0.029311,0.035561,0.039667,0.001705,-0.002901,0.000041
0.220000,-0.017436,-0.023118,0.042899,0.002565,0.004353,0.020767
0.230000,-0.009565,-0.063784,-0.056664,-0.008453,0.008590,0.002078
0.240000,-0.045973,0.024858,0.007121,-0.015711,0.007707,0.012676
0.250000,0.034524,-0.021363,0.007927,-0.008572,-0.000089,-0.017254
0.260000,0.031280,-0.015467,0.022839,-0.012588,0.010480,-0.004664
0.270000,-0.033096,-0.018153,-0.019087,-0.011088,0.002295,-0.005224
0.280000,-0.059792,0.024349,-0.023470,-0.004708,0.007393,-0.011617
0.290000,0.000625,0.024037,0.022327,-0.009054,0.001541,0.009694
0.300000,0.033269,-0.004924,-0.021165,0.012382,-0.006651,0.009374
0.310000,-0.003986,-0.084367,-0.072356,-0.007841,0.018262,-0.011338
0.320000,-0.066135,-0.049862,0.019989,0.013285,-0.006565,0.020132
0.330000,-0.045274,-0.018908,0.064961,0.005913,-0.010160,-0.005222
0.340000,-0.017813,0.036876,-0.046681,0.007812,0.010526,-0.000707
0.350000,-0.010272,-0.047501,-0.016952,0.000447,0.007584,0.001318
0.360000,0.042015,-0.086366,0.021721,-0.012935,-0.008130,0.002351
0.370000,0.011887,-0.029707,-0.072303,0.012155,0.016160,0.007795
0.380000,0.003606,-0.026475,0.011634,0.002873,0.007488,-0.006668
0.390000,0.001093,0.080089,-0.011968,-0.001532,-0.008241,-0.012487
0.400000,-0.051175,0.008964,0.011000,0.003335,0.001855,0.006877
0.410000,0.067959,0.041756,0.017844,0.005461,0.002426,0.005566
0.420000,0.073165,-0.059438,-0.031988,-0.000427,0.004129,-0.007261
0.430000,-0.046329,-0.019490,-0.068834,0.003697,0.006684,-0.006697
0.440000,0.031758,-0.011111,-0.073540,0.000518,-0.006236,-0.005265
0.450000,-0.050779,0.015676,0.041906,-0.011249,0.012658,0.010657
0.460000,0.099837,0.145693,0.020720,0.005374,0.019722,-0.001892
0.470000,-0.049477,-0.106602,0.013386,0.030318,-0.002275,0.002552
0.480000,-0.040647,-0.020768,-0.030605,-0.003978,0.003723,0.008356
0.490000,-0.007040,0.053299,0.007852,-0.001139,0.017767,0.002391
0.500000,-0.007932,-0.051783,-0.083734,0.002705,-0.009090,0.004185
0.510000,-0.024315,-0.002689,0.088396,-0.001340,-0.006082,-0.007765
0.520000,0.006514,0.049137,-0.024965,0.026718,-0.002635,-0.014570
0.530000,-0.059247,-0.048256,-0.036261,-0.006982,-0.000516,0.005467
0.540000,0.106423,-0.041069,0.041924,0.005548,0.006766,-0.006449
0.550000,-0.045146,0.046579,0.019248,0.003404,-0.008761,-0.006196
0.560000,-0.007832,-0.002038,-0.032739,-0.009177,-0.011884,0.010642
0.570000,0.022304,-0.022749,-0.061280,0.006886,0.009767,0.000393
0.580000,-0.063897,0.008629,0.078955,0.007768,-0.017613,0.008631
0.590000,0.008000,-0.005932,0.014291,0.001771,0.006271,0.003800
0.600000,0.065300,0.010969,-0.020546,-0.009871,-0.014980,-0.007121
0.610000,0.055314,0.021438,0.076788,0.005649,0.006901,-0.013679
0.620000,0.009162,-0.061223,-0.068408,-0.009811,-0.007232,-0.003573
0.630000,0.082546,0.086183,-0.008976,-0.013621,-0.014221,-0.008218
0.640000,-0.019159,0.073072,-0.055352,0.000863,-0.011806,-0.001158
0.650000,-0.044736,0.032166,-0.019730,0.010586,-0.013018,-0.002064
0.660000,-0.000256,-0.008172,0.016879,0.010248,-0.004183,-0.005737
0.670000,0.070374,0.004529,0.032197,0.011635,-0.003062,0.011045
0.680000,-0.102509,-0.002436,-0.042162,0.004290,-0.003428,0.004797
0.690000,-0.060941,-0.043908,-0.016706,0.003204,0.010209,-0.005483
0.700000,0.045795,-0.066320,0.001532,0.000412,-0.000615,0.007041
0.710000,-0.024208,-0.016384,0.050138,-0.010252,0.010170,0.004663
0.720000,0.026906,0.066870,-0.007725,-0.013169,0.012083,0.022341
0.730000,-0.034797,-0.011193,0.012125,0.010018,0.014270,0.000854
0.740000,0.008829,-0.054219,0.004524,-0.016615,-0.018441,0.002551
0.750000,0.011411,0.125874,0.093842,-0.005920,-0.009146,-0.000627
0.760000,-0.042662,-0.014369,-0.073172,0.006156,-0.014528,-0.004489
0.770000,-0.029535,0.015780,0.060293,0.015099,-0.010753,0.008698
0.780000,-0.036454,-0.032707,-0.107364,-0.004847,0.005458,0.010973
0.790000,-0.008133,-0.053121,-0.026472,0.007413,0.009092,-0.011516
0.800000,-0.043843,-0.004713,-0.087886,0.011137,-0.008527,0.002595
0.810000,-0.073352,0.106462,-0.064371,0.002582,0.004851,0.003370
0.820000,-0.054839,0.091846,0.145253,-0.008438,-0.013499,0.008723
0.830000,-0.058578,-0.018412,0.017078,0.001858,0.011494,-0.000447
0.840000,0.086435,-0.049343,-0.012264,-0.014052,0.009661,-0.003704
0.850000,0.038867,0.021738,-0.018808,0.003420,-0.006475,0.016443
0.860000,-0.006691,-0.068745,-0.011909,-0.008766,-0.003374,0.001074
0.870000,-0.013319,0.011608,-0.027766,-0.010922,0.003305,0.016119
0.880000,0.023577,0.050636,0.007771,-0.004905,0.003951,-0.027494
0.890000,0.017588,0.002658,0.000004,-0.000389,-0.003130,-0.008185
0.900000,-0.036078,0.015825,-0.004864,0.010815,-0.003262,-0.001775
0.910000,0.104658,0.078668,0.019292,-0.003772,-0.019168,-0.011320
0.920000,-0.038153,-0.055621,0.059557,0.009611,-0.021100,-0.007663
0.930000,0.013137,0.024007,-0.087229,-0.003997,0.017436,0.007686
0.940000,0.046372,0.022721,-0.055522,-0.005572,0.013045,-0.007405
0.950000,-0.023576,0.013186,0.002623,0.010091,-0.013589,0.010733
0.960000,-0.014609,-0.005174,-0.012599,-0.004061,-0.010285,-0.002171
0.970000,0.007628,0.073575,-0.128333,0.002773,-0.004947,0.005540
0.980000,-0.011843,0.008826,0.014800,-0.005830,0.006204,0.004422
0.990000,-0.018596,-0.087836,0.016400,-0.000609,-0.004414,0.001515
1.000000,0.086368,-0.076693,0.043191,0.005503,0.020618,0.009394
1.010000,-0.016426,-0.003066,-0.052645,0.009760,0.030885,0.005160
1.020000,-0.016723,0.065002,0.029133,0.004846,0.007040,-0.010090
1.030000,0.086616,0.058871,0.021954,-0.004439,-0.005062,0.006476
1.040000,0.087197,0.021950,0.041399,-0.001742,0.001382,0.010875
1.050000,-0.014829,0.003327,-0.034871,0.008632,-0.001617,-0.006700
1.060000,0.049479,-0.058915,0.039118,0.011353,0.007739,-0.016063
1.070000,-0.009533,0.058562,0.037543,-0.003132,0.001655,0.007788
1.080000,0.091032,0.036539,-0.078602,0.009101,0.002839,0.005852
1.090000,-0.003348,-0.058600,-0.025914,0.000641,-0.006739,-0.002613
1.100000,0.075561,0.031877,-0.034947,0.000190,-0.000347,-0.018856
1.110000,-0.050686,0.001639,-0.060828,-0.003975,0.000562,-0.002814
1.120000,-0.033557,0.015600,0.057766,-0.002468,0.004880,-0.010790
1.130000,0.030438,-0.114564,0.015218,-0.016280,-0.003482,0.007641
1.140000,0.003602,0.020695,0.080810,0.016876,0.007821,-0.014683
1.150000,-0.103162,-0.029555,0.029545,-0.002324,0.002566,0.001776
1.160000,-0.079080,0.073797,0.018418,0.005393,-0.009170,0.000649
1.170000,0.042329,-0.028547,0.040688,0.004203,0.008257,-0.008057
1.180000,0.053424,0.011644,0.011720,-0.003452,-0.027038,-0.006215
1.190000,0.013517,-0.043167,-0.007376,-0.005244,-0.010196,0.001656
1.200000,-0.007626,0.019170,0.049991,-0.000559,-0.022592,0.002155
1.210000,-0.052927,-0.006250,0.074073,-0.009283,0.004857,-0.012819
