t,ax,ay,az,gx,gy,gz
0.000000,-0.042660,0.017900,0.007314,-0.009641,-0.010017,0.018381
0.010000,-0.003629,-0.003429,-0.004501,0.018743,-0.000026,0.002815
0.020000,-0.018385,0.006992,-0.032196,-0.009809,0.006426,0.017596
0.030000,0.132840,-0.070467,-0.029237,-0.015292,0.004639,0.005390
0.040000,-0.025287,0.102025,-0.066007,0.005276,0.016428,0.020360
0.050000,0.021296,0.012420,0.016680,-0.002335,0.006732,0.000842
0.060000,0.061817,0.060791,-0.022548,-0.006321,0.002708,0.006715
0.070000,0.009701,-0.093205,0.004955,0.002169,-0.008812,-0.004636
0.080000,-0.039699,-0.009319,-0.084269,-0.004559,-0.008424,0.003135
0.090000,0.020244,-0.084828,0.007414,0.004181,0.009795,-0.008576
0.100000,-0.061325,-0.042482,0.057737,-0.005775,0.015546,-0.001645
0.110000,0.029396,0.057460,0.077986,0.000301,-0.001751,0.011330
0.120000,-0.038642,0.074949,-0.073275,0.011718,0.011132,0.000266
0.130000,0.037305,-0.024667,-0.046515,-0.008724,0.019252,0.008563
0.140000,0.030723,0.047248,0.045763,-0.004567,0.014238,-0.005356
0.150000,0.010743,0.006598,0.026343,0.014107,0.014783,-0.009215
0.160000,0.015188,0.027068,0.010200,0.005818,0.007822,0.026149
0.170000,0.042139,-0.081360,-0.006564,-0.007423,0.014325,0.000173
0.180000,-0.069192,0.013835,0.082097,-0.012414,-0.001200,0.000025
0.190000,-0.023704,0.006363,0.037824,-0.010589,0.003122,0.009578
0.200000,-0.103386,-0.026106,0.018226,0.002382,-0.005418,-0.001485
0.210000,-0.144850,-0.048840,0.055043,-0.000045,0.002173,0.011098
0.220000,0.050150,0.018716,0.044110,0.002719,-0.014027,-0.005623
0.230000,0.010755,0.027770,-0.015783,0.001660,0.011241,0.012978
0.240000,0.005791,-0.031619,0.063174,0.017747,0.001306,0.007633
0.250000,0.076078,0.068996,-0.020405,-0.014545,0.004299,-0.010753
0.260000,-0.047689,0.063849,0.027195,-0.000625,0.030298,0.003036
0.270000,0.016429,-0.031682,0.021283,-0.008638,0.004078,-0.005171
0.280000,-0.054264,0.031703,0.068944,-0.009607,0.021031,0.010668
0.290000,0.081552,0.035426,-0.069101,0.003455,-0.003918,-0.003108
0.300000,0.009867,0.106984,-0.043431,0.015425,0.003066,-0.030828
0.310000,-0.002959,0.070676,0.030857,0.024209,0.001831,0.003434
0.320000,0.124008,-0.036643,-0.049488,0.010867,0.004654,0.007469
0.330000,0.061206,-0.059794,-0.009838,-0.004237,-0.012298,0.002802
0.340000,-0.003282,0.051799,0.030713,0.014316,-0.006478,-0.007280
0.350000,0.022853,-0.020122,0.060750,0.012210,-0.004572,-0.004106
0.360000,0.201291,0.034564,0.004984,-0.003731,-0.000650,-0.015736
0.370000,-0.064893,-0.031874,-0.010686,-0.005393,0.002304,0.002232
0.380000,-0.026730,-0.000804,0.088901,0.011580,0.018394,0.015125
0.390000,0.062358,-0.007942,-0.060414,0.009147,-0.001487,-0.006231
0.400000,0.066868,-0.002453,-0.086325,0.000179,0.005856,0.008219
0.410000,0.035622,0.051284,-0.121295,0.006231,-0.001212,0.007869
0.420000,-0.041228,-0.005523,0.036726,0.012609,0.008802,-0.000320
0.430000,-0.025787,-0.041607,0.036358,-0.008338,-0.008576,-0.006812
0.440000,-0.023416,0.027103,-0.055576,0.002571,0.005198,-0.014145
0.450000,-0.067617,0.037763,0.012626,-0.005040,0.002433,-0.008997
0.460000,0.046123,-0.026630,-0.039755,0.004339,-0.003074,-0.007234
0.470000,0.068036,-0.076148,0.062573,0.000532,0.003923,-0.008485
0.480000,0.066025,0.043004,-0.034390,-0.002426,0.004677,-0.007621
0.490000,-0.040826,-0.010503,-0.064752,-0.016578,-0.015366,-0.004181
0.500000,-0.048085,0.032237,0.032467,-0.013184,-0.003477,0.016649
