t,ax,ay,az,gx,gy,gz
0.000000,0.065100,0.021874,-0.096468,-0.012985,0.003029,0.009075
0.010000,-0.060411,-0.033974,-0.008585,0.011403,0.007213,0.005131
0.020000,-0.062521,-0.012316,0.088365,-0.017374,-0.000149,-0.009566
0.030000,0.020042,0.010941,-0.050878,0.012822,0.011304,-0.009505
0.040000,-0.081949,-0.061410,-0.083969,-0.000460,0.002485,0.009008
0.050000,0.003752,0.019194,-0.048264,-0.016756,-0.022096,0.000381
0.060000,0.007396,0.073450,0.097885,-0.025314,0.001586,0.005922
0.070000,0.038521,-0.008742,0.036905,0.012361,-0.006226,0.001612
0.080000,0.067590,-0.100361,0.074103,0.006515,-0.011757,0.009153
0.090000,-0.027229,-0.026748,-0.017746,0.002743,-0.006054,0.001414
0.100000,0.016004,-0.055563,-0.014241,-0.001393,0.007801,-0.003605
0.110000,0.026264,0.010929,0.019041,0.002271,-0.006209,-0.009378
0.120000,-0.016198,0.034685,0.052821,0.001715,-0.008968,0.008006
0.130000,0.049822,0.021381,0.046945,0.005922,-0.007651,0.002138
0.140000,0.043553,0.133825,0.060903,-0.007697,-0.016043,-0.005972
0.150000,-0.004437,-0.045584,-0.013057,-0.000503,0.005214,0.001495
0.160000,-0.016589,0.025571,-0.035013,0.009077,-0.009812,-0.003767
0.170000,0.059609,-0.069478,-0.081626,0.016444,-0.019311,-0.004520
0.180000,-0.006756,-0.042128,-0.062912,-0.010715,-0.001954,-0.004344
0.190000,-0.031853,-0.038074,0.000507,0.006022,0.002555,-0.013056
0.200000,-0.031024,-0.026957,-0.000243,-0.005882,-0.000001,0.007394
0.210000,0.050712,0.073537,0.007388,0.024330,0.007028,-0.010125
0.220000,0.011277,-0.009159,0.024062,-0.000938,0.001810,-0.005194
0.230000,0.019511,0.066292,-0.094435,0.004703,-0.022714,0.005531
0.240000,-0.011725,0.016959,-0.001314,-0.004764,-0.001097,0.014657
0.250000,-0.046959,-0.064968,0.040316,-0.012615,0.002727,0.007939
0.260000,-0.037846,-0.087745,0.042829,0.001703,-0.016142,0.013504
0.270000,0.022949,-0.005794,-0.045728,-0.002114,-0.005275,-0.003105
0.280000,-0.005672,0.060779,-0.080735,-0.003821,-0.011902,0.001650
0.290000,-0.078199,-0.031388,-0.001332,-0.005972,0.006709,0.005176
0.300000,-0.024815,0.032141,0.054442,0.016257,-0.002116,-0.008032
0.310000,0.013938,0.028022,0.013605,-0.014697,0.021933,0.006621
0.320000,0.000475,-0.064678,-0.051400,-0.006924,0.016932,0.013562
0.330000,-0.067546,-0.007425,0.011614,-0.013513,-0.007535,-0.001323
0.340000,-0.072463,0.003630,-0.043761,-0.010701,-0.000966,0.007120
0.350000,-0.053460,-0.031267,-0.056024,-0.013733,0.002930,0.011685
0.360000,0.030333,-0.008400,0.040761,0.004002,-0.000756,-0.006681
0.370000,-0.022175,-0.020284,0.093669,0.008308,-0.011769,0.002428
0.380000,-0.081153,0.064224,0.082726,0.000255,0.011256,-0.005827
0.390000,0.038291,-0.016524,0.071345,-0.004977,-0.012419,0.004373
0.400000,-0.016088,-0.035289,-0.019413,-0.004238,-0.008621,-0.007668
0.410000,-0.028510,-0.047331,0.055500,0.005371,-0.011030,-0.010142
0.420000,-0.038672,-0.001482,-0.072189,0.008964,-0.001661,0.009554
0.430000,0.001541,-0.057796,-0.059024,-0.003594,-0.000011,0.001563
0.440000,-0.005464,0.052849,0.022021,0.013873,0.013059,0.011532
0.450000,0.025456,-0.006496,-0.016782,-0.006288,-0.009868,0.007608
0.460000,0.039557,-0.028159,0.041722,0.013768,0.011628,0.000130
0.470000,0.061797,-0.042069,-0.034722,0.007278,0.007454,0.001489
0.480000,-0.027285,-0.073348,-0.023470,0.001924,0.000982,-0.007881
0.490000,0.065072,-0.052279,0.066260,-0.006861,-0.007015,-0.015992
0.500000,-0.021672,0.105702,-0.034091,0.001429,-0.000406,0.007620
0.510000,-0.007199,-0.045509,-0.034385,0.012607,0.013243,0.014185
0.520000,0.066909,0.023727,0.051441,-0.007571,-0.014320,0.009307
0.530000,-0.065779,0.032741,-0.048572,0.013821,0.015560,0.004850
0.540000,-0.066866,0.011938,0.011427,-0.019967,0.003656,0.005554
0.550000,0.002667,0.035878,0.043678,0.012521,0.014296,0.009096
0.560000,0.073486,-0.059517,0.075101,-0.005873,-0.010291,0.005340
0.570000,0.094116,-0.018312,-0.083425,-0.007924,0.014751,-0.017046
0.580000,-0.069175,-0.023093,0.100707,0.005669,0.003195,-0.002068
0.590000,0.000854,-0.030859,-0.034270,-0.009251,-0.020618,-0.005314
