t,ax,ay,az,gx,gy,gz
0.000000,0.026702,0.022044,-0.059151,0.004066,-0.008145,0.003752
0.010000,0.013617,0.053400,-0.013046,0.011886,0.020601,0.014045
0.020000,0.048871,0.027261,0.041384,0.001617,0.002577,-0.004002
0.030000,0.002547,0.044329,-0.073234,-0.004656,0.008720,-0.003075
0.040000,0.001657,0.035651,0.014815,0.003661,-0.009625,0.013703
0.050000,0.054781,-0.007855,-0.027373,-0.003225,0.010880,-0.007038
0.060000,-0.081954,-0.013648,0.025844,-0.007567,0.013280,-0.006260
0.070000,0.038050,-0.069959,0.058766,-0.015679,-0.010399,0.008567
0.080000,-0.048721,-0.006057,-0.028441,0.007606,-0.007625,-0.006317
0.090000,0.020862,0.004704,0.033898,0.006730,0.013159,-0.000688
0.100000,0.092190,0.019893,-0.028834,0.005542,0.008734,0.021530
0.110000,0.023053,0.097257,0.032817,-0.011557,-0.006687,-0.005065
0.120000,0.047285,-0.079679,0.019344,0.008275,-0.002519,0.003122
0.130000,-0.013401,-0.034006,-0.001116,0.001218,0.000017,0.001074
0.140000,0.005432,-0.031220,0.009423,0.010299,-0.009706,-0.001485
0.150000,-0.008674,0.035122,0.011379,-0.012153,0.002266,-0.001955
0.160000,0.018796,0.048969,0.027748,0.010692,-0.000048,-0.004438
0.170000,-0.000304,-0.104346,0.025686,-0.002467,0.017234,-0.015701
0.180000,-0.045596,-0.004312,0.018552,-0.006275,0.000360,-0.006364
0.190000,0.066651,0.092116,-0.046061,0.004907,-0.000565,0.002560
0.200000,-0.065793,0.016286,0.012121,0.001178,-0.001030,-0.012908
0.210000,-0.060094,-0.000830,0.029877,0.001761,-0.017634,-0.006720
0.220000,-0.061508,-0.049729,-0.032208,0.004892,0.011897,0.023494
0.230000,-0.010613,0.034699,-0.016324,-0.004283,-0.008651,0.005223
0.240000,0.002766,0.112309,-0.047816,0.018700,0.015327,-0.010351
0.250000,-0.032650,0.033904,0.049402,-0.001405,0.008504,0.009197
0.260000,0.020740,0.090448,0.015873,0.005919,-0.004487,0.005830
0.270000,-0.098805,0.004850,-0.028549,0.009294,-0.009320,0.013302
0.280000,0.069191,0.048231,-0.079485,0.009920,-0.007420,0.009249
0.290000,0.067516,0.046968,-0.016223,0.008131,0.008512,0.015760
0.300000,-0.003922,0.069609,-0.098576,-0.000105,0.003315,-0.026387
0.310000,0.022270,0.054670,-0.004436,0.011158,0.010196,0.013560
0.320000,0.032395,0.005158,-0.039202,-0.009367,0.009620,0.010187
0.330000,-0.040452,0.035596,-0.031785,-0.006509,0.010560,0.004630
0.340000,-0.076229,0.006120,-0.025654,-0.016980,0.005845,-0.007672
0.350000,-0.059955,0.003587,0.038364,-0.016759,0.003666,-0.000653
0.360000,0.001008,-0.053312,0.024090,0.014038,0.001817,0.007785
0.370000,0.051758,0.110652,0.072092,0.005088,0.010210,-0.008864
0.380000,-0.050268,0.042904,0.012826,0.001985,-0.001407,0.006537
0.390000,-0.057605,0.014190,0.095934,0.002558,-0.006140,-0.003379
0.400000,0.059793,-0.050672,0.000686,0.016485,-0.016944,0.007094
0.410000,0.024584,-0.086495,-0.084772,0.012414,0.005788,0.019710
0.420000,0.007731,0.008384,-0.091941,0.009385,0.003841,-0.004667
0.430000,0.019399,0.054348,-0.010915,0.004027,0.006817,0.000035
0.440000,0.002991,0.028571,0.021951,-0.007428,-0.012042,0.001854
0.450000,-0.083431,-0.045256,-0.019793,-0.014803,-0.004715,-0.024317
0.460000,-0.043041,0.073348,0.031724,0.008330,0.011540,0.000789
0.470000,-0.055486,-0.010717,0.056520,0.018315,0.013474,0.004798
0.480000,-0.032312,0.042579,0.069159,-0.001132,-0.003494,0.005625
0.490000,0.060807,0.009020,0.062551,-0.001412,0.005482,0.006225
0.500000,-0.026112,0.124294,0.012042,-0.002296,0.010958,-0.002286
0.510000,0.057340,-0.018100,0.024971,0.000213,-0.009775,-0.002706
0.520000,0.027173,-0.046442,-0.047922,0.021582,-0.009004,0.004377
0.530000,-0.010225,0.055267,-0.091571,-0.004545,-0.022139,0.005590
0.540000,-0.018142,0.065494,-0.061606,-0.005561,0.003190,0.009897
0.550000,0.062695,-0.056390,-0.045827,0.002346,0.003283,-0.008679
0.560000,-0.007361,0.093673,-0.032000,0.007068,-0.001897,-0.019984
0.570000,-0.086648,-0.070097,0.046597,0.008272,0.011330,0.014811
0.580000,-0.067737,0.059398,0.003490,0.021708,0.007735,0.005140
0.590000,-0.001614,0.014865,-0.040046,0.010915,-0.008870,-0.016720
0.600000,0.006894,-0.059654,0.067445,-0.004770,0.012772,-0.006611
0.610000,-0.051365,0.021944,-0.051738,0.004656,0.005733,0.002443
0.620000,-0.026660,-0.018692,0.149067,-0.012776,0.003427,-0.004216
0.630000,-0.000722,-0.041076,-0.022228,0.017029,0.011369,-0.003863
0.640000,-0.075234,-0.008139,0.092554,0.017657,0.003437,-0.016716
0.650000,0.016802,0.045170,-0.045497,-0.000783,0.016353,-0.008198
0.660000,-0.010167,0.010195,-0.036265,-0.000682,-0.013598,-0.012011
0.670000,0.020000,0.030771,0.027142,-0.008342,-0.012274,-0.006183
0.680000,-0.007554,0.054546,-0.012881,0.017383,-0.000361,0.007855
0.690000,-0.017441,0.072077,-0.055348,0.010916,-0.011084,-0.008315
0.700000,-0.085148,-0.043391,0.019362,0.007658,-0.006343,0.006996
0.710000,0.064180,-0.033026,0.090742,0.016773,-0.014554,-0.003569
0.720000,0.001360,-0.005776,-0.042497,-0.001983,-0.005264,-0.006080
0.730000,0.097568,-0.007514,-0.066599,-0.004921,-0.000153,0.001649
0.740000,0.122883,0.019684,0.039942,0.009534,-0.000251,0.011182
0.750000,0.084078,0.030723,0.048744,-0.005918,-0.012014,-0.003048
0.760000,0.002716,0.036687,-0.001708,0.004625,0.008605,0.014602
0.770000,-0.001011,0.005986,-0.019841,0.002902,0.007530,0.013688
0.780000,0.025219,0.025092,0.040946,-0.007792,-0.002101,0.027709
0.790000,0.031980,0.100002,0.052631,0.008564,0.005107,0.008937
0.800000,-0.010363,0.022654,0.070635,-0.013357,-0.006468,-0.010123
0.810000,-0.047499,0.100712,-0.038732,0.004186,-0.003690,0.000954
0.820000,0.045014,0.000330,-0.002547,-0.003110,-0.016264,0.008850
0.830000,-0.065146,0.045375,-0.064418,-0.017622,-0.007276,-0.013155
0.840000,-0.072139,0.057985,0.089480,-0.008797,0.002019,0.012350
0.850000,-0.033362,0.050155,0.039826,-0.015610,-0.005572,-0.017490
0.860000,-0.004576,0.066791,-0.008181,-0.006054,0.000719,0.007671
0.870000,0.025877,-0.062688,-0.060551,-0.021186,0.005506,-0.009726
0.880000,0.058452,0.027560,-0.007123,-0.012162,0.000675,0.006271
0.890000,0.095392,0.094866,0.021958,-0.001005,-0.010931,-0.001010
0.900000,-0.072783,-0.005580,-0.041629,-0.007252,0.006040,0.010754
0.910000,0.004476,-0.046815,-0.059811,0.010115,-0.000197,0.011227
0.920000,-0.113131,0.008363,-0.114938,-0.010210,0.017829,-0.010266
0.930000,-0.016012,0.034720,-0.036105,-0.020301,0.013654,-0.007101
0.940000,-0.054241,-0.003392,-0.041430,0.001167,-0.010308,0.023636
0.950000,0.009283,-0.051641,-0.005225,0.018218,0.015466,0.000884
0.960000,-0.017321,-0.000576,0.081758,0.009807,-0.000531,0.011222
0.970000,0.009991,0.025222,-0.031240,-0.004106,0.015847,-0.004609
0.980000,0.011163,-0.013740,0.001483,-0.003473,-0.004665,0.001925
0.990000,0.032447,-0.025012,-0.019902,-0.003882,0.004873,-0.004810
1.000000,-0.024321,-0.025286,0.008662,0.007908,0.015184,0.000775
1.010000,-0.018199,0.074898,0.133958,0.022183,0.011275,0.021382
1.020000,-0.028397,0.014700,0.051900,-0.000612,-0.016615,-0.007061
1.030000,-0.013287,-0.049720,0.086909,-0.006041,-0.009530,-0.021959
1.040000,0.034308,0.015935,0.072526,0.010246,-0.018600,0.009289
1.050000,0.038512,-0.002397,-0.048832,0.021855,-0.007783,0.003876
1.060000,-0.024667,0.060241,0.034104,-0.003986,0.008271,-0.011944
1.070000,-0.009333,0.088328,-0.007861,-0.001318,0.011212,-0.000489
1.080000,0.049376,0.011002,0.096648,-0.016286,0.012417,-0.012960
1.090000,0.037652,0.002308,-0.008940,0.000787,0.005826,0.001199
1.100000,-0.000769,-0.036270,-0.068335,0.025374,0.007338,-0.002024
1.110000,0.015437,-0.026676,-0.026809,0.006027,0.002099,0.000444
1.120000,-0.004442,0.002611,0.000369,0.002438,-0.004341,0.002129
1.130000,0.086915,0.033119,0.105391,-0.005055,-0.018962,0.011402
1.140000,-0.021950,0.039186,-0.019171,-0.005654,0.001414,-0.007604
1.150000,-0.028057,0.107277,-0.038407,-0.007302,-0.010390,0.009483
1.160000,-0.111587,-0.035397,-0.100416,0.011897,0.000259,-0.005367
1.170000,-0.047566,-0.042933,0.001764,-0.016931,0.007954,-0.006766
1.180000,-0.102480,0.059798,-0.093788,-0.011173,0.000293,-0.003341
1.190000,-0.006388,-0.016208,0.041268,-0.015181,-0.013807,0.003365
1.200000,0.017577,0.059344,-0.018073,-0.006557,0.005103,0.001465
1.210000,-0.023237,0.020640,0.051460,0.010475,-0.008321,0.002327
1.220000,0.041253,0.016091,0.011633,0.006383,-0.006262,0.011272
1.230000,-0.001814,0.020497,0.101747,-0.016663,-0.008329,-0.017037
1.240000,-0.012129,-0.018225,-0.022053,-0.007359,-0.001546,0.008315
