t,ax,ay,az,gx,gy,gz
0.000000,-0.055664,0.012635,-0.026926,0.025178,-0.007115,-0.013430
0.010000,-0.021198,0.085892,-0.002404,0.013776,-0.000506,0.002833
0.020000,-0.122648,-0.026773,-0.050073,0.022315,-0.014030,-0.001955
0.030000,-0.006961,-0.071222,0.021682,-0.012363,0.003352,-0.005530
0.040000,-0.014803,-0.023786,0.007481,-0.011729,0.007323,0.000103
0.050000,-0.003833,-0.006736,-0.011209,-0.012516,-0.011904,0.002078
0.060000,-0.001016,0.017159,0.010899,-0.016708,0.002275,0.013396
0.070000,0.056344,-0.027334,0.011906,0.006671,-0.006233,0.002743
0.080000,0.122305,-0.002048,-0.000109,-0.012516,0.001363,-0.003268
0.090000,-0.063169,-0.035661,-0.005318,-0.010394,0.006237,-0.019775
0.100000,0.026673,0.032458,0.016314,-0.011858,-0.010656,-0.005048
0.110000,0.040205,-0.049967,0.024446,0.012993,0.007543,0.001053
0.120000,0.000668,0.006245,-0.018116,0.000582,-0.000118,0.013718
0.130000,-0.047652,-0.060758,0.016034,-0.018157,0.007716,-0.005082
0.140000,0.024893,-0.006479,-0.000741,0.005030,0.005078,0.007332
0.150000,-0.036011,0.025153,0.003031,0.015836,-0.013710,0.010054
0.160000,-0.018281,0.043304,0.032251,-0.000639,-0.004609,0.020338
0.170000,-0.076793,0.002458,-0.047912,0.007019,-0.004172,0.009573
0.180000,0.006976,-0.157592,0.009857,-0.000461,-0.004329,-0.006061
0.190000,0.035599,-0.005540,-0.058236,0.003046,-0.006139,0.001554
0.200000,0.097819,0.057798,-0.026553,0.008870,0.001105,0.019765
0.210000,-0.013051,-0.099052,0.023670,0.000132,0.013490,0.009763
0.220000,-0.068462,0.033318,0.051297,0.015253,0.019721,-0.017613
0.230000,-0.003513,-0.053223,0.062451,0.002652,-0.001119,0.001114
0.240000,0.000108,0.004661,-0.046577,-0.003974,-0.005435,-0.010996
0.250000,0.009653,-0.010146,-0.066424,0.000974,0.009340,-0.004937
0.260000,0.067000,0.087956,0.050910,-0.003285,-0.006981,-0.009944
0.270000,0.043442,0.088255,-0.052375,-0.002361,0.003432,0.012573
0.280000,-0.052975,-0.020720,0.014893,-0.011921,-0.000304,0.011781
0.290000,-0.014631,-0.051000,0.000283,-0.011788,0.012670,-0.004390
0.300000,-0.004719,0.042066,0.002227,0.007113,-0.002181,0.004587
0.310000,-0.095228,0.019273,0.079089,0.016090,-0.001214,0.009965
0.320000,0.001446,0.049348,-0.025256,0.002746,-0.007860,-0.001456
0.330000,0.028287,-0.037229,-0.012325,-0.002081,-0.014118,0.004590
0.340000,-0.011931,0.023835,-0.041208,0.006580,0.008124,0.014298
0.350000,-0.073244,0.023506,0.021626,0.009539,-0.006030,-0.003902
0.360000,0.005624,0.046644,-0.010132,0.008388,0.003897,-0.000178
0.370000,0.014067,-0.017496,-0.012931,-0.008747,-0.005307,0.005828
0.380000,0.017011,0.113330,0.037115,-0.019508,-0.023400,0.006934
0.390000,0.027430,0.038672,-0.117389,-0.005335,0.004685,0.015767
0.400000,0.015959,0.045524,0.004221,-0.010131,-0.016696,-0.002764
0.410000,-0.002159,-0.046997,-0.021671,-0.006848,-0.000254,0.005380
0.420000,-0.041675,0.049975,0.075083,0.003267,0.000463,0.010582
0.430000,0.096753,-0.042500,-0.033421,0.006707,-0.001814,0.006352
0.440000,-0.037485,-0.050928,-0.050121,-0.015456,0.010637,0.000222
0.450000,-0.025775,0.043724,-0.035892,-0.012007,-0.004166,0.010375
0.460000,0.052654,0.068373,0.014255,-0.007677,0.004106,0.008788
0.470000,0.061457,-0.068063,-0.027909,0.000244,-0.008646,-0.000639
0.480000,0.009471,0.011162,0.071462,-0.014094,-0.004887,-0.011072
0.490000,-0.049942,-0.026848,-0.004249,-0.000469,-0.012693,0.000834
0.500000,-0.025931,-0.052131,-0.023828,0.011329,0.011957,-0.012454
0.510000,-0.012276,0.072377,-0.051012,-0.006661,0.008528,0.007040
0.520000,0.040759,0.063607,-0.025630,-0.006152,-0.004865,0.000823
0.530000,0.012995,0.028797,0.020550,-0.018333,0.005253,0.010831
0.540000,0.004107,-0.033941,0.033123,-0.003891,-0.014192,0.014126
0.550000,-0.018723,0.001433,0.008791,0.002194,0.007090,-0.013211
0.560000,0.042799,0.096397,-0.036889,-0.013175,0.004141,0.010276
0.570000,0.002629,-0.074221,0.074072,-0.011292,-0.001018,-0.015872
0.580000,0.002192,-0.014984,0.002611,-0.007016,-0.002570,0.004888
0.590000,0.005138,-0.036592,0.059399,-0.021058,0.013204,-0.001705
0.600000,0.032237,0.039209,-0.034000,0.012944,0.006987,0.008523
0.610000,-0.036706,-0.005678,0.039998,0.020203,-0.007816,0.001354
0.620000,0.025085,-0.038884,0.033388,-0.009907,-0.001022,0.007201
0.630000,-0.048606,-0.033081,0.007886,0.011273,-0.003823,-0.012048
0.640000,-0.058574,-0.048176,0.077606,0.000733,-0.008522,-0.005779
0.650000,0.068313,0.114486,0.022529,0.006717,0.004856,0.008342
0.660000,0.032238,-0.007748,-0.017522,-0.003372,0.010090,0.000143
0.670000,0.043596,0.068099,0.039333,-0.002842,-0.010988,-0.020899
0.680000,-0.041991,0.019581,-0.038508,-0.015639,0.002155,-0.009075
0.690000,-0.016225,0.081811,-0.059979,-0.016453,-0.004194,0.002798
0.700000,0.108435,0.027477,-0.023306,0.004151,-0.000289,-0.000609
0.710000,0.003411,-0.034248,-0.027346,-0.005384,0.006339,-0.001768
0.720000,0.003665,-0.016446,-0.046648,-0.000763,0.010378,0.007919
0.730000,-0.011071,-0.065731,-0.063591,-0.001849,-0.003271,-0.003348
0.740000,-0.064103,0.083566,0.020281,-0.020213,0.010969,-0.006848
0.750000,0.029793,0.000563,0.025314,0.008546,0.000416,0.013917
0.760000,0.058792,0.020391,0.082017,0.005295,0.009121,-0.005921
0.770000,-0.001859,0.029946,0.035201,-0.012854,0.001475,-0.019172
0.780000,-0.046602,0.002137,-0.092071,-0.004680,-0.011894,-0.008397
0.790000,-0.006494,-0.013956,-0.016947,0.005957,0.005300,-0.001620
0.800000,-0.020376,0.025599,-0.044292,0.003200,-0.005407,0.024267
0.810000,0.093000,0.028374,-0.040148,0.003008,-0.005903,0.008754
0.820000,0.032361,0.049743,0.018456,0.012402,-0.007742,-0.014186
0.830000,-0.050290,0.111864,0.031974,-0.012205,-0.006700,-0.000543
0.840000,-0.062379,0.010456,-0.011016,-0.016291,-0.004182,-0.002079
0.850000,0.000321,-0.059686,0.002716,0.003249,0.006118,0.004015
0.860000,-0.041563,-0.017477,0.019372,0.017922,0.010941,0.002220
0.870000,-0.023832,-0.014521,0.041012,-0.009705,-0.006755,-0.014287
0.880000,-0.044430,-0.032421,-0.062729,0.001533,0.003314,0.008929
0.890000,-0.041143,0.006456,0.031973,0.002673,0.010540,0.010745
0.900000,-0.040308,0.030491,0.005261,-0.010281,-0.005181,-0.000110
0.910000,-0.069130,0.008728,0.059718,-0.007061,-0.002433,0.003013
0.920000,-0.094607,0.100260,-0.030526,-0.001231,0.000003,-0.009426
0.930000,-0.082455,0.006921,0.041554,0.005064,0.004333,-0.007625
0.940000,-0.014022,0.015580,0.105987,-0.012932,0.012302,0.017482
0.950000,0.010283,0.149124,0.063232,0.002347,-0.003617,0.010463
0.960000,0.002577,0.014577,-0.015972,0.004704,-0.002107,0.009681
0.970000,0.012479,0.028078,-0.020207,-0.008096,-0.006908,0.003636
0.980000,-0.068999,0.066064,0.048674,0.001142,0.006373,0.011933
0.990000,-0.070854,0.008550,0.051354,-0.015524,0.000390,0.019011
1.000000,0.046186,-0.034699,0.049106,-0.005966,-0.007147,-0.022410
1.010000,0.000755,0.019434,-0.045975,0.001017,0.005806,0.005786
1.020000,-0.212850,-0.038866,0.026829,-0.010371,-0.000087,0.002215
1.030000,-0.010272,0.032510,0.055307,0.000521,-0.010948,0.000773
1.040000,-0.016526,-0.021447,-0.109343,-0.008146,-0.018719,0.006813
1.050000,-0.077384,-0.066996,0.027832,0.001400,0.005919,-0.005345
1.060000,-0.016027,-0.026712,-0.032437,0.006265,0.010221,0.017540
1.070000,-0.038949,0.046173,0.004667,0.008139,0.003848,-0.013799
1.080000,0.049566,-0.109669,0.026637,-0.001065,-0.014227,-0.008189
1.090000,-0.024190,-0.014074,0.067641,0.019551,-0.010230,-0.023426
1.100000,-0.019492,0.024595,-0.050897,0.008132,-0.006731,0.007680
