t,ax,ay,az,gx,gy,gz
0.000000,-0.005374,-0.013472,-0.002740,-0.000840,0.009619,-0.008286
0.010000,0.088565,0.032201,-0.014924,0.010420,0.009679,0.000590
0.020000,0.044693,0.042890,0.012986,0.020937,0.011152,0.000454
0.030000,-0.016428,-0.019730,-0.053757,-0.001437,-0.004319,-0.001307
0.040000,0.009025,-0.030493,-0.021836,-0.001018,-0.003195,-0.002140
0.050000,0.031201,0.084359,0.018710,-0.011925,-0.005681,-0.015973
0.060000,-0.005257,-0.000938,0.056898,0.004144,0.000801,-0.001226
0.070000,0.019385,0.009687,0.013229,0.008862,-0.008635,-0.007108
0.080000,-0.071431,0.019524,-0.043761,-0.014812,0.010230,0.006055
0.090000,0.019721,-0.036759,0.029558,0.013296,0.015826,-0.004244
0.100000,-0.007654,-0.057268,-0.014534,-0.007111,-0.017955,-0.010980
0.110000,0.110294,-0.113653,0.008317,-0.003249,-0.020609,-0.010773
0.120000,-0.050528,0.068844,0.040815,-0.000828,0.008934,-0.007171
0.130000,0.009295,0.045872,0.012229,0.001280,0.018638,-0.018060
0.140000,0.000306,-0.029943,-0.018046,0.010859,0.003808,0.012665
0.150000,-0.023203,0.000517,-0.094605,0.009669,-0.006632,0.000018
0.160000,0.051483,0.097344,-0.021611,-0.014605,-0.005229,0.000292
0.170000,0.058748,-0.006705,-0.030115,0.003036,0.007894,0.015829
0.180000,-0.019089,0.004285,-0.036065,-0.004355,0.011448,0.002673
0.190000,0.030309,-0.025964,-0.053661,-0.013074,-0.001504,0.001159
0.200000,-0.000996,-0.034697,-0.016366,-0.008367,-0.010406,-0.010742
0.210000,-0.002715,-0.066985,0.072943,-0.005435,-0.008646,0.012304
0.220000,0.040632,-0.031503,-0.000956,-0.024511,0.001113,0.005283
0.230000,0.031789,0.010436,0.093993,-0.009628,-0.002319,-0.003421
0.240000,-0.011933,0.059449,-0.066732,-0.000774,0.006629,0.005734
0.250000,-0.059040,0.084224,-0.021598,-0.006000,-0.015045,0.001651
0.260000,-0.058372,-0.002386,0.063199,-0.006567,-0.005278,0.002234
0.270000,-0.038176,-0.002085,-0.092724,-0.004351,0.003067,0.025129
0.280000,-0.023442,0.049860,-0.039217,0.006858,0.013449,0.005109
0.290000,-0.063595,-0.038806,-0.030484,0.000771,0.005261,0.004773
0.300000,0.038236,0.018989,0.028647,0.008628,0.000594,-0.013083
0.310000,0.001422,-0.030993,-0.038818,-0.014681,0.004612,-0.011262
0.320000,0.021616,0.079450,-0.047037,0.006864,0.013387,-0.002207
0.330000,-0.050899,-0.056791,0.041576,0.012113,0.002589,0.000259
0.340000,-0.002107,0.027770,-0.025398,0.000728,-0.008309,-0.009586
0.350000,0.030912,-0.014382,-0.077246,-0.016440,-0.007331,0.021394
0.360000,0.046145,-0.001811,-0.015515,-0.014934,-0.011765,-0.008056
0.370000,0.014065,-0.072208,0.021536,-0.007587,0.002693,-0.006118
0.380000,-0.029791,-0.007805,0.056965,-0.001985,-0.008495,-0.004752
0.390000,0.032110,-0.008819,-0.005054,-0.000597,-0.001346,0.019808
0.400000,-0.128028,-0.041095,0.008356,-0.000282,-0.002097,-0.024970
0.410000,-0.038208,-0.066322,0.024007,0.002399,-0.019751,0.005517
0.420000,0.065322,-0.036070,0.043751,0.001424,0.007979,-0.006344
0.430000,0.036240,-0.048841,-0.036384,0.000270,0.006758,-0.009295
0.440000,0.090155,-0.055851,-0.030451,0.006100,0.005643,-0.001349
0.450000,0.098287,-0.028443,0.067650,0.015785,0.005156,-0.016742
0.460000,-0.051101,0.006913,0.054296,0.009887,-0.006581,0.007977
0.470000,-0.023373,0.004987,0.037222,0.002955,-0.026417,0.006049
0.480000,-0.045100,0.112018,0.051886,-0.002217,-0.004594,-0.004222
0.490000,-0.017864,-0.011741,0.095586,0.007889,-0.009213,0.011133
0.500000,-0.017741,-0.023608,0.057308,-0.015196,0.002957,0.007724
0.510000,-0.070028,-0.003917,0.004208,0.007479,0.001841,-0.002068
0.520000,-0.035186,-0.078280,0.003455,-0.005500,-0.012224,-0.006857
0.530000,0.034409,-0.033953,-0.058990,-0.009614,-0.011253,0.018037
0.540000,0.062804,0.026406,-0.018090,-0.017194,0.011255,-0.012365
0.550000,0.046043,0.012087,0.089461,-0.010221,-0.010385,-0.011105
0.560000,0.033208,-0.069493,-0.032937,0.009229,0.005884,-0.002326
0.570000,-0.030545,0.015478,-0.015174,0.027074,-0.000167,0.000599
0.580000,-0.056364,0.029457,0.050006,-0.006856,-0.008047,-0.005331
0.590000,-0.005137,0.010473,-0.048378,0.008517,0.005711,0.012906
0.600000,-0.026127,-0.024082,0.027929,-0.007171,0.005895,0.003055
0.610000,0.012801,-0.016485,-0.018469,0.004342,-0.008638,-0.010387
0.620000,-0.098391,0.080294,-0.104272,0.005391,0.008728,-0.006183
0.630000,0.021094,0.001885,-0.013284,0.006090,0.011994,-0.003618
0.640000,-0.000410,-0.033149,0.032641,-0.014388,-0.013138,-0.006765
0.650000,-0.065678,0.016391,-0.033888,-0.004460,-0.000361,-0.000158
0.660000,-0.021346,-0.019995,-0.008268,-0.002724,0.006792,-0.007608
0.670000,0.025108,-0.001790,0.046649,0.012647,0.009401,0.008668
0.680000,0.052245,0.015438,0.034130,-0.006595,-0.001164,0.007228
0.690000,0.101247,-0.070666,0.053807,-0.001999,-0.006991,-0.007393
0.700000,0.077242,0.021684,0.095202,-0.006906,-0.011609,0.028704
0.710000,0.088688,-0.016852,-0.013022,-0.019523,-0.009808,0.005960
0.720000,0.026530,-0.031206,0.135561,-0.006814,-0.003517,0.003952
0.730000,0.039442,0.002327,-0.070510,0.010324,-0.002734,0.009220
0.740000,0.012596,-0.059282,0.037996,-0.016974,-0.006060,0.004948
0.750000,-0.125110,0.069186,-0.021207,0.019732,-0.009654,-0.011414
0.760000,-0.084586,-0.000820,0.000841,0.003414,0.000532,-0.007184
0.770000,-0.003216,0.068986,0.019044,-0.012167,-0.005139,0.005212
0.780000,0.039804,-0.012436,0.021350,-0.003332,0.011712,-0.001360
0.790000,-0.065424,0.012905,-0.037910,0.006015,0.002785,-0.004037
0.800000,0.065982,0.003775,0.033143,0.008331,-0.012173,-0.005536
0.810000,0.013116,0.090315,-0.078018,-0.004139,0.003815,0.006308
0.820000,-0.005690,-0.048004,-0.102482,-0.008152,-0.009561,0.000786
0.830000,-0.051251,0.058602,-0.001509,-0.015376,0.010078,-0.002238
0.840000,-0.010989,0.038675,0.005772,-0.011695,-0.011893,0.003131
0.850000,0.030667,0.016142,0.027135,0.002861,-0.007684,-0.001139
0.860000,-0.022484,0.052354,-0.060607,-0.011292,-0.002584,0.014755
0.870000,-0.004299,0.054846,-0.007703,0.021306,-0.002118,0.004318
0.880000,-0.021543,0.114422,0.070930,0.003923,-0.017210,-0.011499
0.890000,0.007082,-0.048524,-0.101754,-0.023156,0.004491,0.019454
0.900000,0.035433,0.063293,0.019789,0.010658,0.000445,-0.000965
0.910000,-0.085535,0.008016,-0.024343,-0.003524,0.010597,0.002157
0.920000,0.008083,0.097171,0.039470,0.000625,-0.011033,0.006011
0.930000,0.028804,-0.002267,0.020724,-0.001500,0.003970,0.009991
0.940000,-0.036151,0.027747,-0.009668,-0.016349,-0.002956,-0.004406
0.950000,-0.041113,0.040750,-0.111578,-0.005288,-0.011169,-0.007275
0.960000,-0.027231,0.030666,0.061229,-0.010985,0.008249,0.003774
0.970000,0.023585,-0.033604,-0.002547,0.003081,-0.019270,0.019488
0.980000,0.014564,0.078027,0.046030,-0.004085,0.017446,0.007491
0.990000,0.046396,0.003271,-0.053549,-0.002317,0.020432,0.005674
1.000000,-0.070302,-0.015063,0.034972,-0.002283,-0.003911,0.010320
1.010000,-0.025094,0.028609,-0.039734,-0.005365,-0.003786,-0.005969
1.020000,-0.032021,0.070400,0.038344,-0.007556,-0.006945,0.017725
1.030000,-0.015324,-0.041528,0.047446,0.010076,0.002353,-0.005475
1.040000,0.043823,0.031960,-0.008891,-0.005514,-0.003666,0.017890
1.050000,-0.054730,-0.000742,0.070380,0.002909,0.007475,0.001998
1.060000,-0.045452,0.002373,0.081790,-0.008856,0.001026,-0.010758
1.070000,-0.015212,-0.006374,-0.067520,0.011953,-0.007486,-0.005719
1.080000,0.031160,-0.037030,-0.077730,0.008132,-0.006983,-0.002191
1.090000,-0.047678,0.010422,-0.079005,-0.026377,-0.003226,0.005943
1.100000,-0.069291,0.027964,-0.003619,-0.006264,0.005593,-0.000162
1.110000,-0.045699,-0.016063,0.086909,0.010878,-0.007350,-0.002415
1.120000,0.064087,-0.005372,0.040809,-0.014697,-0.000921,-0.004216
1.130000,0.006050,-0.088710,-0.097658,0.009601,-0.006247,-0.004237
1.140000,-0.045467,-0.078788,0.013578,-0.006752,0.000272,0.019885
1.150000,-0.027497,0.021266,0.022035,-0.034977,-0.000478,0.011744
1.160000,0.034501,-0.046531,0.025784,-0.005145,0.005270,0.011774
1.170000,-0.047773,0.035567,0.061133,-0.002762,-0.006526,0.009354
1.180000,0.036158,-0.008854,0.028338,0.004954,-0.000624,0.006112
1.190000,-0.076663,-0.087935,0.023340,0.009603,-0.000530,0.003055
1.200000,0.065387,-0.061572,0.000759,0.005225,-0.004619,0.011880
1.210000,0.021943,-0.030728,-0.016969,-0.010309,-0.001313,0.007675
1.220000,0.030662,0.005409,0.005628,-0.010564,0.008713,0.001903
1.230000,-0.049115,-0.001557,-0.019896,0.013252,0.006128,-0.001628
1.240000,-0.017219,-0.027070,-0.001364,0.002316,0.002675,0.020233
1.250000,-0.043414,0.000604,-0.018252,0.000847,-0.001380,-0.001955
1.260000,-0.046605,-0.097430,0.047373,0.001889,-0.011343,-0.003828
1.270000,0.037315,-0.040243,0.034083,-0.010121,-0.008815,0.008041
1.280000,-0.051239,-0.015356,-0.026514,0.000263,-0.007419,-0.001503
1.290000,-0.013880,0.032309,-0.020094,-0.002461,0.000527,-0.015071
1.300000,-0.016982,0.037161,0.003085,-0.010913,-0.014415,-0.008996
1.310000,-0.029589,0.012032,0.049633,-0.007227,-0.010345,0.007644
1.320000,0.052796,-0.066231,-0.063727,0.018399,0.008256,-0.005654
1.330000,0.049954,-0.014376,-0.110000,0.002102,-0.000664,-0.006088
1.340000,-0.036495,-0.021952,-0.015628,0.013247,0.020072,-0.014700
1.350000,0.038246,-0.046458,0.046777,0.014403,-0.005910,-0.002623
1.360000,0.014257,-0.064327,-0.015974,0.002827,0.015477,0.002812
1.370000,0.024733,0.001978,0.018949,0.004125,0.008534,0.010111
1.380000,-0.029371,0.027738,-0.019923,0.005111,0.010173,-0.005979
1.390000,0.127308,-0.065973,0.134898,-0.017345,0.018250,-0.010377
1.400000,-0.047557,0.063561,0.041372,-0.005338,-0.003315,-0.005039
1.410000,-0.045478,0.029974,-0.024790,-0.007261,0.004636,0.004742
1.420000,0.013742,0.007393,-0.017465,0.006199,0.005572,-0.004167
1.430000,-0.021621,0.017044,-0.045191,-0.004183,0.011192,-0.005214
1.440000,-0.043305,0.047749,0.021419,-0.005413,0.009295,-0.000186
1.450000,-0.065333,-0.050164,-0.106826,-0.005051,-0.004956,0.011239
1.460000,0.045484,0.034429,-0.054438,0.005860,0.002365,-0.011663
1.470000,0.032483,0.099275,-0.076967,0.002408,-0.002128,-0.009124
1.480000,-0.030755,-0.078060,0.047427,-0.006016,0.006962,0.012424
1.490000,-0.004803,-0.019905,0.011371,-0.010574,-0.009313,0.006941
1.500000,-0.027847,-0.020082,0.013738,-0.004092,0.005528,-0.004226
1.510000,-0.030504,-0.023449,-0.007826,0.005770,-0.013737,0.005493
1.520000,0.004567,0.030082,0.029161,-0.020992,0.009253,-0.000340
1.530000,-0.074979,0.070398,0.002956,0.004412,0.002371,-0.017058
1.540000,-0.016583,-0.045177,0.099458,0.013668,0.003345,0.007563
1.550000,0.117993,0.093309,0.006071,-0.007992,0.002408,-0.013099
1.560000,0.017205,0.074552,-0.012038,0.001492,-0.009396,0.050072
1.570000,0.027065,0.011361,0.095938,0.006052,0.013309,-0.002496
1.580000,0.071816,-0.006899,0.076253,0.003990,0.009053,-0.010728
1.590000,-0.000192,-0.027289,-0.014267,-0.006726,0.009725,-0.002181
1.600000,0.007371,-0.039253,-0.025881,-0.007477,-0.006310,-0.012225
1.610000,-0.072169,-0.041124,0.011727,-0.019593,-0.016961,0.000457
1.620000,0.052107,0.045702,0.021492,0.006716,0.025189,-0.000414
1.630000,-0.076464,-0.043050,-0.009872,-0.012800,-0.000285,0.007029
1.640000,0.048142,-0.027843,-0.060988,0.010302,0.009331,0.005728
1.650000,0.072414,-0.036747,-0.056394,0.000953,0.007368,-0.011848
1.660000,0.011367,-0.002504,-0.025006,-0.020082,0.020933,-0.000470
1.670000,0.000018,-0.046297,-0.025579,0.005339,-0.028017,0.015449
