t,ax,ay,az,gx,gy,gz
0.000000,-0.060113,0.017083,-0.047106,0.006663,0.009448,0.008062
0.010000,0.097750,0.004454,-0.063394,0.002704,0.003949,-0.004002
0.020000,-0.011596,-0.072946,-0.031662,-0.011250,0.002497,0.000690
0.030000,0.030788,0.068062,0.054034,0.009237,-0.001413,0.001590
0.040000,-0.005244,0.028503,0.040425,0.002874,0.005724,0.009486
0.050000,0.112486,-0.030199,0.075470,-0.009537,0.007017,-0.001806
0.060000,-0.054602,0.058997,-0.031033,0.006426,0.014785,-0.021084
0.070000,-0.034187,-0.014232,-0.038800,0.012145,-0.001184,-0.008555
0.080000,0.021303,0.061327,-0.105578,-0.004375,-0.010314,0.005075
0.090000,-0.008730,-0.054328,0.045254,-0.010348,0.012043,0.006919
0.100000,0.071020,-0.008732,-0.035165,0.002272,-0.020361,-0.013226
0.110000,-0.080760,0.097440,0.065947,-0.000802,-0.000257,0.009398
0.120000,-0.098925,0.032774,-0.055607,-0.029125,-0.007592,0.008371
0.130000,-0.025426,-0.062424,-0.100040,-0.003372,-0.004673,-0.016122
0.140000,-0.002279,0.094771,-0.046302,0.010585,-0.004850,0.010937
0.150000,0.044566,0.052415,0.036087,0.014658,0.013171,-0.000324
0.160000,0.099823,0.047760,0.090233,-0.004842,-0.005523,0.019683
0.170000,-0.057353,0.037268,0.075545,-0.002119,0.010532,0.004824
0.180000,-0.038600,-0.174308,-0.063367,-0.004115,-0.002530,0.011834
0.190000,-0.036238,0.028059,-0.028322,0.000313,-0.004538,-0.008069
0.200000,0.000156,-0.030217,-0.006427,0.003201,-0.005165,0.005939
0.210000,-0.003311,-0.031619,0.041063,0.025441,0.005181,0.018041
0.220000,0.069016,-0.057444,0.010866,-0.007148,0.006840,0.012556
0.230000,-0.071476,-0.087636,0.051827,0.013798,0.012793,0.000166
0.240000,0.100370,-0.016418,0.091665,0.008899,-0.010176,0.016071
0.250000,-0.032410,-0.011724,0.083387,-0.009522,0.012541,0.010436
0.260000,-0.045633,0.045834,-0.017414,0.010372,0.020656,0.010524
0.270000,-0.036035,-0.025440,-0.108415,-0.013266,0.005899,-0.018894
0.280000,0.063054,0.011315,-0.007400,-0.000911,-0.004224,0.006378
0.290000,-0.034647,0.015589,0.044173,-0.008230,-0.007930,0.005012
0.300000,-0.013727,0.048179,0.013755,0.011748,0.000026,0.023230
0.310000,-0.004669,0.045618,-0.025396,-0.003433,0.006797,0.003413
0.320000,-0.062577,-0.002654,0.001764,-0.003428,0.013114,-0.008903
0.330000,-0.011116,0.059495,0.025025,-0.020758,-0.001261,-0.002569
0.340000,-0.005753,-0.000275,0.004031,0.010628,-0.012498,0.005237
0.350000,0.026303,0.002627,-0.007723,0.004027,0.003228,0.010441
0.360000,-0.066710,-0.035490,0.013850,-0.000235,0.000522,0.004503
0.370000,0.009400,-0.074267,-0.028096,-0.001020,-0.013533,-0.004105
0.380000,-0.046488,0.068232,0.012557,-0.002590,-0.005624,-0.003165
0.390000,0.021517,-0.003336,-0.031316,0.001796,-0.002739,0.008540
0.400000,-0.022272,0.024636,-0.013005,0.008696,-0.023788,-0.014332
