t,ax,ay,az,gx,gy,gz
0.000000,-0.026828,0.025553,-0.015305,-0.005543,-0.009592,0.002483
0.010000,-0.013226,-0.015457,-0.009696,-0.001101,0.008393,-0.023806
0.020000,-0.068825,-0.091453,0.055897,-0.001735,0.012092,0.005764
0.030000,0.010578,-0.027131,0.053163,-0.009830,-0.013090,-0.000461
0.040000,0.143220,-0.075003,-0.001948,0.007852,0.005163,0.001155
0.050000,0.033357,-0.081508,-0.076330,0.006421,0.002575,0.005993
0.060000,0.047640,-0.002711,-0.034684,0.009374,-0.004449,-0.008858
0.070000,-0.082035,0.016315,-0.070075,0.007289,-0.005108,-0.019464
0.080000,-0.050947,-0.047787,-0.016943,0.014274,0.002540,0.002094
0.090000,-0.055055,-0.047495,0.047249,-0.001849,0.008372,-0.012832
0.100000,0.008394,0.000769,0.021810,0.000035,0.002823,0.005510
0.110000,-0.052950,0.018174,0.021341,-0.017085,0.005938,-0.004187
0.120000,-0.051184,0.029835,0.011784,-0.006515,-0.015615,0.022326
0.130000,0.013116,0.083312,0.006118,-0.001281,0.002457,-0.010518
0.140000,-0.046171,0.006515,0.000664,-0.015294,0.008146,-0.013500
0.150000,-0.055437,-0.101199,-0.003257,0.013036,0.018005,-0.007755
0.160000,0.047156,0.047627,0.014126,-0.004612,-0.025432,-0.017430
0.170000,0.078502,0.008725,-0.009860,0.006319,0.012545,-0.007818
0.180000,0.010204,-0.036651,-0.063364,-0.006305,-0.015812,-0.011302
0.190000,-0.048936,-0.023968,0.043308,0.013286,0.003100,-0.017951
0.200000,-0.072353,-0.048704,0.040265,0.005665,0.023712,-0.003940
0.210000,-0.017842,-0.009967,-0.018739,-0.006663,0.005816,0.010064
0.220000,0.096630,0.028015,0.012598,0.008216,-0.003171,-0.004205
0.230000,0.009873,0.020474,0.092411,-0.017243,-0.012298,0.003607
0.240000,-0.018697,0.008436,0.001457,-0.005346,0.002464,-0.002386
0.250000,0.045171,0.085244,-0.029413,0.000618,0.000194,0.007461
0.260000,0.022656,0.008811,-0.069636,0.008487,-0.000172,-0.002043
0.270000,0.048508,0.078170,0.040985,-0.000359,-0.007840,0.010863
0.280000,-0.031605,-0.067837,0.032055,-0.005621,-0.001599,0.001762
0.290000,-0.053972,-0.048990,0.010467,0.003100,0.002689,-0.001367
0.300000,0.036792,-0.016807,-0.010333,0.016448,0.000753,-0.002513
0.310000,-0.005595,-0.045803,-0.019006,0.017976,-0.007777,0.017949
0.320000,-0.080874,0.036772,0.139413,-0.019954,-0.004017,-0.016697
0.330000,0.003004,0.059553,-0.013082,-0.013621,0.004529,0.002855
0.340000,-0.067322,0.112560,-0.042283,-0.006083,0.016337,0.011344
0.350000,0.047354,0.010803,0.059359,-0.000516,-0.018086,0.009589
0.360000,-0.003354,-0.058192,-0.033235,-0.004827,0.002922,0.007977
0.370000,0.117612,0.015984,0.108871,-0.004012,0.012788,-0.003795
0.380000,-0.018378,0.035691,-0.064196,0.005388,0.007552,0.009123
0.390000,0.001489,0.111155,-0.039191,0.017442,-0.008222,-0.011328
0.400000,-0.034519,0.041380,0.005731,-0.003214,0.030436,0.013506
0.410000,0.094806,-0.012047,0.003440,-0.005501,-0.003477,-0.000151
0.420000,0.015843,-0.053788,-0.064931,0.002730,0.006412,0.006829
0.430000,-0.069488,-0.165393,-0.004252,0.011967,0.020029,-0.001335
0.440000,-0.065035,-0.026951,0.051004,-0.002137,-0.003643,-0.002768
0.450000,-0.047295,0.034491,-0.079010,0.003689,0.006356,0.017262
0.460000,-0.034250,0.087053,-0.021391,-0.007090,0.003586,-0.008407
0.470000,0.064391,0.117770,-0.020943,0.004049,0.026726,-0.001368
0.480000,-0.033287,-0.108013,0.014590,0.024525,-0.008370,-0.004603
0.490000,0.018963,0.038537,0.069568,-0.003426,0.001749,-0.001541
0.500000,-0.051296,0.093555,-0.014089,0.007640,-0.027477,-0.009799
0.510000,0.018183,-0.003370,-0.038568,0.018945,-0.014076,-0.003566
0.520000,-0.059941,0.010515,-0.048208,0.006125,-0.000455,-0.008499
0.530000,-0.011021,-0.020607,-0.018113,0.004451,0.008358,-0.005970
0.540000,-0.089966,-0.158355,0.041952,0.004074,0.008608,0.010805
0.550000,0.056275,-0.128084,0.020909,0.003701,0.017095,0.000473
0.560000,0.010862,-0.066203,0.044893,-0.009830,-0.002185,0.012121
0.570000,0.056910,0.052969,0.087242,-0.008934,-0.022419,0.004597
0.580000,0.050005,-0.041573,0.000869,-0.004439,0.022481,0.002665
0.590000,0.019272,0.075948,-0.012555,0.012372,-0.004905,0.005939
0.600000,-0.031616,-0.082697,0.043655,0.003715,0.013794,0.001914
0.610000,0.010458,-0.043326,0.038527,-0.005236,0.010386,-0.007142
0.620000,-0.017008,-0.066237,0.066540,-0.008173,-0.000441,-0.003261
0.630000,-0.103155,0.007190,-0.005541,0.000167,-0.006679,0.011200
0.640000,-0.081938,0.016271,-0.034673,0.011055,0.008306,0.007319
0.650000,0.084179,0.050201,0.011058,-0.018480,0.001163,0.008578
0.660000,-0.124585,-0.027784,-0.031638,0.013407,-0.002039,0.013035
0.670000,0.060518,0.008899,0.015845,0.003074,-0.025830,-0.000992
0.680000,0.050868,0.081534,0.072941,-0.008401,-0.006121,0.010520
0.690000,0.027310,-0.013592,0.021747,0.002975,-0.005184,-0.006766
0.700000,-0.001650,0.039300,-0.028389,0.004380,-0.001844,0.006966
0.710000,0.045173,0.002326,0.019302,-0.008263,-0.003806,-0.011196
0.720000,-0.059814,-0.013681,0.022326,-0.005535,0.021778,-0.007365
0.730000,-0.009115,-0.117340,-0.061702,-0.004734,-0.008241,-0.001833
0.740000,0.017091,0.075214,-0.011629,-0.000724,0.012183,-0.004057
0.750000,-0.024447,0.052613,0.000545,0.001142,-0.018741,-0.008648
0.760000,0.037154,-0.014786,-0.020310,0.010857,-0.008558,0.007676
0.770000,0.041098,0.033625,-0.016041,-0.009256,-0.001729,0.017149
0.780000,-0.056211,-0.083459,-0.076873,0.007451,-0.019522,0.032214
0.790000,-0.031662,0.015830,-0.083282,-0.010386,0.018663,-0.004462
0.800000,-0.080019,0.018878,0.078436,-0.012288,-0.004511,-0.006533
0.810000,0.054439,-0.092082,0.019587,-0.005482,0.000597,0.004780
0.820000,0.047790,-0.024763,-0.011844,0.014204,0.002144,0.000775
0.830000,0.016675,0.024390,0.018856,-0.007226,-0.002803,-0.005041
0.840000,0.036214,0.010783,-0.031291,-0.013732,0.025509,0.002424
0.850000,-0.022313,-0.038959,-0.023053,0.002550,0.012177,-0.025815
0.860000,0.028086,-0.038638,0.053498,0.022387,-0.008589,-0.008833
0.870000,-0.049416,0.010162,0.041791,-0.005429,0.009843,0.021444
0.880000,0.022440,-0.092374,0.006663,0.016395,-0.004819,-0.017983
0.890000,-0.036890,-0.066111,0.011144,-0.004144,-0.006395,-0.016448
0.900000,-0.062446,0.012240,0.072799,0.005829,0.000044,0.005006
0.910000,0.015112,-0.011641,-0.008035,0.007317,0.006847,-0.000644
0.920000,0.045699,-0.015280,-0.023268,0.016400,-0.004900,-0.006385
0.930000,-0.046566,-0.044704,0.044662,-0.002318,0.005380,0.006823
0.940000,-0.024299,0.027761,0.031800,-0.003403,-0.003195,0.013048
0.950000,-0.047801,-0.039754,0.028863,-0.013077,0.027471,-0.003007
0.960000,0.007023,-0.008942,0.023086,-0.002044,0.003698,0.005320
0.970000,0.050622,-0.001947,-0.028444,-0.006549,0.003384,-0.009337
0.980000,0.005862,-0.040236,0.007136,-0.005989,-0.016048,0.001407
0.990000,0.000096,-0.040793,-0.020238,-0.001763,-0.020137,-0.006810
1.000000,-0.016211,0.036659,-0.043756,-0.000287,0.008593,-0.012819
1.010000,-0.040472,-0.018680,0.028198,-0.003010,-0.011002,0.007252
1.020000,0.036366,0.013094,0.035742,-0.006683,0.005188,-0.003584
1.030000,0.058112,0.007875,-0.040082,-0.017039,-0.000700,-0.011844
1.040000,-0.003871,-0.068085,0.019736,0.011194,0.018182,0.006377
1.050000,-0.024583,0.005604,-0.004247,-0.006406,0.000223,0.002901
1.060000,-0.019151,0.011270,-0.006241,0.010846,-0.001883,0.004082
1.070000,-0.031524,-0.054896,0.017798,-0.016792,0.002418,-0.008604
1.080000,-0.060319,0.089741,0.064358,0.000428,-0.010381,0.004115
1.090000,-0.079492,0.031375,0.056916,0.006380,-0.002330,-0.008660
1.100000,-0.029305,0.017555,-0.006259,0.005739,0.015573,0.019216
1.110000,0.034092,-0.022318,0.050698,0.003959,0.002782,-0.013152
1.120000,-0.007170,-0.015854,0.032424,0.013139,-0.023228,0.011916
1.130000,0.045036,-0.116816,-0.145203,0.000266,-0.024319,0.003366
1.140000,0.017084,-0.033100,-0.066051,-0.001565,-0.004487,-0.002699
1.150000,-0.018698,0.145556,-0.066504,-0.000190,-0.000219,-0.014757
1.160000,0.044283,-0.038071,-0.072609,0.004029,-0.003796,0.015869
1.170000,-0.030598,-0.071069,-0.078403,0.008601,0.009726,0.018616
1.180000,-0.036245,-0.054512,-0.007302,0.007360,-0.001463,-0.025585
1.190000,0.008430,-0.039453,0.031478,0.002409,0.017308,0.008946
1.200000,-0.033208,-0.007678,-0.108463,-0.005075,0.000599,-0.005558
1.210000,0.004106,0.112603,0.039749,0.003057,-0.005104,0.014394
1.220000,-0.008628,-0.057904,0.081605,0.001203,0.002576,-0.008282
1.230000,-0.008050,-0.033672,-0.032419,-0.004177,-0.011556,0.014171
1.240000,0.103649,-0.005908,0.022529,-0.005133,0.001597,-0.015490
1.250000,-0.010156,-0.003261,-0.021245,-0.012319,-0.002503,-0.003113
1.260000,0.071116,0.002203,-0.070392,0.002447,0.020111,-0.020173
1.270000,0.019706,-0.005738,0.019056,0.009785,0.004982,-0.006181
1.280000,-0.016580,-0.027053,0.044707,-0.004336,0.011201,-0.000623
1.290000,0.092957,-0.092944,0.004102,-0.003220,-0.010487,-0.008361
1.300000,-0.027008,-0.045594,-0.107826,-0.012163,0.008845,-0.007842
1.310000,0.018039,-0.024173,-0.027150,-0.011940,0.001747,-0.008162
1.320000,0.060135,-0.021971,-0.024091,0.015467,0.000411,0.002051
1.330000,-0.066799,-0.045394,0.073321,0.002078,0.005709,0.007104
1.340000,0.030579,0.064381,-0.042029,0.000293,-0.010159,-0.001537
1.350000,0.018059,0.052391,0.028966,0.000593,-0.016321,-0.021048
1.360000,0.079016,0.020101,-0.000092,-0.012127,-0.019509,-0.004865
1.370000,-0.117720,0.020840,0.029882,-0.007729,0.000887,0.007092
1.380000,0.057378,-0.039728,-0.001679,0.002893,0.004344,0.009459
1.390000,-0.079500,-0.080660,0.025648,-0.003261,-0.026068,-0.017444
1.400000,0.063327,0.065080,0.021923,0.004984,0.001962,0.006951
1.410000,0.102298,-0.019625,0.044912,0.028425,0.002194,-0.000955
1.420000,-0.065893,-0.157174,-0.024068,0.003461,-0.011902,0.007549
1.430000,-0.006032,0.011728,-0.009308,-0.001713,0.016828,-0.016005
1.440000,0.018069,0.087015,0.036894,0.000045,-0.006276,-0.010665
1.450000,-0.038282,-0.125629,-0.053765,0.006227,-0.003175,0.013305
1.460000,0.067150,-0.025179,0.033933,-0.005309,-0.003926,0.020146
1.470000,0.032015,-0.002784,-0.004340,-0.013509,-0.007836,-0.030898
1.480000,-0.033215,0.111360,-0.047799,-0.004469,0.006908,0.004098
1.490000,0.056048,0.041539,0.030757,0.001442,-0.008763,-0.001904
1.500000,-0.005994,-0.073989,-0.057403,-0.003976,-0.000055,0.001742
1.510000,-0.038739,0.018488,0.044531,-0.003508,0.000238,-0.000978
1.520000,0.015700,0.012985,0.052122,-0.006750,0.000795,-0.012771
1.530000,-0.104498,-0.110346,-0.077385,0.001814,-0.011108,-0.000255
1.540000,0.046277,-0.100467,-0.000492,0.004654,-0.009259,0.010328
1.550000,-0.045519,0.007759,-0.007083,0.017883,-0.006500,-0.001447
1.560000,0.012516,-0.019958,0.035369,0.012119,-0.017981,0.000334
1.570000,0.073174,0.063236,-0.018120,-0.003021,0.009005,-0.002451
1.580000,-0.043252,0.009780,0.098770,0.004520,-0.008232,0.009516
1.590000,-0.002659,0.041937,0.039189,-0.011216,0.008708,0.000762
1.600000,0.038602,0.063642,-0.065841,-0.023544,0.000630,0.006070
1.610000,-0.048161,0.002378,0.061518,-0.012294,-0.008470,0.000888
1.620000,0.061403,-0.002301,0.049909,-0.005116,0.003296,-0.002092
1.630000,-0.021079,-0.041321,-0.066450,-0.013197,0.023284,-0.003398
1.640000,-0.006863,-0.017330,0.050171,0.001243,0.017724,0.008629
1.650000,0.028140,0.002712,0.002914,0.005475,0.010578,0.005514
1.660000,-0.020958,-0.088957,-0.059120,0.005514,0.005671,-0.001687
1.670000,0.039334,-0.006923,-0.065593,0.010748,0.006744,-0.022996
1.680000,0.068353,0.084909,0.060226,0.008508,-0.007934,0.002429
1.690000,0.021199,0.014310,-0.001229,-0.016723,-0.005833,-0.003643
1.700000,0.008172,0.031436,0.035371,0.005367,-0.005877,-0.021659
1.710000,0.022706,-0.163849,0.057559,-0.004903,-0.003806,0.006331
1.720000,0.009975,-0.067873,0.009902,0.001481,-0.007667,0.002770
1.730000,0.015125,-0.078541,-0.032129,0.018337,0.011703,-0.019095
1.740000,-0.055294,-0.048676,0.028519,0.024751,0.011838,0.015854
1.750000,-0.031109,0.004664,0.036881,-0.015199,-0.004143,0.005885
1.760000,-0.021695,0.038877,0.067757,-0.011216,0.005278,0.016333
1.770000,0.042311,0.029995,0.042723,-0.003332,0.017034,0.007025
1.780000,0.019748,0.042443,-0.058687,-0.018587,-0.008689,0.011083
1.790000,-0.003725,0.019607,-0.003747,-0.010322,0.010792,0.006116
1.800000,0.125119,-0.009571,-0.089126,0.003125,-0.005773,0.003011
1.810000,0.002756,0.041415,-0.043643,0.016825,-0.003900,0.006101
1.820000,-0.001835,-0.003660,-0.002980,0.020063,0.002623,-0.004906
1.830000,-0.029912,0.054847,0.108371,-0.005015,-0.020837,-0.012114
1.840000,-0.041976,-0.065347,-0.021875,0.003383,0.009698,-0.004261
1.850000,0.070351,-0.012901,0.018312,0.009570,0.008941,-0.007708
1.860000,-0.045616,0.089190,-0.014770,-0.005958,-0.013461,0.007439
1.870000,0.012470,-0.039798,-0.044609,0.000037,0.008877,-0.000597
1.880000,-0.000181,0.005204,0.043139,-0.009406,0.007797,-0.019815
1.890000,-0.084387,-0.047548,-0.034362,-0.003371,-0.007743,0.015255
1.900000,0.006005,-0.056477,-0.004772,0.017498,0.004232,-0.005788
1.910000,-0.032185,-0.006778,-0.038733,0.017212,-0.006984,-0.013841
1.920000,-0.050579,0.014254,0.055649,-0.019871,0.001023,-0.017150
1.930000,0.040671,0.055635,0.061502,0.014189,-0.005804,-0.012864
