t,ax,ay,az,gx,gy,gz
0.000000,-0.028313,-0.015733,0.010334,-0.004719,-0.006188,0.000837
0.010000,-0.024861,-0.011738,0.051627,-0.011659,0.007423,-0.010970
0.020000,-0.032374,-0.028968,0.028878,-0.011727,-0.006437,-0.001381
0.030000,-0.065988,-0.004096,-0.006718,0.008605,-0.000746,-0.016047
0.040000,0.031333,0.040165,-0.007993,0.004875,0.004683,-0.005804
0.050000,-0.004296,-0.001759,-0.015398,0.001708,0.014346,-0.008642
0.060000,0.064599,0.025088,0.063311,0.009605,0.012656,0.001758
0.070000,-0.043839,0.062560,0.005976,-0.012290,0.013069,0.009160
0.080000,0.034209,-0.095451,0.081318,0.005484,-0.000524,0.011574
0.090000,0.022024,0.093188,0.055591,-0.008501,0.008571,-0.003217
0.100000,-0.102364,0.076079,0.009344,-0.016764,-0.010046,0.004039
0.110000,0.032096,0.027096,-0.004936,0.002222,0.004433,-0.003671
0.120000,-0.020223,0.035282,-0.041610,0.002110,0.006255,0.023599
0.130000,0.001413,0.070092,-0.060974,-0.003921,0.010247,0.006466
0.140000,-0.009946,0.058405,-0.040905,0.001226,-0.013013,0.013899
0.150000,-0.095406,-0.099093,-0.023509,0.002488,-0.005909,-0.008844
0.160000,0.084210,-0.038137,-0.014398,0.002610,-0.009379,-0.005687
0.170000,0.002654,0.055306,0.042851,-0.005914,0.000462,0.006005
0.180000,-0.007670,0.029973,0.053048,-0.003177,-0.002126,0.001083
0.190000,-0.082274,-0.018840,-0.060034,-0.007485,-0.005872,-0.004673
0.200000,-0.036330,0.032504,-0.060014,0.002880,0.016088,-0.012457
0.210000,0.115472,0.032951,-0.029231,0.002391,-0.002295,-0.001698
0.220000,-0.006575,-0.064412,-0.073727,-0.004880,0.011412,-0.024259
0.230000,-0.019271,0.065427,-0.070343,-0.011356,0.010900,0.011648
0.240000,0.061651,-0.009285,0.011933,0.017600,0.003066,0.004822
0.250000,0.003652,0.038723,0.054884,-0.018631,0.000029,0.005596
0.260000,-0.010728,0.025492,0.065038,-0.004879,-0.000922,0.012322
0.270000,0.040704,-0.020658,-0.009754,0.014568,0.002503,-0.000509
0.280000,-0.049326,0.090887,0.015324,0.007289,-0.003694,0.010441
0.290000,-0.070171,-0.041991,-0.007678,-0.005249,0.007500,-0.000197
0.300000,0.067103,-0.009550,0.030198,-0.006191,0.003592,-0.003923
0.310000,-0.035731,0.032218,0.065060,0.009943,-0.009943,0.002247
0.320000,0.039485,-0.122848,-0.007629,-0.007321,0.012011,0.007147
0.330000,-0.052886,0.033562,0.003512,-0.000448,-0.000153,0.016844
