t,ax,ay,az,gx,gy,gz
0.000000,0.051190,-0.030666,-0.002493,-0.017247,-0.011912,0.000841
0.010000,-0.013575,0.010592,0.023019,0.011989,0.001745,-0.004932
0.020000,-0.002249,0.131231,0.072986,0.014971,-0.001157,-0.013738
0.030000,-0.030222,0.064405,0.058986,0.009987,0.006451,0.002376
0.040000,-0.067231,-0.107222,0.009354,0.016216,-0.001043,0.002799
0.050000,-0.008022,-0.125307,0.005068,-0.009757,-0.007038,-0.004739
0.060000,0.001022,-0.031744,0.077603,0.006931,-0.006761,-0.000966
0.070000,-0.012486,-0.021031,-0.001279,-0.002229,-0.000527,-0.007643
0.080000,-0.069436,-0.047095,-0.142195,-0.002070,-0.011526,-0.000397
0.090000,0.018016,0.044510,0.012809,-0.000282,0.000726,0.005594
0.100000,0.008921,-0.005846,0.073674,0.018092,-0.016588,-0.003710
0.110000,-0.009250,0.042827,0.037725,-0.009131,0.003117,0.007079
0.120000,-0.070908,0.030677,-0.057896,-0.012133,0.003182,0.008654
0.130000,-0.030228,-0.011180,0.060480,0.004250,-0.003377,0.006760
0.140000,-0.037938,0.014432,-0.080151,-0.002550,0.009055,0.003526
0.150000,-0.011468,-0.026015,0.060972,-0.001883,-0.012579,0.000172
0.160000,-0.039572,-0.080243,-0.023641,-0.010716,-0.010870,-0.003480
0.170000,-0.032826,0.010206,0.064107,-0.000761,-0.011944,-0.001652
0.180000,-0.018677,0.016444,-0.006770,-0.002377,-0.005998,-0.002567
0.190000,0.023248,-0.050619,-0.002884,0.006446,-0.003877,0.005815
0.200000,0.045508,-0.039802,-0.010403,-0.000797,0.010185,0.008117
0.210000,-0.005178,-0.075916,0.034306,-0.002125,-0.006808,0.004850
0.220000,-0.030257,-0.004095,0.028940,-0.005246,-0.015673,0.007355
0.230000,0.034004,-0.061194,0.018961,-0.006122,-0.020701,-0.000764
0.240000,0.047469,-0.034564,0.037989,0.009360,-0.005897,-0.003480
0.250000,0.018942,0.022987,0.041563,0.004987,-0.004550,-0.001039
0.260000,-0.045769,-0.048744,0.056654,0.008950,0.006775,0.002262
0.270000,-0.016768,-0.073715,-0.009018,-0.016670,0.005841,-0.003952
0.280000,-0.006197,0.011488,-0.019977,0.004896,-0.015168,0.009377
0.290000,0.086170,-0.045487,-0.097754,-0.008405,0.004310,0.009332
0.300000,-0.074064,-0.037544,0.023053,0.003907,0.003862,0.000882
0.310000,-0.011023,0.016551,-0.034354,-0.012198,0.013254,0.010955
0.320000,0.019728,-0.080069,0.007053,-0.003826,-0.034279,0.010067
0.330000,0.028924,-0.047120,0.083037,-0.018208,0.005321,-0.007286
0.340000,-0.094807,0.034012,0.040709,0.004802,-0.010073,0.000056
0.350000,-0.044336,0.014751,-0.044040,-0.017063,0.000153,-0.000044
0.360000,0.013553,-0.012244,-0.001088,0.007180,-0.004783,0.002830
