t,ax,ay,az,gx,gy,gz
0.000000,-0.040668,0.002336,-0.103004,0.001576,-0.005499,0.000593
0.010000,0.063021,-0.022395,-0.002592,0.015097,-0.015799,0.020588
0.020000,-0.021567,-0.039314,0.032359,0.034784,-0.005025,0.013984
0.030000,0.023027,-0.033023,0.081331,0.008968,0.007695,-0.007614
0.040000,0.037397,0.075227,-0.098668,-0.009455,-0.004778,-0.004257
0.050000,-0.036740,0.043304,-0.066449,-0.012297,-0.007875,0.010067
0.060000,-0.025901,-0.056613,0.014860,0.015446,-0.009077,0.024408
0.070000,-0.022099,-0.055538,0.081793,-0.014354,-0.011852,-0.018874
0.080000,0.027707,0.026690,0.005166,-0.018067,0.011412,-0.004811
0.090000,0.038091,0.023104,-0.095523,-0.000471,-0.003642,-0.013438
0.100000,0.093267,0.085028,-0.025287,-0.017846,-0.022848,-0.003745
0.110000,-0.085571,-0.056699,-0.055057,0.003163,-0.010699,-0.024017
0.120000,0.012770,-0.022534,-0.032490,0.007842,0.009184,-0.015615
0.130000,0.029406,-0.007353,0.046184,-0.013587,0.006185,-0.021000
0.140000,-0.004169,0.083298,0.110838,-0.015375,0.013002,-0.006899
0.150000,0.010722,-0.016979,-0.004355,-0.001185,-0.013407,0.009895
0.160000,0.051902,0.042549,-0.096349,-0.002426,0.008554,-0.006925
0.170000,0.026730,-0.020494,0.012771,-0.013131,-0.002890,-0.010181
0.180000,-0.001182,-0.021039,-0.084445,-0.006929,-0.010252,-0.014457
0.190000,-0.080457,-0.015057,-0.007907,0.006013,0.002990,-0.011817
0.200000,-0.004315,0.012068,-0.042108,0.016072,-0.009179,0.006653
0.210000,-0.070950,0.048322,0.026942,-0.027991,-0.004702,-0.020358
0.220000,-0.036121,0.042556,-0.051247,-0.010454,0.002341,0.001183
0.230000,0.010335,0.010951,-0.032621,-0.009432,-0.001323,0.001282
0.240000,0.023910,-0.065740,-0.002149,-0.008147,0.005003,-0.000378
0.250000,-0.001979,-0.056007,0.031044,-0.007174,0.016524,-0.005748
0.260000,0.055563,-0.003700,0.003478,-0.012483,0.008112,0.004500
0.270000,-0.014629,-0.005309,-0.026272,-0.022062,-0.021536,0.003014
0.280000,-0.000342,-0.013721,0.080868,-0.008813,0.001280,-0.005734
0.290000,-0.012329,-0.048875,-0.087832,0.003535,0.005805,-0.020543
0.300000,0.048863,0.070616,-0.060115,-0.011824,0.014206,0.002652
0.310000,0.029012,0.024844,-0.000893,0.005207,0.021480,0.010139
0.320000,-0.057476,0.023665,0.064281,-0.000555,-0.012986,0.011988
0.330000,0.068703,0.024404,0.042019,0.012258,0.001326,0.018564
0.340000,-0.092243,0.028875,0.029599,0.002830,0.000656,0.012006
0.350000,-0.017602,0.003241,-0.027572,0.004946,0.007629,-0.021505
0.360000,-0.078775,0.029634,0.093432,0.003591,-0.005002,-0.005658
0.370000,-0.044633,0.002824,-0.067304,-0.002377,-0.006968,0.007168
0.380000,0.010522,-0.032716,-0.007856,-0.012114,-0.018144,-0.001534
0.390000,0.048827,0.013982,-0.006577,0.013291,-0.005320,-0.002719
0.400000,-0.047134,0.034182,-0.056173,-0.002953,0.025117,0.009378
0.410000,0.065993,0.005232,-0.051830,-0.006035,-0.002109,-0.007908
0.420000,-0.075838,-0.016602,-0.018042,0.018593,-0.015415,-0.009823
0.430000,0.022728,-0.051384,0.039309,0.008843,0.016987,-0.000201
0.440000,-0.126679,0.004089,-0.036209,-0.002787,0.000343,0.000735
0.450000,0.004614,0.060222,0.045207,0.020987,0.004361,-0.003707
0.460000,0.016684,0.066424,0.068465,0.003974,0.009360,-0.009472
0.470000,0.076785,-0.030411,0.037258,0.002549,0.000233,-0.011510
0.480000,0.038325,0.000414,0.051651,-0.004244,-0.004828,-0.004979
0.490000,0.001798,-0.074479,0.063475,0.018712,0.000193,0.003471
0.500000,-0.030601,-0.087758,0.159487,0.006565,-0.000659,-0.004447
0.510000,-0.054097,0.031946,-0.052962,0.014902,0.014978,0.009069
0.520000,-0.021177,-0.034966,-0.049807,-0.001109,0.003508,-0.008135
0.530000,0.043361,0.113564,0.000291,0.000991,-0.011771,0.007972
