t,ax,ay,az,gx,gy,gz
0.000000,-0.012043,0.091140,0.027198,0.005525,-0.018215,-0.008064
0.010000,0.023300,0.024936,0.065398,-0.012366,0.009030,0.006724
0.020000,-0.155004,0.034794,-0.040726,-0.019116,-0.002775,0.013983
0.030000,-0.059110,-0.006950,-0.004218,0.007360,-0.003482,0.004264
0.040000,-0.087527,-0.059387,-0.070636,0.007961,0.017625,-0.004348
0.050000,-0.042031,0.025242,-0.019009,0.013608,-0.005504,-0.005993
0.060000,0.014375,-0.039588,0.068208,-0.001838,0.001596,0.007542
0.070000,-0.022815,0.044772,0.003155,-0.000965,-0.005093,-0.008574
0.080000,-0.038865,0.108378,0.061804,0.005930,0.000389,0.002953
0.090000,-0.010697,0.046059,-0.000781,0.003947,0.013946,0.011192
0.100000,-0.013620,-0.035088,-0.000556,0.007484,-0.001517,-0.012794
0.110000,0.015649,0.010717,0.029040,-0.004805,-0.000914,-0.006835
0.120000,-0.001164,-0.065136,0.019991,0.005648,0.000671,-0.008984
0.130000,-0.036682,-0.083765,-0.012951,0.013599,0.004417,0.001010
0.140000,-0.027968,-0.043990,-0.067241,0.010881,-0.007872,-0.006226
0.150000,0.011965,-0.035106,-0.049084,-0.003589,0.005243,0.003301
0.160000,0.017455,-0.012735,0.015452,0.031280,-0.009693,0.000869
0.170000,-0.010496,0.014987,-0.075874,-0.002656,0.004425,0.008677
0.180000,0.069625,-0.089210,0.039696,0.002331,0.003687,-0.003593
0.190000,-0.008821,0.106088,-0.000110,0.016342,-0.004715,-0.031320
0.200000,0.031282,-0.106014,0.059798,-0.005982,0.023827,-0.011828
0.210000,0.021064,-0.091500,-0.035680,0.004816,-0.007983,0.004656
0.220000,-0.017652,0.052501,-0.015702,0.011061,-0.004580,0.012798
0.230000,-0.066478,-0.024793,0.025409,0.010831,0.003189,-0.000722
0.240000,-0.007409,0.031070,-0.123807,-0.002228,-0.008139,-0.011236
0.250000,0.089472,-0.003260,0.014225,0.005844,0.003444,0.004156
0.260000,0.041510,0.061553,0.055947,0.010094,-0.000233,0.013367
0.270000,-0.041133,-0.085089,0.023750,-0.016300,0.017968,-0.000312
0.280000,0.058518,0.023986,-0.105337,-0.007046,-0.001123,0.015818
0.290000,0.101704,-0.026947,0.042198,-0.006609,0.000988,-0.010349
0.300000,-0.095972,0.069319,0.049368,0.004018,0.012527,0.002871
0.310000,-0.022122,0.063876,0.008650,-0.003619,-0.004091,0.001125
0.320000,0.041387,-0.006193,-0.035861,0.005478,0.008695,-0.010406
0.330000,0.090306,0.023424,-0.069628,-0.004846,0.014482,0.004980
0.340000,0.007273,0.034782,0.055418,0.001476,0.007835,-0.023391
0.350000,0.106938,0.031035,-0.036566,0.006732,0.025250,0.000754
0.360000,-0.010923,0.065206,-0.034884,0.002796,-0.003261,-0.009551
0.370000,0.010274,-0.024134,-0.015765,-0.004968,0.008968,0.005664
0.380000,-0.011482,0.011373,-0.006911,-0.008712,-0.006322,-0.006126
0.390000,-0.080685,0.061392,0.055511,0.001661,-0.001984,-0.000694
0.400000,0.010401,0.062676,0.037127,-0.010742,0.016235,0.002996
0.410000,0.039847,0.016319,0.037954,-0.005226,-0.007956,-0.003846
0.420000,-0.051310,-0.016209,-0.072817,0.011710,0.015089,-0.006339
0.430000,-0.059177,0.062624,0.021097,-0.004378,-0.016719,-0.016108
0.440000,-0.024677,-0.048163,-0.068957,0.001337,-0.003144,-0.003594
0.450000,-0.060530,-0.031074,-0.141987,-0.004955,0.003210,0.001298
0.460000,0.045154,0.015629,0.020897,0.010410,0.026014,-0.010704
0.470000,0.031768,-0.001666,0.010779,-0.012354,0.016158,-0.000575
0.480000,-0.002194,0.072633,-0.045307,0.008072,-0.011218,-0.010597
0.490000,0.041472,-0.053997,-0.058360,0.008675,-0.012507,0.014362
0.500000,-0.073873,-0.096547,0.012575,0.008442,-0.006862,0.015581
0.510000,-0.051708,0.016144,0.081662,0.005444,-0.001999,0.000952
0.520000,-0.023051,0.018237,0.051530,-0.019323,-0.013338,0.007756
0.530000,0.014435,0.006207,-0.084151,0.002213,0.014657,0.003980
0.540000,0.005988,0.030538,0.090522,-0.011956,-0.010316,-0.008167
0.550000,-0.018312,0.061121,-0.031027,-0.005827,0.001559,0.011897
0.560000,0.046642,-0.041619,0.006246,0.006282,0.012627,0.004054
0.570000,-0.032697,0.000392,0.000246,-0.004193,-0.013862,0.006312
0.580000,0.004632,-0.039720,-0.002376,-0.000943,0.007928,-0.006038
0.590000,0.017143,-0.016350,-0.043459,0.016338,0.016382,-0.008721
0.600000,-0.037499,0.049535,0.000402,0.003291,-0.015700,-0.008202
0.610000,0.069829,-0.012129,-0.007469,-0.008736,-0.006037,-0.002724
0.620000,0.026824,0.027669,0.066868,-0.007775,0.001535,-0.015304
0.630000,-0.108169,0.023777,-0.053259,0.009928,-0.010628,-0.001568
0.640000,-0.006223,-0.055589,0.010632,-0.004248,0.010288,-0.003283
0.650000,-0.053433,-0.095178,-0.058010,0.014583,0.003580,-0.009353
0.660000,0.056851,0.033295,0.063247,-0.002131,-0.000441,0.007344
0.670000,-0.098193,0.088810,0.119005,0.001686,-0.002218,-0.007644
0.680000,-0.052455,0.018600,-0.031457,0.004776,-0.003532,-0.007213
0.690000,0.038713,0.082227,-0.049165,-0.010286,0.010255,-0.014856
0.700000,-0.065875,-0.013102,0.181746,0.004802,0.000212,-0.005466
0.710000,0.042015,0.024981,0.051359,-0.007170,0.000183,-0.005375
0.720000,0.058349,0.016742,-0.002643,-0.005769,0.009939,-0.001541
0.730000,-0.028915,0.010954,0.057215,0.000075,-0.008021,0.009947
0.740000,0.054214,-0.027497,-0.005706,0.012215,0.002185,0.014273
0.750000,-0.059817,0.053749,0.025927,-0.005438,0.009193,-0.003794
0.760000,-0.013712,-0.021064,-0.048484,-0.004822,0.013985,-0.003628
0.770000,0.004118,0.074800,-0.039135,-0.009559,-0.018148,0.000082
0.780000,-0.068790,0.005955,0.059155,-0.010262,0.019747,0.017402
0.790000,0.048000,0.060835,-0.025804,-0.029993,0.016352,-0.007818
0.800000,0.044381,0.018642,-0.013129,0.012521,0.010594,0.013413
0.810000,0.001457,0.041013,0.028614,0.017992,-0.011578,-0.010460
0.820000,0.027479,0.033609,-0.020269,0.008096,0.001124,0.006761
0.830000,-0.066245,-0.034559,0.044167,-0.003499,0.008851,-0.012956
0.840000,-0.071229,0.000518,0.007500,0.019605,0.024690,-0.018043
0.850000,0.036308,-0.063706,-0.112625,0.015636,-0.017369,0.005819
0.860000,-0.028516,0.028057,0.069485,-0.009544,0.004597,-0.012501
0.870000,-0.033444,-0.041953,0.012276,0.004072,-0.001875,-0.002660
0.880000,0.104283,0.023120,0.026805,0.003583,-0.017077,0.006194
0.890000,0.097916,0.046646,0.008357,-0.003133,-0.015492,0.006795
0.900000,-0.056072,0.003645,0.036148,-0.006222,-0.000533,0.003270
0.910000,-0.052071,0.046708,-0.005574,-0.000687,-0.000327,0.005889
0.920000,-0.010573,-0.046545,0.017565,-0.002755,0.010229,0.011470
0.930000,0.034149,-0.053533,0.025823,-0.005852,-0.005602,0.006256
0.940000,0.044786,0.042074,0.011490,0.016745,0.010972,-0.008982
0.950000,-0.016120,-0.013171,-0.069664,-0.002915,-0.008173,0.014692
0.960000,-0.031454,-0.014623,-0.040419,0.004238,-0.010018,-0.004375
0.970000,0.007317,0.074583,0.083516,-0.009441,-0.003998,0.005665
0.980000,-0.029255,0.088033,0.056554,-0.006198,0.000930,0.003099
0.990000,-0.034844,0.024877,-0.001127,-0.019100,-0.017038,-0.004792
1.000000,-0.103058,-0.063952,0.035421,-0.008911,0.004118,-0.003470
1.010000,-0.077700,0.090115,0.050041,0.007170,0.005004,0.008611
1.020000,0.034123,-0.077953,0.052288,-0.005280,-0.002204,0.020078
1.030000,0.048025,0.045004,0.047010,-0.010479,0.006682,0.010112
1.040000,0.087229,-0.036413,-0.009877,0.004742,0.008946,0.000002
1.050000,-0.044117,0.039047,-0.012068,0.004830,0.002225,-0.014083
1.060000,-0.066825,0.003762,-0.100338,-0.002177,-0.015194,0.006325
1.070000,0.003613,0.006050,-0.022283,0.002231,0.009531,-0.011378
1.080000,0.050234,-0.090561,0.004709,0.000988,0.001327,0.020117
1.090000,0.009799,-0.002234,0.061504,-0.001939,-0.005509,0.000320
1.100000,-0.032225,-0.004772,0.005351,0.016516,0.008580,0.006527
1.110000,-0.019644,-0.078550,0.075724,-0.002331,-0.002203,0.014918
1.120000,-0.039215,-0.038263,-0.112200,-0.004190,-0.004978,-0.016790
1.130000,0.002841,0.008687,0.062709,-0.015574,0.011371,-0.020259
1.140000,-0.018768,0.012682,0.050054,0.016104,-0.002558,0.003686
1.150000,0.069098,0.018678,-0.017531,0.010620,-0.006025,0.005989
1.160000,0.060187,0.061468,-0.086615,-0.010236,-0.006409,0.004376
1.170000,0.017496,0.048929,0.036112,0.004166,0.003611,0.014774
1.180000,-0.013495,-0.023948,0.068905,-0.000772,0.016081,0.000603
1.190000,0.012284,-0.009140,-0.007018,0.006032,0.007329,-0.005050
1.200000,-0.000032,-0.007503,0.057628,0.002102,-0.014525,0.001083
1.210000,0.021914,0.018536,-0.009976,0.000701,0.005378,-0.001238
1.220000,0.028948,-0.045092,0.008925,0.017850,-0.016984,-0.011751
1.230000,-0.081223,-0.012386,-0.026001,-0.009570,-0.000401,-0.007794
1.240000,-0.001427,-0.020747,0.025866,-0.011716,-0.005045,-0.014728
1.250000,-0.034081,0.043459,0.077762,0.003634,0.003067,-0.012690
1.260000,-0.054104,0.030967,-0.013435,0.008710,-0.013342,-0.005395
1.270000,0.046668,-0.054241,0.060322,0.002258,0.000654,-0.015629
1.280000,-0.018705,-0.011062,-0.010979,0.004453,-0.000475,0.018945
1.290000,-0.055906,0.039397,-0.029851,0.005950,0.014706,-0.009425
1.300000,0.024814,-0.012933,-0.010553,-0.015777,0.013256,0.003482
1.310000,0.050146,-0.075062,-0.114725,0.018281,0.011246,0.010682
1.320000,-0.035220,-0.004976,-0.012339,0.004558,-0.008566,-0.010110
