t,ax,ay,az,gx,gy,gz
0.000000,-0.029753,0.042941,-0.107438,-0.016273,0.011502,0.002521
0.010000,-0.012567,-0.010420,-0.023518,0.010703,-0.010266,0.002734
0.020000,-0.031763,-0.009225,0.052327,0.006935,-0.000889,-0.011535
0.030000,0.029867,-0.038646,-0.039014,-0.017449,0.007061,0.005767
0.040000,-0.057493,0.047391,-0.033074,-0.006936,0.008118,-0.005606
0.050000,-0.064784,0.000850,0.010075,-0.009901,0.004201,-0.017430
0.060000,-0.018092,0.001480,-0.012769,0.002019,-0.016981,-0.011727
0.070000,0.021041,0.009201,-0.036403,-0.003901,0.006971,-0.020509
0.080000,0.028010,-0.047109,-0.058094,0.007256,0.011798,0.002381
0.090000,0.004000,0.014467,0.038522,-0.001816,-0.000302,-0.014409
0.100000,0.088217,-0.095974,-0.033620,-0.000563,0.003047,0.036674
0.110000,0.001952,0.080249,-0.024063,0.012805,-0.001698,-0.010052
0.120000,-0.086330,-0.058995,-0.014367,0.003358,-0.000617,0.003605
0.130000,0.015237,0.105799,-0.037083,-0.010442,-0.016691,0.003834
0.140000,0.022324,0.047580,-0.033160,-0.004930,-0.000221,-0.010879
0.150000,0.078908,-0.033757,-0.056539,0.010894,-0.012897,0.008364
0.160000,0.072284,-0.007089,-0.060929,-0.000697,-0.002427,0.001615
0.170000,-0.026813,-0.040799,-0.032764,-0.002213,-0.003168,-0.000396
0.180000,0.003895,-0.022338,0.097957,-0.005052,0.003015,0.012848
0.190000,-0.023033,-0.012690,0.068921,0.025252,0.009989,0.006728
0.200000,0.057150,0.032506,-0.025103,-0.020811,-0.001557,-0.006818
0.210000,0.067006,-0.024459,-0.058306,-0.015337,0.010286,-0.016589
0.220000,-0.034950,0.034856,-0.018237,-0.008231,-0.017494,-0.001410
0.230000,0.004942,-0.054161,0.036070,0.011368,-0.012238,-0.005325
0.240000,-0.042034,-0.049271,-0.015686,0.008010,0.012579,0.000163
0.250000,-0.070276,-0.051222,-0.048616,-0.012401,-0.003205,-0.004266
0.260000,0.006461,-0.040671,0.009908,-0.006068,-0.013214,0.007165
0.270000,-0.013112,-0.028669,0.056680,-0.003474,-0.018235,0.005743
0.280000,-0.087385,0.025694,-0.061821,0.016719,0.002763,-0.010260
0.290000,-0.045838,-0.026689,-0.016561,0.021117,-0.000287,0.007695
0.300000,-0.007818,0.000084,-0.030769,-0.003921,-0.006541,0.007286
0.310000,-0.124352,-0.041947,0.036103,-0.009700,-0.004359,-0.001206
0.320000,0.022423,0.023948,-0.018139,0.012676,-0.014089,0.010604
0.330000,0.018297,-0.029305,-0.024452,0.007721,0.005855,0.006978
0.340000,-0.035236,0.042100,-0.135245,-0.011308,-0.014048,-0.018178
0.350000,-0.000220,-0.000248,0.003854,-0.003930,0.003015,-0.009923
0.360000,-0.010507,0.055373,-0.004368,0.005678,-0.001740,-0.000086
0.370000,-0.017036,0.026147,-0.085897,0.006028,-0.000013,-0.011972
0.380000,-0.042793,0.046376,0.007511,0.015486,0.005328,-0.011268
0.390000,-0.076325,0.124769,-0.014538,-0.002260,0.001593,-0.012062
0.400000,-0.044562,-0.077874,0.061428,0.007691,-0.011303,0.016892
0.410000,-0.053076,-0.025631,0.010235,0.009255,-0.006905,-0.010760
0.420000,-0.106586,0.034798,-0.051094,0.001319,-0.014081,-0.001831
0.430000,0.047734,0.008056,0.051028,-0.000307,0.003657,0.009712
0.440000,0.004157,0.045268,0.016786,0.008367,0.009552,0.003675
0.450000,-0.008936,0.011079,-0.154441,0.001499,-0.006700,-0.019813
0.460000,-0.033109,0.053185,-0.069819,0.001329,-0.012250,0.001070
0.470000,-0.035062,-0.081789,-0.094515,-0.022657,-0.012237,-0.007684
0.480000,-0.025436,0.014420,-0.020397,0.031558,-0.007534,-0.004458
0.490000,-0.069554,-0.065846,-0.055260,0.000504,0.007805,-0.007349
0.500000,-0.021946,-0.054747,0.047737,-0.019636,-0.015656,-0.003452
0.510000,-0.042931,-0.031601,0.019251,0.015142,-0.010175,0.007663
0.520000,-0.108918,0.068547,0.034210,-0.005155,-0.002040,-0.011636
0.530000,0.032842,-0.044191,-0.050364,0.003721,0.005662,-0.016919
0.540000,-0.037696,-0.026641,0.056196,-0.008413,-0.001282,0.005121
0.550000,-0.104621,0.058115,-0.017730,0.023692,-0.006674,-0.026905
0.560000,0.046800,0.012272,0.025023,-0.005914,0.003420,0.004739
0.570000,0.040740,-0.012937,-0.054401,-0.002121,-0.010839,0.003636
0.580000,-0.052175,0.041252,0.070258,0.000910,0.002353,-0.007388
0.590000,-0.043271,0.048922,0.041576,0.008435,0.001872,-0.001078
0.600000,-0.082188,0.039770,-0.036472,0.010369,-0.003570,0.008840
0.610000,0.069218,0.006036,0.119095,-0.005791,-0.011442,-0.000206
0.620000,-0.006951,-0.036150,0.021742,-0.020577,0.003429,0.010288
0.630000,0.033930,0.024045,-0.023292,0.024139,0.010215,0.018037
0.640000,0.034593,-0.063007,-0.117727,0.002985,0.013965,0.001889
