t,ax,ay,az,gx,gy,gz
0.000000,-0.106873,0.048351,0.080081,0.001205,-0.008105,-0.003442
0.010000,-0.031110,0.023561,-0.024677,-0.006635,-0.015939,-0.003178
0.020000,0.058882,0.011363,0.030820,0.020903,-0.005724,-0.000601
0.030000,-0.090854,-0.004683,-0.026331,0.000975,0.017494,0.004437
0.040000,0.068528,-0.027292,-0.012448,-0.009015,-0.017074,-0.009357
0.050000,-0.092977,0.007659,0.005151,0.001224,-0.011816,0.013277
0.060000,-0.014470,0.063706,0.000997,-0.003435,0.013474,-0.003911
0.070000,-0.031459,-0.040027,0.037462,-0.008389,-0.009756,0.005017
0.080000,-0.081052,-0.033149,-0.006337,0.012744,0.004479,-0.012053
0.090000,-0.020523,-0.003668,0.056565,0.000828,-0.001779,-0.021648
0.100000,-0.013525,-0.049835,0.076948,0.000390,0.008855,0.016301
0.110000,-0.013858,0.021173,0.073901,0.008189,-0.015938,-0.008705
0.120000,-0.035993,0.089188,0.089168,0.009428,-0.011412,0.006046
0.130000,-0.036537,-0.028636,0.036782,-0.004860,-0.000634,-0.011185
0.140000,0.072492,0.041446,-0.002063,0.003499,-0.004253,0.017716
0.150000,0.026749,0.035639,0.015722,-0.004554,0.023542,0.005072
0.160000,-0.022530,0.040889,-0.013089,-0.001962,-0.006909,-0.001871
0.170000,-0.094463,-0.068135,0.064884,-0.004384,0.000046,-0.002430
0.180000,-0.053328,0.005444,0.064064,0.015715,0.007314,0.009953
0.190000,0.009046,0.115276,-0.004683,0.011840,-0.004255,-0.012377
0.200000,-0.040998,-0.071989,-0.092442,0.003977,0.000184,-0.001405
0.210000,0.077359,-0.055615,-0.080440,0.023701,0.006015,-0.010272
0.220000,-0.017816,-0.029107,-0.033143,0.002849,0.004694,-0.007033
0.230000,0.064836,0.011354,0.043750,0.007922,-0.011336,-0.008048
0.240000,0.114804,-0.039570,0.011675,-0.003013,-0.004122,0.001181
0.250000,-0.069496,0.077029,-0.010210,-0.007473,0.004010,0.003350
0.260000,-0.154040,-0.066548,0.074539,-0.032167,0.013364,0.004988
0.270000,-0.091219,-0.004935,0.024781,-0.001766,-0.008289,0.006952
0.280000,0.028234,0.128014,-0.003906,-0.006321,-0.004321,-0.003002
0.290000,-0.048173,-0.043854,0.058290,-0.003847,-0.002597,-0.016604
0.300000,-0.122751,0.011720,0.082145,0.004214,-0.008236,-0.001515
0.310000,0.004522,0.065868,-0.107041,-0.004937,-0.000205,-0.001788
0.320000,0.063810,0.010254,-0.026990,-0.004219,0.001386,0.008795
0.330000,-0.026191,0.087144,-0.041639,0.003057,0.010609,0.012292
0.340000,-0.039047,0.080735,0.015011,-0.004511,0.016221,-0.003985
0.350000,0.024818,-0.051544,-0.052296,-0.012927,0.002186,0.005636
0.360000,0.087986,0.016712,-0.001412,0.019667,0.008571,0.012833
0.370000,-0.016703,-0.008053,-0.039636,0.012589,-0.005780,0.005321
0.380000,0.019220,-0.033751,-0.021472,-0.006193,0.001087,0.000688
0.390000,0.022733,0.070163,0.061123,0.003413,0.016364,0.013466
0.400000,-0.033206,-0.011284,-0.085563,0.000111,-0.003551,0.012185
0.410000,0.030474,0.036097,-0.000566,0.002402,0.013292,-0.023302
0.420000,0.062439,-0.031066,0.003463,0.000368,0.012902,-0.012094
0.430000,-0.059411,-0.008136,-0.025324,-0.014743,-0.014320,0.001299
0.440000,0.028813,-0.020318,0.058360,-0.006783,0.004015,0.009725
0.450000,-0.086327,0.027018,-0.139244,-0.006464,0.005303,0.000889
0.460000,-0.006917,0.057917,-0.006636,-0.020112,-0.009620,0.005227
0.470000,0.059692,-0.051066,0.007737,0.006060,-0.014006,-0.001323
