t,ax,ay,az,gx,gy,gz
0.000000,0.083768,0.076011,0.000793,0.010093,0.007446,0.014266
0.010000,-0.000504,-0.034018,0.038263,0.008018,-0.000337,0.002698
0.020000,-0.062678,-0.044000,-0.075131,0.002355,0.006876,-0.014147
0.030000,-0.005358,0.009917,-0.057325,-0.005849,0.003600,0.008833
0.040000,-0.047685,0.028556,-0.012183,0.009497,-0.023540,0.012204
0.050000,-0.047160,-0.030888,0.034941,0.001512,-0.015034,-0.006686
0.060000,0.029331,-0.006741,-0.053153,-0.016042,0.003478,-0.003784
0.070000,-0.063541,-0.089352,-0.044782,-0.004883,0.022693,0.005768
0.080000,0.031345,-0.038933,-0.051058,0.010256,-0.002234,0.000507
0.090000,-0.046522,-0.022328,0.052202,-0.000648,0.009704,0.009590
0.100000,-0.046014,-0.030081,-0.059325,0.001337,-0.008476,0.013797
0.110000,0.046282,-0.002262,-0.070342,0.001344,-0.017997,0.024905
0.120000,-0.052975,0.019933,0.053692,0.003821,0.001058,-0.018422
0.130000,-0.031550,0.033070,0.018570,0.008256,-0.013785,0.018109
0.140000,0.094028,-0.049646,0.089572,-0.022280,0.008497,0.015317
0.150000,0.038803,-0.045499,0.033167,0.002556,0.001367,0.003184
0.160000,-0.038496,0.011423,0.029453,-0.017530,-0.005434,0.002963
0.170000,-0.031247,0.091002,-0.000705,0.008747,0.008875,-0.010020
0.180000,0.002416,0.040524,0.036989,0.007836,0.007164,-0.020398
0.190000,0.044642,0.035602,0.107718,-0.015334,0.009411,0.000100
0.200000,0.012337,0.009921,0.066980,0.011427,0.019646,0.012874
0.210000,0.000457,-0.058050,-0.024650,-0.004906,-0.004104,-0.000888
0.220000,-0.024444,0.084861,-0.038518,0.005936,0.012271,-0.016974
0.230000,-0.059599,0.043424,0.102545,0.001435,0.009455,0.012954
0.240000,-0.071298,0.105139,-0.047635,0.012890,-0.016975,-0.017254
0.250000,-0.091319,-0.074569,0.003053,0.005036,0.017614,0.002862
0.260000,-0.021297,-0.004484,-0.027522,-0.000047,-0.011785,-0.006897
0.270000,-0.066175,0.033522,-0.027173,-0.009088,-0.002438,-0.006182
0.280000,0.056268,0.033854,-0.018096,0.006102,0.012908,-0.002712
0.290000,-0.026500,-0.106933,0.041531,-0.005083,-0.005723,0.017804
0.300000,0.008932,0.023586,-0.046101,-0.010991,0.001703,-0.011127
0.310000,0.000262,-0.062427,-0.051993,-0.018983,-0.004146,0.000853
0.320000,0.065717,-0.017977,-0.007660,-0.009067,-0.009903,-0.012120
0.330000,-0.074418,-0.049089,-0.057487,-0.002661,-0.001827,0.014466
0.340000,-0.015553,-0.032102,-0.017578,0.008836,-0.000543,-0.012896
0.350000,0.026172,0.071410,0.022809,-0.011985,0.005038,0.022680
0.360000,-0.052682,-0.065990,-0.050940,-0.002274,-0.017337,0.006787
0.370000,0.007228,0.050115,0.047766,0.011674,0.003303,-0.000611
0.380000,0.103516,-0.005617,-0.027116,-0.007655,-0.009138,0.004426
0.390000,-0.003230,-0.091376,-0.000950,-0.009038,0.003370,-0.008091
0.400000,-0.018345,-0.060586,0.064036,0.009388,-0.004062,-0.001104
0.410000,-0.037324,-0.024950,-0.077987,0.004512,0.011890,0.007681
0.420000,0.007436,0.097217,0.009998,0.000953,0.000533,-0.011121
0.430000,0.054502,-0.033248,0.032781,-0.002524,0.014420,0.001283
0.440000,-0.038030,-0.053166,0.021246,-0.007476,0.007646,0.001830
0.450000,0.070094,-0.043608,0.015535,-0.019041,-0.008570,-0.011991
0.460000,-0.098762,-0.054445,0.129914,-0.010351,-0.006507,0.006301
0.470000,-0.023977,-0.031520,0.031208,-0.009639,-0.013374,0.007376
0.480000,-0.053628,0.030599,0.031142,-0.001249,0.008522,0.001300
0.490000,-0.017166,0.072308,-0.079604,0.037205,-0.001574,-0.008398
0.500000,-0.018755,0.065996,0.046620,0.002459,-0.003257,0.003329
0.510000,-0.023327,-0.033927,0.011475,-0.003174,0.012051,0.012574
0.520000,-0.099059,0.000788,0.013887,-0.005979,0.007112,0.008907
0.530000,-0.038408,-0.000568,0.000085,0.010449,-0.013819,0.004196
0.540000,-0.074682,-0.003471,-0.070838,-0.010416,-0.005106,0.000953
0.550000,-0.033150,-0.025988,0.075709,-0.006191,0.000124,0.008539
0.560000,0.042862,0.076527,-0.030305,0.003049,-0.004683,0.001798
0.570000,-0.014433,0.013129,0.004805,0.002163,0.005737,-0.009539
0.580000,0.055773,0.033725,0.045835,-0.002760,0.000174,0.015827
0.590000,-0.014252,0.038034,-0.024304,-0.007812,0.002735,-0.004973
0.600000,0.119669,-0.015497,0.007178,-0.010212,0.004095,-0.005770
0.610000,0.038459,0.120177,0.053775,0.009967,-0.008049,-0.000940
0.620000,-0.042515,0.053494,-0.079565,0.002601,-0.000073,-0.014075
0.630000,-0.026108,-0.038551,-0.021075,-0.013243,0.004884,0.012515
0.640000,0.038800,0.054923,0.062640,-0.012502,-0.023554,0.004135
0.650000,-0.025277,-0.072351,0.024303,0.005712,0.008267,0.003947
0.660000,0.011082,-0.090414,-0.018077,0.006900,0.019504,-0.006366
0.670000,-0.051521,-0.107005,0.007774,0.011641,0.018358,0.001055
0.680000,-0.032403,-0.031283,0.003646,-0.002087,-0.005843,-0.013252
0.690000,-0.097457,-0.056029,0.011822,-0.030577,0.011403,-0.004562
0.700000,0.027249,0.067492,0.010328,-0.001623,-0.009904,-0.001575
0.710000,0.028800,0.004532,0.043653,0.010924,-0.006431,0.018878
0.720000,-0.057595,-0.035456,-0.005450,-0.002168,0.001108,0.010089
0.730000,-0.000722,-0.062429,-0.080130,0.008753,0.008972,0.025630
0.740000,-0.046213,-0.037189,0.016367,0.008698,0.001562,0.008828
0.750000,-0.104021,0.114534,-0.044493,-0.008184,0.001962,0.022232
0.760000,-0.081913,-0.068233,-0.007738,-0.003922,0.007507,-0.005648
0.770000,-0.047873,-0.010158,-0.020771,-0.008595,-0.005070,0.017042
0.780000,0.004491,-0.006479,0.019828,0.004163,-0.002558,-0.002572
0.790000,0.082080,-0.020587,-0.052992,-0.002361,0.001442,-0.008631
0.800000,0.045442,0.018862,-0.006237,0.005126,0.010778,-0.000938
0.810000,0.008627,-0.028159,0.066635,-0.013161,0.002580,-0.012346
0.820000,0.046500,0.012447,-0.016763,-0.014433,0.007118,-0.023601
0.830000,-0.088483,0.038640,0.004218,0.001626,0.008667,0.021587
0.840000,0.048604,-0.071466,-0.008190,-0.016830,-0.003685,-0.008100
0.850000,-0.012107,-0.093836,-0.075493,0.004959,-0.009897,0.022198
0.860000,0.013157,0.129581,0.064223,-0.009692,0.000982,0.006265
0.870000,-0.091288,0.009400,-0.035773,0.005425,-0.002357,-0.016704
0.880000,0.032434,0.005638,-0.031795,-0.002627,-0.015656,-0.000859
0.890000,0.041411,0.002970,0.012441,0.003067,-0.005198,-0.004507
0.900000,-0.000244,0.000361,0.004664,-0.011356,0.026642,0.005594
0.910000,0.065995,0.044533,0.058845,-0.012227,-0.010785,0.004578
0.920000,-0.101781,0.021533,-0.052538,-0.019496,-0.008128,0.008593
0.930000,0.009219,0.059063,-0.053935,0.009648,0.002860,-0.000146
0.940000,0.011704,-0.027611,0.050133,0.015887,-0.011134,-0.006840
0.950000,0.010801,-0.015759,-0.012338,0.016794,-0.001018,0.005223
0.960000,0.014315,0.086472,0.013206,0.001113,0.028052,-0.005202
0.970000,0.025083,0.048354,-0.008611,0.009782,-0.017637,0.002855
0.980000,-0.049303,0.005535,0.045656,0.011653,0.008976,0.005383
0.990000,-0.003686,-0.052061,0.033843,0.008080,-0.006505,0.008213
1.000000,0.088790,0.002981,-0.040201,0.019940,-0.006313,0.016658
1.010000,0.052773,0.046393,0.029455,0.001388,0.004293,-0.024548
1.020000,0.012200,0.009257,0.077793,-0.012038,-0.000367,0.011741
1.030000,0.036670,-0.002730,0.020795,-0.005320,-0.007238,-0.004816
1.040000,-0.007981,-0.009945,-0.011231,0.020766,0.010331,-0.002293
1.050000,0.035672,-0.009809,-0.001807,0.000165,-0.021767,-0.009997
1.060000,0.011283,0.039409,0.063306,-0.009897,-0.002417,0.012595
1.070000,-0.030845,0.027462,0.029888,-0.003118,-0.011490,-0.003940
1.080000,0.009133,-0.085605,-0.001110,-0.003084,-0.001808,-0.000890
1.090000,0.010159,0.065141,0.061294,0.004903,-0.010128,0.014424
1.100000,0.032631,0.120503,0.028002,-0.008560,0.003978,-0.010577
1.110000,-0.023448,0.047948,-0.006256,-0.010111,0.011253,0.007874
1.120000,0.021734,-0.045598,-0.026311,0.012149,0.010563,-0.019578
1.130000,-0.073447,0.001160,-0.032423,0.005524,0.001686,-0.010547
1.140000,0.114452,0.062165,-0.022207,-0.007308,-0.010499,0.004937
1.150000,-0.037330,-0.034257,-0.039873,0.010244,0.000276,-0.018490
1.160000,-0.046607,-0.003297,-0.032540,-0.002006,-0.016011,0.022971
1.170000,-0.051938,0.063085,-0.027388,0.010463,0.009036,-0.015060
1.180000,-0.028348,0.082280,0.093180,0.009870,0.002471,-0.002070
1.190000,0.045343,0.011537,-0.035268,0.004366,-0.022580,0.001461
1.200000,0.052788,-0.026022,-0.071678,-0.003353,-0.006598,-0.009190
1.210000,-0.021100,-0.055387,-0.040337,-0.004744,-0.003523,0.004590
1.220000,0.070020,0.073109,-0.034910,-0.003440,-0.029192,-0.005774
1.230000,-0.033259,-0.043155,0.087811,-0.001169,-0.000746,0.017827
1.240000,0.077672,-0.032550,0.054980,-0.009426,-0.014606,0.008836
1.250000,0.013009,0.021160,0.031457,0.001339,0.009304,-0.022838
1.260000,-0.010613,-0.014996,0.082779,-0.006633,0.005375,-0.006591
1.270000,0.000684,0.020247,0.094226,0.013501,-0.010751,0.018700
1.280000,0.026854,0.005126,-0.019053,-0.004155,0.004069,-0.009158
1.290000,-0.035072,0.014589,-0.030354,-0.003793,0.017473,-0.006928
1.300000,-0.013815,-0.089209,0.022939,-0.000419,0.013582,-0.008596
1.310000,-0.039153,0.099096,-0.038555,0.008518,-0.003117,-0.016021
1.320000,-0.016358,-0.001695,-0.018137,0.009147,0.024848,0.012257
1.330000,-0.088109,0.004685,0.025803,0.003365,-0.005674,0.002724
1.340000,-0.014021,-0.010546,-0.015015,0.008554,-0.012428,-0.023430
1.350000,-0.039440,-0.029447,0.077536,-0.015951,-0.007510,-0.003664
1.360000,0.024780,0.043347,-0.024478,-0.004806,-0.000830,-0.010132
1.370000,0.049225,0.059843,-0.016968,0.001618,-0.003667,-0.005801
1.380000,0.130322,-0.044728,-0.056478,-0.000256,-0.006312,0.014148
1.390000,-0.038809,-0.021538,0.038698,-0.005070,-0.001309,0.015377
1.400000,-0.032745,-0.096867,-0.026612,-0.007218,0.009482,-0.005079
1.410000,-0.014797,0.020685,-0.124230,0.021036,-0.004916,-0.011595
1.420000,-0.015507,-0.001935,0.003173,0.011202,0.022299,0.005629
1.430000,0.036620,-0.046314,-0.006455,-0.003234,-0.013753,0.002712
1.440000,0.004566,-0.013808,0.020820,0.017341,0.006866,-0.003239
1.450000,-0.046531,0.024197,-0.012066,-0.004201,0.003108,-0.009891
1.460000,0.038786,0.057886,0.043686,0.002841,0.010841,0.004718
1.470000,-0.065149,-0.032206,0.011783,0.001482,-0.010735,0.004579
1.480000,-0.017012,-0.031132,0.042975,-0.009254,0.007877,0.007902
1.490000,-0.053638,-0.081354,-0.048250,-0.013972,-0.008737,-0.001794
1.500000,0.017520,0.072721,0.092451,-0.006328,-0.005563,0.007673
1.510000,-0.012758,-0.048053,0.001299,0.006677,0.007173,0.006767
1.520000,0.007823,-0.085265,-0.092002,0.017820,-0.002316,0.006777
1.530000,-0.064569,0.061145,-0.012777,-0.022957,-0.013818,0.006585
1.540000,-0.027216,0.025107,0.053825,0.000477,-0.000137,-0.001539
1.550000,-0.037483,0.006622,0.011044,-0.020957,-0.009681,-0.000429
