t,ax,ay,az,gx,gy,gz
0.000000,-0.066610,0.059807,-0.039256,0.008607,0.006311,-0.013816
0.010000,0.047963,-0.006442,0.045993,0.005369,0.006733,-0.005032
0.020000,0.090314,-0.007771,0.096507,0.012346,-0.006329,0.010611
0.030000,0.033418,0.013773,-0.058785,0.005944,-0.001761,-0.009941
0.040000,-0.025624,0.018857,-0.014453,-0.005730,-0.006700,0.018101
0.050000,0.019877,0.017065,-0.055091,0.010800,0.010014,0.003254
0.060000,-0.024974,0.067529,-0.025133,-0.004931,0.007343,-0.009260
0.070000,-0.063453,-0.042222,0.039231,0.015214,-0.015241,-0.010688
0.080000,-0.025767,-0.067811,-0.017757,0.006305,-0.003026,0.012207
0.090000,0.028492,-0.037867,0.024291,0.012371,-0.024491,-0.008429
0.100000,0.016429,0.009681,-0.045353,-0.008647,0.008830,-0.013972
0.110000,-0.057952,0.056725,0.033597,-0.024213,-0.010338,0.005405
0.120000,0.016735,0.018056,0.036243,0.019379,-0.016737,-0.008833
0.130000,-0.028539,0.048640,-0.014958,0.001294,0.010651,0.020609
0.140000,-0.010553,0.079876,0.032597,0.003326,0.007471,0.000717
0.150000,-0.033737,0.025933,-0.017514,0.014512,-0.005610,0.000073
0.160000,0.000255,0.014440,-0.083515,-0.022003,0.007388,0.015962
0.170000,-0.022433,-0.016622,0.007776,0.006651,-0.007580,-0.014129
0.180000,-0.069331,-0.077601,0.007705,0.016932,-0.009873,-0.003359
0.190000,0.058705,0.014220,0.128040,-0.014564,0.004603,0.018007
0.200000,-0.008163,-0.004707,-0.037509,0.001218,0.013392,-0.009135
0.210000,0.069858,-0.036023,0.004978,-0.000928,0.001875,-0.008025
0.220000,-0.116123,0.066866,0.039402,-0.009566,-0.006468,-0.002554
0.230000,-0.010350,-0.008495,0.015641,-0.005228,0.012925,-0.021548
0.240000,0.102688,-0.022885,0.017642,0.000995,-0.015712,0.010161
0.250000,-0.063495,0.049245,0.060930,-0.007771,-0.000535,0.013264
0.260000,-0.042822,-0.015747,0.065132,-0.016639,0.013514,0.004960
0.270000,0.011258,-0.073368,0.055059,-0.004537,-0.023683,0.018745
0.280000,-0.018544,-0.054250,0.034846,-0.003456,0.006301,0.001553
0.290000,0.115331,0.005824,-0.009101,0.020716,-0.010844,0.010480
0.300000,-0.081037,-0.066358,-0.105705,0.018458,-0.011913,-0.002034
0.310000,-0.044150,-0.039510,-0.041881,0.003427,0.007304,0.005717
0.320000,-0.013307,-0.003194,-0.054975,0.010626,0.000134,0.004007
0.330000,-0.006206,0.030976,0.050369,-0.012171,-0.010204,-0.000934
0.340000,0.022764,0.067764,-0.074692,-0.003508,0.006766,-0.018601
0.350000,-0.148660,0.026749,0.077752,0.004682,0.007608,-0.022156
0.360000,-0.075583,-0.012632,-0.023048,0.016720,0.019637,0.011027
0.370000,0.084677,0.024984,-0.008825,-0.002220,-0.002807,-0.005826
0.380000,0.055843,0.008788,-0.039400,-0.000073,-0.004541,0.003419
0.390000,0.056935,-0.077175,-0.013364,0.000348,0.005995,-0.003813
0.400000,-0.016826,0.121102,-0.080119,-0.010197,0.011832,-0.010015
0.410000,-0.053120,0.042289,-0.040494,-0.001760,-0.001612,0.000997
0.420000,0.016069,-0.014822,-0.036810,-0.001227,-0.003541,0.001976
0.430000,0.005805,0.029567,-0.044285,-0.009372,-0.002164,0.000834
0.440000,-0.060732,-0.015034,-0.029056,-0.017822,0.012844,0.020800
0.450000,0.028062,0.005687,0.018222,0.006160,-0.003835,-0.003362
0.460000,-0.002564,-0.029988,0.074571,-0.010396,0.015598,-0.013393
0.470000,0.013586,-0.081065,0.020992,0.009363,-0.004684,0.013425
0.480000,-0.070036,0.019617,0.066566,0.006626,0.008859,0.001733
0.490000,0.007988,0.107535,-0.069420,0.016613,-0.016219,-0.017336
0.500000,0.042659,-0.015073,-0.053766,-0.015384,-0.004670,-0.007223
0.510000,0.076892,-0.011542,0.000476,-0.005388,0.016572,-0.006128
0.520000,-0.001789,0.128217,0.035007,0.009185,0.000820,0.010960
0.530000,0.058751,-0.042755,-0.047149,0.003733,0.003611,-0.002804
0.540000,-0.035677,-0.021079,-0.052540,-0.009218,-0.015794,0.006197
0.550000,-0.015307,0.063382,0.003269,0.018802,-0.005457,-0.000185
0.560000,-0.097578,0.071858,-0.079416,-0.010288,-0.001312,-0.003400
0.570000,0.060480,-0.004695,0.131685,-0.006770,-0.010142,0.010170
0.580000,0.084283,0.032899,-0.001981,0.010204,0.014093,0.008382
0.590000,0.074136,0.007111,0.028406,-0.008942,-0.006226,0.003402
0.600000,0.009629,-0.033955,0.017453,-0.007959,0.014927,-0.000177
0.610000,-0.039599,0.037846,-0.000064,-0.009070,0.006492,0.007911
0.620000,-0.027170,-0.034074,0.085775,0.004459,0.008446,0.003844
0.630000,-0.054693,0.015856,-0.058896,0.016010,0.010606,-0.006502
0.640000,0.022141,-0.016709,0.004320,-0.006915,-0.001197,-0.000139
0.650000,-0.021020,-0.104220,0.017563,-0.006804,-0.009893,-0.002237
0.660000,0.013746,-0.053567,0.003056,-0.006643,0.000562,-0.022964
0.670000,0.014271,0.019342,0.003215,0.010840,-0.003335,0.003144
0.680000,-0.035483,0.039653,0.016655,-0.023924,0.000800,-0.001465
0.690000,-0.097181,-0.022591,0.032620,-0.000584,0.001904,-0.005640
0.700000,0.085328,0.010384,-0.064164,0.003735,-0.026835,0.002715
0.710000,-0.083940,0.004013,-0.008480,0.001818,0.015417,0.002783
0.720000,0.018149,-0.055665,0.011378,-0.023164,-0.004703,-0.004603
0.730000,-0.004532,-0.047011,0.079389,-0.000998,-0.003427,0.000698
0.740000,0.043023,-0.006556,-0.067423,-0.009545,0.015942,-0.001195
0.750000,0.024432,-0.034178,0.033200,0.021753,-0.013490,-0.004226
0.760000,0.020363,-0.051414,-0.001539,0.007387,-0.014861,0.012114
0.770000,0.048770,-0.078748,0.016926,0.001470,0.001321,0.013123
0.780000,0.083508,-0.054446,-0.087067,-0.004593,-0.005653,-0.004091
0.790000,0.135007,-0.116222,-0.003904,-0.003115,-0.012514,0.003838
0.800000,0.059506,0.067269,0.014973,-0.003538,-0.001931,-0.001714
0.810000,0.075024,-0.011599,-0.023576,0.008049,0.003108,0.004699
0.820000,0.006786,0.020282,0.022702,-0.001678,0.004901,0.019688
0.830000,-0.047869,0.004430,-0.052891,0.011775,-0.009404,0.011422
0.840000,-0.008137,0.029622,0.026839,0.004611,0.000237,0.008137
0.850000,0.097767,-0.025827,0.052737,0.006672,0.002060,-0.003568
0.860000,0.100964,0.115474,0.052604,-0.007445,0.008328,0.003495
0.870000,-0.069779,-0.049497,-0.043292,-0.002624,-0.000191,-0.003679
0.880000,0.006800,0.095873,-0.007027,-0.010169,0.012332,0.001365
0.890000,-0.037909,0.061511,-0.023991,-0.018881,0.007578,0.003081
0.900000,0.051002,-0.018061,0.045642,0.005588,0.010743,-0.001505
0.910000,0.013532,-0.014638,-0.071309,0.001506,-0.013185,-0.005235
0.920000,0.002509,-0.063808,0.018595,0.009404,-0.000356,-0.003743
0.930000,0.047078,0.028516,-0.002214,0.002711,-0.008992,-0.005543
0.940000,-0.002780,0.036245,-0.030384,0.007930,-0.017091,-0.005134
0.950000,0.009465,-0.069189,-0.036567,0.001091,0.003981,-0.008435
0.960000,0.012596,-0.066981,0.009968,0.004981,0.000429,0.012474
0.970000,0.032443,-0.035091,0.016981,0.006492,-0.002396,0.011010
0.980000,-0.067702,0.022584,-0.023007,0.000416,0.004210,-0.005614
0.990000,-0.048369,-0.018132,-0.059542,-0.009250,-0.015068,-0.005461
1.000000,0.038310,0.006322,0.051877,0.000022,-0.005973,0.002549
1.010000,-0.090439,0.044658,-0.081884,-0.001796,0.000036,0.011981
1.020000,-0.002785,0.119671,-0.079756,0.014615,-0.014688,-0.011209
1.030000,-0.000079,-0.052873,-0.029548,0.001681,-0.003862,-0.014792
1.040000,-0.050136,-0.133114,0.025634,0.003872,-0.011016,0.006623
1.050000,0.000841,-0.047227,0.062431,0.009662,0.011350,-0.007153
1.060000,0.026723,0.000165,0.026695,0.000267,0.011078,-0.020957
1.070000,0.027041,-0.002061,0.022227,-0.011234,0.005340,0.015210
1.080000,0.011944,-0.018936,-0.035676,-0.024509,-0.011562,-0.003447
1.090000,-0.034382,-0.045616,-0.008066,0.001134,0.018942,0.009866
1.100000,0.025479,0.045144,0.010405,0.004562,-0.014148,0.000058
1.110000,0.054847,-0.057693,0.052795,0.008239,-0.011177,-0.004082
1.120000,0.048969,-0.070541,-0.058621,-0.001440,-0.006764,0.007139
1.130000,-0.033675,0.023940,-0.113720,0.008711,-0.008326,-0.010564
1.140000,0.012897,0.027923,0.091739,-0.000717,0.003476,0.018921
1.150000,0.073857,-0.021120,-0.031095,0.000200,-0.003683,-0.007821
1.160000,0.056393,0.063166,0.026772,0.001740,-0.002661,0.007798
1.170000,-0.061043,-0.001930,-0.028181,0.002119,-0.000953,-0.009347
1.180000,-0.061560,0.014103,-0.045044,0.004357,-0.001534,0.006873
1.190000,0.113903,-0.052322,-0.119346,-0.014358,0.003036,0.007627
1.200000,0.009542,0.076283,0.008026,0.000475,0.008368,0.004148
1.210000,-0.026586,-0.053548,-0.072294,-0.006158,-0.011535,0.009836
1.220000,-0.029723,-0.051396,0.009013,-0.005690,-0.001247,-0.005310
1.230000,-0.007721,0.003511,-0.044812,0.010593,-0.022682,0.008903
1.240000,-0.009525,0.047966,-0.089483,-0.005368,0.021079,0.009160
1.250000,-0.042610,-0.015939,-0.022829,-0.008058,0.015617,-0.006382
1.260000,0.075114,-0.082400,-0.146287,0.005883,0.004509,0.021873
1.270000,0.058082,-0.074316,-0.039880,-0.009467,-0.023916,-0.011716
1.280000,0.015535,0.062830,-0.035923,0.000123,-0.010582,-0.013987
1.290000,-0.031633,-0.061727,0.001169,-0.003330,0.009350,-0.028998
1.300000,0.075153,-0.032061,-0.045437,0.001725,0.001679,0.007950
1.310000,-0.006951,0.027824,0.040673,-0.010503,0.017239,0.001838
1.320000,-0.009309,0.078771,0.030469,0.004168,-0.005257,0.011274
1.330000,0.000490,-0.001532,-0.105506,0.024619,-0.003211,0.002624
1.340000,-0.030443,-0.052178,-0.013389,0.006103,0.014191,0.010160
1.350000,-0.044175,-0.071199,0.043107,0.005183,0.005911,0.008906
1.360000,-0.086270,0.120286,-0.055025,0.010256,0.010590,-0.005503
1.370000,-0.004347,-0.070801,-0.049196,0.028004,0.003246,0.005612
1.380000,0.040038,-0.037900,-0.033873,0.009862,0.005932,0.009520
1.390000,0.048514,0.095681,-0.020821,-0.005958,0.000777,0.000305
1.400000,-0.096686,-0.017893,-0.013575,0.009725,0.001164,0.002375
1.410000,-0.002111,0.030622,0.040684,0.002818,0.013965,-0.026510
1.420000,-0.041273,0.004957,0.007590,0.004431,-0.003588,-0.017724
1.430000,0.088413,0.044544,-0.032634,-0.010588,-0.010725,-0.004117
1.440000,-0.062273,-0.023807,0.002561,-0.008270,0.000599,0.007879
1.450000,-0.013634,-0.045774,-0.043833,0.001675,-0.006876,0.002010
1.460000,0.045771,-0.094586,0.061659,0.006239,0.011843,-0.008207
1.470000,0.001508,-0.041625,0.001303,0.017085,0.001694,0.001436
1.480000,0.047712,0.012839,-0.029547,-0.007026,-0.013222,-0.014075
1.490000,-0.023225,-0.011707,0.022640,0.017902,0.014341,0.006256
