t,ax,ay,az,gx,gy,gz
0.000000,0.054428,0.032977,0.066370,0.004905,0.013496,0.022241
0.010000,0.037760,0.048008,0.041911,0.001640,-0.003227,0.018550
0.020000,0.045263,-0.052011,-0.027637,-0.006043,0.010557,-0.010951
0.030000,0.091723,-0.029790,-0.052752,0.002998,-0.000333,-0.002554
0.040000,0.027568,-0.008367,0.077383,0.002269,-0.004520,-0.018871
0.050000,-0.069173,-0.058843,0.098125,0.008332,-0.003267,-0.001175
0.060000,-0.044780,-0.029304,-0.014792,0.016207,-0.002388,0.003632
0.070000,-0.112576,0.025697,-0.067351,-0.008328,0.022339,-0.006558
0.080000,0.030050,-0.076507,0.035898,-0.011026,-0.026639,0.006279
0.090000,-0.010458,-0.008320,0.030851,0.004653,-0.002426,-0.002468
0.100000,0.044585,0.004506,-0.000636,-0.004230,0.016711,-0.007112
0.110000,-0.025244,0.019887,0.070113,-0.002408,-0.019707,0.005197
0.120000,0.026348,-0.056599,0.000827,-0.000525,0.005475,0.004332
0.130000,-0.032507,-0.055133,-0.013807,0.002645,-0.007200,-0.006758
0.140000,0.020126,0.032935,0.024355,0.005623,-0.005548,0.005828
0.150000,-0.034767,-0.045690,-0.064313,0.001428,0.006984,-0.011249
0.160000,-0.006305,0.028085,0.023259,-0.004651,0.000008,-0.007903
0.170000,-0.046744,0.081668,0.011388,-0.004167,-0.005105,0.003019
0.180000,0.037440,0.026865,-0.070570,0.002446,0.000478,-0.010829
0.190000,0.036652,0.073796,-0.048479,-0.006703,-0.007705,0.014732
0.200000,-0.047147,0.021160,0.004020,-0.014376,-0.011209,-0.000502
0.210000,0.025803,-0.051455,0.034827,-0.010480,-0.006671,-0.007620
0.220000,-0.078161,-0.016380,0.015684,-0.019210,-0.000012,-0.015767
0.230000,-0.035840,0.003561,0.053298,0.020633,-0.005481,-0.003952
0.240000,-0.039967,-0.018782,-0.115577,-0.009159,0.000171,0.002750
0.250000,0.008279,0.065001,-0.051194,-0.018061,0.002857,0.002832
0.260000,-0.024129,0.051165,0.072300,-0.015382,0.003839,-0.012955
0.270000,-0.003028,-0.045873,-0.021879,-0.005368,-0.005837,-0.013359
0.280000,0.026926,-0.033406,-0.024134,-0.011598,0.021626,-0.018078
0.290000,-0.036371,0.046753,0.007601,0.008572,-0.001845,0.015601
0.300000,-0.027625,0.004740,0.023047,0.011360,-0.012905,-0.007214
0.310000,-0.081011,0.021584,0.063961,0.008725,-0.000382,-0.010121
0.320000,-0.037056,-0.036835,0.055046,-0.008157,0.021595,-0.000694
0.330000,-0.094013,0.113017,-0.052844,-0.000340,0.006642,-0.013066
0.340000,-0.023809,-0.047405,-0.059428,0.015281,-0.021883,0.013503
0.350000,0.017798,0.024767,-0.034509,0.005100,0.007982,-0.005801
0.360000,-0.071726,-0.023726,0.023404,-0.007007,0.016120,0.027672
0.370000,-0.000952,0.012720,-0.016738,0.001879,0.012928,0.002752
0.380000,-0.113523,-0.080666,0.053240,-0.006341,0.018366,-0.002527
0.390000,0.011733,-0.053509,-0.004961,0.006777,0.001630,0.005028
0.400000,0.089316,-0.029751,0.000347,-0.004264,0.002497,-0.009394
0.410000,0.031357,-0.031874,0.128340,0.017774,0.003289,-0.000529
0.420000,-0.007413,0.058556,0.038775,0.006057,0.006928,-0.006297
0.430000,0.040014,0.033945,-0.078727,-0.011953,-0.004766,0.008619
0.440000,-0.068518,0.078366,-0.047842,-0.002614,-0.011566,0.001605
0.450000,0.092729,-0.069206,-0.019024,0.016788,-0.000698,-0.016684
0.460000,0.009057,-0.018059,0.039019,-0.008694,-0.005420,-0.000048
0.470000,0.098621,-0.036657,-0.048515,0.005159,0.007703,-0.001263
0.480000,0.020897,0.024067,-0.049299,-0.009322,-0.016962,0.002105
0.490000,0.085674,-0.040071,0.036453,-0.017214,0.017045,0.011008
0.500000,0.002073,0.052552,-0.049602,0.014260,-0.002466,0.000480
0.510000,0.030974,-0.099985,-0.006065,-0.012347,0.008233,-0.016093
0.520000,-0.031667,0.021645,0.093253,-0.002546,-0.009722,0.014510
0.530000,-0.040159,0.013787,-0.024301,0.003800,0.002511,-0.003380
0.540000,0.070521,0.019742,-0.019256,0.007009,0.015070,0.015429
0.550000,0.039946,-0.053097,0.013318,0.025741,-0.010305,-0.006175
0.560000,-0.010027,0.035006,-0.096700,0.007600,0.000081,0.003041
0.570000,-0.038449,-0.014039,-0.077600,-0.015076,0.008070,-0.004933
0.580000,-0.089056,0.057250,-0.008341,0.004143,-0.001936,-0.011020
0.590000,0.068650,-0.000986,0.059211,0.016943,0.006026,-0.000192
0.600000,-0.055956,0.033897,-0.071650,-0.010021,0.007427,0.004666
0.610000,0.021137,0.113589,-0.016981,-0.009142,0.004572,-0.001129
0.620000,0.015931,-0.013254,0.018979,0.004190,0.005243,-0.006662
0.630000,-0.003070,0.119468,0.018619,0.004538,0.014525,0.006869
0.640000,-0.043821,-0.030980,0.069220,0.000107,0.000579,0.015399
0.650000,-0.014719,0.063078,0.048682,0.014885,-0.010669,0.005050
0.660000,-0.017466,-0.029985,0.026579,-0.002601,-0.012458,0.008297
0.670000,-0.053137,0.059372,-0.030462,0.005569,-0.005914,-0.002568
0.680000,-0.007092,0.018065,0.020554,0.011721,-0.004054,-0.005987
0.690000,-0.048800,-0.098547,-0.030477,-0.011318,0.005682,-0.014503
0.700000,0.015465,0.048461,-0.071420,-0.014513,-0.002373,-0.006261
0.710000,-0.003412,-0.083353,-0.119466,-0.013639,-0.011043,-0.016691
0.720000,0.109842,-0.025059,0.008233,0.001528,-0.013133,-0.012464
0.730000,0.038721,0.089342,-0.010915,-0.001571,-0.002334,0.000964
0.740000,-0.036313,-0.030188,-0.012864,0.019334,-0.006522,-0.029807
0.750000,-0.000595,0.000047,-0.030804,0.008643,-0.012951,0.007069
0.760000,-0.055180,0.082598,-0.001954,-0.009369,0.000218,-0.003751
0.770000,-0.044482,-0.097270,0.010196,-0.004899,-0.018012,-0.005808
0.780000,-0.013097,-0.044688,0.038528,-0.011742,0.003168,0.020313
0.790000,-0.061391,0.004643,0.024418,-0.000900,0.016887,-0.018094
0.800000,-0.054460,0.005443,-0.013784,0.001742,-0.004152,-0.007500
0.810000,0.028882,0.036565,-0.124300,-0.020650,0.004253,0.008257
0.820000,0.021833,0.021940,0.088570,0.000716,-0.015977,-0.009779
0.830000,0.035030,0.009416,-0.020058,-0.004846,0.011230,-0.012924
0.840000,-0.058009,0.019545,-0.030674,0.006474,0.012567,-0.001109
0.850000,-0.035849,-0.008536,0.018074,0.002334,-0.002308,-0.013510
0.860000,0.051449,0.010675,0.013472,0.000368,-0.009188,0.009104
0.870000,-0.018822,-0.023122,-0.013373,0.008944,0.000166,-0.004813
0.880000,0.009823,-0.060308,-0.048882,0.005489,-0.007284,-0.026490
0.890000,0.048394,0.003292,-0.138318,-0.010145,-0.004665,-0.011730
0.900000,0.024435,0.002626,0.009504,0.012623,-0.015585,0.003250
0.910000,-0.001164,0.084282,-0.001341,0.000021,-0.011680,-0.000422
0.920000,-0.116461,0.070508,0.051536,-0.011428,0.000384,0.000059
0.930000,-0.033644,-0.026396,0.047557,-0.018757,-0.019255,0.014330
0.940000,0.134740,0.027092,-0.035966,0.003537,-0.006543,-0.003778
0.950000,0.032502,-0.035389,-0.038987,-0.004987,0.009168,-0.004721
0.960000,-0.009044,0.039795,0.050923,-0.014952,-0.005284,-0.008558
0.970000,-0.067912,-0.032474,-0.083860,-0.002368,0.013283,-0.014515
0.980000,0.053279,0.018632,0.019041,-0.011620,0.005940,-0.009317
0.990000,0.000309,0.012986,0.014226,0.010443,0.009406,0.006572
1.000000,0.017091,-0.041939,0.044347,0.011686,0.008725,-0.006630
1.010000,0.061145,0.012394,-0.011338,0.023642,-0.013659,-0.000421
