t,ax,ay,az,gx,gy,gz
0.000000,-0.008754,-0.029586,-0.047732,0.010443,-0.004318,0.012387
0.010000,-0.054014,-0.021968,-0.031470,0.002474,-0.007018,-0.004972
0.020000,-0.013947,-0.015016,-0.057764,0.016967,0.007834,0.002881
0.030000,-0.111827,0.065398,0.015489,0.008990,0.009301,0.011437
0.040000,-0.034963,0.000290,0.078870,0.016343,0.013915,0.020615
0.050000,0.070331,-0.080580,-0.008476,-0.004189,-0.005693,0.020399
0.060000,0.014423,0.070116,-0.051798,0.003633,-0.002906,-0.005113
0.070000,-0.002017,-0.044515,-0.018348,0.004818,-0.006758,-0.008691
0.080000,0.003282,-0.042471,-0.019531,0.001830,0.002525,0.003553
0.090000,0.004575,0.044498,-0.040095,-0.008855,-0.006981,0.009213
0.100000,0.018755,-0.005240,0.038312,0.000429,0.017962,0.001596
0.110000,-0.079941,-0.048549,-0.036181,-0.002160,-0.015986,-0.009073
0.120000,-0.066026,0.006108,-0.001909,-0.009130,0.002475,-0.015304
0.130000,0.016637,0.006560,0.097460,0.000899,0.001829,-0.013552
0.140000,0.035923,0.028088,-0.008588,-0.002299,-0.008622,0.001843
0.150000,0.082247,-0.014145,0.029242,-0.003769,0.012118,-0.020672
0.160000,-0.015734,0.011839,0.025332,0.012582,-0.015135,0.008031
0.170000,0.045823,-0.052673,0.007741,-0.013655,0.004305,0.009317
0.180000,-0.048077,-0.017456,0.004932,-0.004358,0.004952,-0.007489
0.190000,0.014352,-0.001892,-0.047669,0.011078,-0.009113,-0.008418
0.200000,0.039116,-0.082156,0.015614,0.000475,0.007912,-0.007374
0.210000,0.006090,0.003128,0.067340,-0.001940,-0.003504,0.010930
0.220000,0.010593,0.088821,0.073483,0.008999,-0.009482,-0.029185
0.230000,-0.029214,0.001558,-0.021559,-0.017091,0.013791,0.016380
0.240000,0.064877,0.027595,-0.053964,-0.004006,-0.002717,0.000419
0.250000,0.043972,0.005728,0.045067,-0.000020,0.012371,0.011936
0.260000,-0.063448,-0.004186,0.020964,-0.012345,-0.008444,0.001272
0.270000,-0.027660,0.024147,-0.025196,0.019587,0.004419,0.002246
0.280000,0.009860,0.040887,0.018046,-0.003859,-0.010301,-0.008641
0.290000,-0.070525,0.072313,0.043006,-0.007932,0.011254,0.012309
0.300000,0.016558,0.093709,-0.002203,0.009810,-0.005584,-0.000645
0.310000,0.039604,-0.092806,0.076144,0.029262,0.007019,-0.003376
0.320000,0.037774,0.078150,-0.029267,-0.010447,0.007481,0.003246
