t,ax,ay,az,gx,gy,gz
0.000000,0.005834,-0.072955,0.078051,-0.002735,-0.010427,-0.014270
0.010000,0.020284,-0.004240,0.016039,0.024457,-0.002545,0.002029
0.020000,-0.013390,-0.050470,-0.024436,0.014795,0.013870,-0.004400
0.030000,0.054188,0.001344,0.017660,-0.001732,-0.004308,-0.002192
0.040000,0.056539,0.041861,-0.026373,0.002223,0.002559,0.009956
0.050000,0.040403,0.008413,-0.043645,-0.006293,-0.007010,-0.006774
0.060000,0.035427,0.047572,-0.080051,0.010873,0.000788,0.016372
0.070000,-0.050698,-0.045078,0.099796,0.002457,0.010401,0.011095
0.080000,-0.038208,-0.091205,-0.060996,-0.001266,0.001714,-0.006429
0.090000,0.039332,-0.032765,-0.042502,-0.006415,-0.001335,0.004744
0.100000,-0.085074,0.044033,0.043736,-0.003734,-0.000456,-0.008959
0.110000,0.011192,-0.046745,-0.029100,0.008277,-0.009126,0.012697
0.120000,-0.029887,-0.012991,-0.039045,-0.006575,0.005522,-0.001430
0.130000,-0.051315,-0.001370,0.071918,-0.003740,-0.002171,0.006136
0.140000,-0.057335,0.009902,0.057048,-0.009345,-0.004325,0.022149
0.150000,0.007333,0.006513,-0.040543,0.020412,0.005585,-0.001234
0.160000,0.040301,0.053169,0.067030,0.009450,-0.006546,0.016813
0.170000,0.030182,-0.019141,-0.002822,0.019417,0.010220,-0.000041
0.180000,-0.046554,0.007831,0.015562,-0.009160,-0.011616,0.008169
0.190000,0.022698,0.066588,0.002761,0.003669,0.010164,0.005352
0.200000,-0.036351,-0.008508,0.015948,0.020387,0.006801,-0.008465
0.210000,0.038282,-0.019295,-0.020383,-0.005216,0.015569,0.002580
0.220000,0.031337,-0.039427,0.022658,0.003215,-0.012820,-0.005868
0.230000,0.044476,0.000828,0.033124,0.020537,0.007630,0.008492
0.240000,-0.052610,-0.012380,-0.044631,-0.006737,-0.009105,-0.001997
0.250000,0.026402,-0.124141,0.040024,0.003991,-0.006847,-0.001384
0.260000,-0.033122,-0.039157,0.062255,0.002143,-0.017094,0.006597
0.270000,-0.007747,-0.023183,0.014780,-0.010450,0.010633,-0.006207
0.280000,0.008491,-0.006808,0.052917,-0.013722,-0.013681,-0.015338
0.290000,-0.112792,-0.053050,-0.051690,-0.012055,-0.005426,0.009434
0.300000,0.079775,0.068316,0.006929,-0.025546,-0.010185,0.021451
0.310000,-0.002676,-0.017194,0.051759,-0.004893,0.005267,0.005118
0.320000,-0.059788,0.044520,0.082255,-0.007065,-0.004816,0.010403
0.330000,0.010500,0.014794,0.007822,0.015042,-0.015805,0.011597
0.340000,-0.020772,-0.081680,0.007438,-0.018527,0.009733,0.011081
0.350000,-0.031785,-0.044128,-0.010334,0.003180,-0.001115,0.015229
0.360000,0.035935,0.021144,0.018118,-0.004675,0.003053,-0.006603
0.370000,0.033049,0.019791,0.044276,0.014226,0.000133,0.006774
0.380000,0.054097,0.044511,-0.035206,-0.022698,-0.004676,-0.008398
0.390000,0.041104,-0.022339,-0.048123,-0.009060,0.007626,-0.010170
0.400000,-0.031752,-0.045043,0.042856,0.000072,0.021550,-0.000981
0.410000,0.012688,0.053687,0.053913,-0.014073,0.011219,-0.004730
0.420000,-0.006415,0.034157,-0.070464,-0.001738,-0.013896,0.014185
0.430000,-0.043275,-0.072940,-0.045531,0.011939,0.007871,0.014600
0.440000,-0.039113,-0.026381,-0.023015,0.004936,-0.009544,-0.010106
0.450000,-0.035536,-0.054529,0.048442,-0.000238,0.000806,-0.000752
0.460000,-0.008103,0.027104,-0.036912,-0.020394,0.003081,-0.014191
0.470000,-0.052439,0.051267,0.058326,0.008638,-0.012682,0.009924
0.480000,0.012481,-0.004874,0.079963,0.002022,-0.008859,0.004717
0.490000,0.054634,-0.011833,-0.048795,0.014021,0.003205,-0.010586
0.500000,0.071892,-0.122645,-0.004945,-0.004540,-0.003904,-0.007755
0.510000,-0.022823,-0.034302,-0.040419,-0.017342,0.018952,-0.007384
0.520000,-0.005702,0.053360,-0.041751,-0.017252,-0.012929,-0.008254
0.530000,0.076785,-0.016008,-0.066096,-0.032400,0.007658,0.005654
0.540000,-0.040345,-0.027479,-0.025640,0.001994,-0.012588,0.007949
0.550000,-0.055015,0.030774,0.029934,-0.003169,0.013587,-0.021513
0.560000,-0.008752,-0.057024,-0.032553,-0.009382,-0.010969,-0.012696
0.570000,0.000739,-0.066141,-0.065202,0.005105,0.011883,0.007527
0.580000,-0.015609,-0.077641,0.033190,0.000062,0.002594,0.005452
0.590000,0.006460,0.066009,-0.062984,-0.009052,0.001918,-0.001496
0.600000,-0.035080,0.038051,0.037955,-0.017399,0.022015,0.003728
0.610000,-0.080117,0.075734,-0.039902,-0.010224,-0.004659,0.005093
0.620000,0.069350,-0.012665,0.043485,0.002561,-0.001718,0.014893
0.630000,-0.105811,0.198947,-0.000777,-0.003245,0.007797,0.010343
0.640000,0.065550,0.004033,0.018826,0.009113,-0.003223,-0.013033
