t,ax,ay,az,gx,gy,gz
0.000000,-0.046231,-0.010137,0.022686,0.019037,-0.007499,-0.002701
0.010000,-0.155465,-0.129460,0.004544,0.008589,0.004081,-0.002771
0.020000,0.068315,0.067411,-0.049747,0.023024,0.008528,-0.005773
0.030000,0.029199,0.028405,0.011395,-0.008088,0.002465,0.003788
0.040000,0.061022,-0.038114,0.019136,-0.002193,0.000529,0.003718
0.050000,0.097492,-0.016517,-0.023403,-0.001122,0.000086,-0.010178
0.060000,0.038137,0.018802,-0.090875,0.012234,-0.009242,0.013934
0.070000,0.052596,-0.060609,0.041622,0.012211,-0.003729,0.014394
0.080000,-0.005866,-0.001309,0.004169,0.003272,-0.006205,0.005158
0.090000,-0.043011,0.061136,0.005944,-0.005476,-0.003775,-0.003676
0.100000,-0.016112,0.083721,-0.003753,0.004571,0.002582,0.010649
0.110000,-0.042457,0.042309,-0.028393,0.015106,0.004769,0.011086
0.120000,0.084550,-0.015491,-0.026555,0.001625,-0.005896,0.000380
0.130000,-0.038802,0.000987,-0.019205,0.003327,0.015112,-0.008098
0.140000,-0.008639,-0.069171,0.016700,-0.001087,0.001987,0.007401
0.150000,0.029993,0.047893,-0.029051,-0.002184,-0.004610,-0.008630
0.160000,0.018495,0.049202,0.019223,-0.005667,0.021634,-0.001456
0.170000,-0.032127,0.040636,0.067842,0.015615,0.002960,-0.004519
0.180000,0.007191,0.018399,-0.052639,0.014753,0.010225,-0.000348
0.190000,-0.023361,0.047731,0.001130,-0.010790,0.003382,0.012364
0.200000,-0.043934,0.070016,0.052567,0.010747,0.002181,0.009845
0.210000,-0.014192,0.129510,-0.024096,-0.005493,0.008047,0.003797
0.220000,-0.079736,-0.007518,-0.076661,0.001293,0.022214,0.003522
0.230000,0.025560,0.070984,-0.039112,-0.015168,0.008511,0.026981
0.240000,-0.020729,-0.025290,-0.017857,-0.009988,0.002905,-0.000377
0.250000,-0.006237,-0.033502,0.031245,0.006091,-0.004051,0.003608
0.260000,-0.053364,0.013270,0.041719,-0.012258,0.011526,-0.002659
0.270000,-0.049067,-0.079377,-0.062681,0.021366,0.012214,-0.004176
0.280000,-0.020385,-0.062794,0.075327,0.010758,0.012053,-0.010060
0.290000,-0.001268,-0.035013,-0.038650,-0.007954,-0.004819,-0.020811
0.300000,0.041392,0.054472,-0.022261,0.003643,0.011861,0.003916
0.310000,0.010769,0.025081,0.022931,0.008029,0.003177,0.004044
0.320000,0.033723,0.053048,0.031570,-0.020400,0.008304,0.002222
0.330000,-0.024701,-0.015568,-0.074829,-0.000124,-0.006178,-0.008986
0.340000,0.009553,0.005984,-0.023742,0.000155,0.003272,-0.008937
0.350000,0.014905,-0.021671,-0.041631,0.012070,-0.007108,0.000576
0.360000,0.061700,-0.027221,-0.004506,0.007983,-0.009260,-0.020444
0.370000,0.033404,-0.050690,0.009242,-0.003199,0.001617,0.010002
0.380000,-0.045945,0.030272,0.108344,-0.002073,0.003884,0.015006
0.390000,0.049149,0.062911,0.027437,-0.007802,0.004815,0.011772
0.400000,0.086947,-0.101213,0.016540,-0.007813,-0.006318,0.002334
0.410000,0.048662,-0.013306,0.032973,-0.010878,-0.012173,-0.003904
0.420000,-0.027407,0.071261,0.000606,-0.009373,-0.004542,0.000005
0.430000,-0.011636,-0.033475,0.004820,0.014282,0.005253,0.001739
0.440000,0.076528,0.058920,-0.040840,-0.013512,-0.018229,-0.004322
0.450000,0.006696,0.025116,-0.008877,0.007023,0.018104,0.002531
0.460000,0.011278,0.061210,-0.004056,0.015591,-0.008833,0.002053
0.470000,0.024389,0.055481,0.038763,-0.014510,-0.006049,0.012051
0.480000,0.009544,0.073333,-0.034531,-0.005007,-0.008314,-0.010122
0.490000,-0.080755,0.018587,0.096942,0.008372,0.006825,0.000142
