t,ax,ay,az,gx,gy,gz
0.000000,0.044031,0.047819,-0.069120,0.010843,-0.013582,0.000044
0.010000,0.015615,-0.044681,0.001009,-0.006572,-0.010943,-0.008378
0.020000,0.001188,0.032315,-0.072106,0.004997,-0.005483,0.002374
0.030000,0.023164,0.005213,0.048312,0.000879,0.004017,0.014434
0.040000,-0.026268,0.027995,-0.056447,-0.009398,0.003426,0.008958
0.050000,-0.043719,0.008262,-0.047425,-0.005445,0.015332,-0.008513
0.060000,0.020063,-0.114128,-0.003399,0.013165,0.008312,-0.003606
0.070000,-0.001589,-0.024212,0.039237,0.019150,-0.011454,0.003817
0.080000,0.010648,-0.023611,-0.033899,-0.013524,0.000366,-0.004274
0.090000,0.001788,-0.001634,-0.009637,-0.006953,0.004721,0.002232
0.100000,0.035538,-0.052066,-0.010230,0.005084,-0.002202,-0.010223
0.110000,0.086316,-0.011060,-0.032288,0.007913,0.011506,-0.001587
0.120000,-0.008976,-0.025687,-0.016274,0.011529,0.020474,0.014849
0.130000,0.025688,0.010280,-0.101918,0.004001,-0.005375,-0.011190
0.140000,0.063257,-0.016666,-0.036992,0.007931,-0.005247,0.008101
0.150000,0.020606,0.070597,0.038272,-0.009253,0.013810,-0.004775
0.160000,-0.010835,0.013412,-0.005574,-0.010491,0.001383,-0.008168
0.170000,-0.068435,-0.039043,-0.076935,-0.008297,0.008490,-0.004687
0.180000,0.112856,-0.039882,0.009944,0.008709,0.005177,-0.000352
0.190000,0.034709,-0.001768,0.018744,-0.001007,-0.005267,-0.005843
0.200000,-0.027861,0.023182,-0.047439,0.003148,0.007326,0.006829
0.210000,-0.022475,0.037439,-0.028903,0.014660,0.001102,0.017221
0.220000,0.031151,-0.047562,0.078877,0.000729,0.003293,0.025575
0.230000,0.070272,-0.007841,0.052200,0.010725,0.002712,0.008236
0.240000,0.007313,-0.053727,0.062975,0.003517,0.021024,-0.002554
0.250000,-0.068788,-0.011944,-0.038813,-0.012037,-0.000348,-0.004003
0.260000,0.057458,-0.002973,-0.011062,-0.003725,-0.012405,0.011362
0.270000,0.006598,0.076462,0.049509,0.007376,0.019642,0.005558
0.280000,0.080919,-0.031111,0.050931,0.010994,-0.000081,-0.004611
0.290000,-0.026475,-0.088712,-0.032430,-0.008011,0.012072,0.008261
0.300000,-0.019435,-0.070558,0.095367,0.006912,-0.005279,0.017474
0.310000,-0.058738,-0.004229,-0.055958,-0.002177,0.000196,-0.003131
0.320000,0.038007,-0.006455,0.004309,0.003290,0.012016,0.001948
0.330000,0.028667,-0.041688,0.048698,-0.000514,-0.009717,0.016921
0.340000,-0.007288,-0.128412,-0.046365,-0.013785,-0.012393,0.005602
0.350000,0.099332,0.033321,-0.030043,-0.001063,0.005165,-0.000493
0.360000,0.005985,0.028042,0.025403,-0.014354,-0.015055,-0.016993
0.370000,0.097798,0.019526,0.051931,0.022997,-0.010674,-0.004317
0.380000,0.037164,-0.034557,0.038572,0.010954,0.009859,-0.007569
0.390000,-0.007456,-0.025808,0.027670,-0.005531,-0.000887,-0.006596
0.400000,0.056120,0.023288,0.091706,0.006796,0.029241,-0.004362
0.410000,0.037335,0.076846,-0.012819,-0.006055,0.007414,-0.024965
0.420000,-0.092608,-0.053215,0.013285,0.002150,-0.009216,0.016012
0.430000,-0.055769,0.003817,0.016678,-0.008766,-0.000578,-0.001383
0.440000,-0.044032,0.027201,0.020127,0.003711,0.007574,0.004838
0.450000,-0.060047,0.003558,0.095659,-0.010801,0.002504,0.010595
0.460000,-0.001393,-0.068319,-0.070202,-0.006726,-0.004033,0.006952
0.470000,0.047580,-0.023912,0.029850,-0.011523,0.005773,0.005707
0.480000,-0.030274,-0.023595,0.027294,-0.012069,0.004959,-0.001422
0.490000,0.027466,0.027987,0.001720,-0.005308,0.007806,-0.008521
0.500000,0.072109,0.026544,-0.042834,0.001955,0.002970,0.005050
0.510000,-0.014328,0.005165,-0.062549,0.013480,0.005302,0.001876
0.520000,-0.021992,0.067875,-0.051198,-0.005627,0.007606,0.005545
0.530000,-0.022523,-0.019338,0.013617,-0.009064,-0.002271,-0.008655
0.540000,0.028273,-0.015416,0.044622,0.004340,-0.000307,0.004930
0.550000,-0.049282,-0.044798,0.094140,-0.002531,0.002514,0.003539
0.560000,0.014629,0.018964,-0.057687,0.005923,0.000822,-0.010743
0.570000,0.022380,-0.063124,-0.012755,0.009774,0.010106,0.014385
0.580000,-0.045437,-0.015454,-0.022394,-0.009285,-0.005513,-0.009851
0.590000,0.034696,-0.017773,-0.014911,-0.020962,0.008548,-0.014439
0.600000,-0.001592,0.072428,0.090948,0.006580,-0.013849,-0.016758
0.610000,-0.042677,-0.032991,0.007910,-0.004187,0.004318,-0.017677
0.620000,0.023426,0.087748,-0.020118,-0.005446,-0.015043,0.006984
0.630000,0.023310,0.010231,-0.020156,-0.000099,0.000198,0.008830
0.640000,-0.006955,-0.015976,-0.065264,-0.002269,0.004381,0.016107
0.650000,0.119436,0.070607,0.079907,0.000368,-0.017849,0.004567
0.660000,-0.026424,-0.041879,0.065275,-0.008456,-0.004208,-0.006777
0.670000,-0.042158,0.102269,0.006277,0.001938,-0.001577,-0.001849
0.680000,0.094317,-0.093140,-0.021315,0.006404,-0.002370,0.001721
0.690000,0.071126,-0.013784,0.005717,0.012097,0.013597,0.019249
0.700000,-0.001981,-0.061640,-0.027806,0.014406,-0.014944,-0.007485
0.710000,0.068097,-0.081266,-0.017015,0.006359,0.004794,-0.001929
0.720000,0.010627,-0.038446,0.023444,0.008235,-0.010150,0.007220
0.730000,0.060466,0.029892,0.036610,0.010186,-0.016305,0.001073
0.740000,-0.030906,-0.008211,-0.020741,0.002477,-0.009994,-0.013124
0.750000,0.035037,0.072603,0.020732,0.002506,0.005175,-0.001625
0.760000,-0.042228,-0.108964,0.009396,-0.004056,0.004474,-0.014791
0.770000,0.038132,-0.041876,0.001129,0.013213,0.022225,0.001072
0.780000,-0.060981,0.013659,-0.079751,0.013489,0.008981,0.025472
0.790000,0.030961,-0.029973,0.015249,-0.023961,0.006530,-0.025174
0.800000,-0.005724,0.042812,0.045193,-0.009514,-0.000655,-0.003762
0.810000,-0.011200,0.091636,0.015596,0.011921,0.017758,0.004475
0.820000,-0.094319,-0.033675,-0.063483,0.025883,-0.011948,-0.009315
0.830000,-0.055288,-0.015719,-0.038804,-0.011191,0.010488,0.012699
0.840000,0.005853,-0.031680,0.091224,-0.015286,-0.008453,-0.002264
0.850000,0.020621,-0.093316,0.025317,-0.005893,-0.006261,-0.002860
0.860000,0.000634,-0.080697,-0.028683,-0.009569,0.010301,0.016459
0.870000,-0.008020,-0.006515,-0.068454,-0.014287,0.003144,0.006463
0.880000,0.051358,0.018178,0.039196,-0.009189,-0.016731,-0.001808
0.890000,0.000163,-0.014823,0.040862,-0.005824,-0.004105,0.005952
0.900000,0.002254,0.035265,0.022515,0.011846,0.026754,0.004020
0.910000,-0.000789,0.074143,0.056258,-0.000752,-0.013275,0.005175
0.920000,0.052731,-0.028729,-0.076277,0.002035,-0.001321,0.001496
0.930000,-0.018186,-0.022692,0.084125,-0.018187,-0.020273,0.011374
0.940000,-0.119356,0.098782,0.026665,-0.019981,-0.013851,-0.011131
0.950000,0.031586,0.090530,0.088225,0.004094,0.023984,-0.000446
0.960000,0.026962,0.014657,0.025062,-0.006942,0.013680,-0.010864
0.970000,0.022336,0.013705,0.034463,0.007695,0.004174,-0.006787
0.980000,-0.030573,0.036102,-0.054417,-0.000343,0.003816,-0.004809
0.990000,0.000240,0.029182,-0.099332,-0.001020,0.003792,0.007291
1.000000,-0.100901,0.013650,-0.086294,-0.016181,0.000059,-0.006457
1.010000,0.004045,-0.024704,0.021636,0.014109,0.000091,-0.001233
