t,ax,ay,az,gx,gy,gz
0.000000,-0.151451,0.031685,-0.008548,-0.012028,0.002236,0.007165
0.010000,0.059915,-0.015361,0.011039,0.007564,-0.004148,0.007185
0.020000,0.007456,-0.037592,0.005220,-0.020971,-0.002290,0.013370
0.030000,0.003567,0.057967,-0.032796,0.001554,-0.009273,-0.018456
0.040000,-0.044182,0.058604,0.066978,-0.007029,-0.003295,0.004670
0.050000,-0.048405,-0.016883,0.037899,0.004672,0.006007,0.002441
0.060000,-0.076616,-0.026832,-0.009794,0.005315,0.010846,0.005252
0.070000,-0.002906,0.008846,-0.042960,0.002678,0.000090,0.002528
0.080000,0.045983,-0.009125,-0.035084,-0.000262,-0.003071,0.029010
0.090000,0.033860,0.043670,0.015371,-0.006839,-0.002065,-0.009010
0.100000,0.075231,-0.059497,0.024911,0.021819,0.004159,0.012621
0.110000,-0.039241,0.068550,0.023339,0.021055,0.005016,0.007863
0.120000,0.052231,0.071351,0.031786,0.014484,-0.002811,-0.003383
0.130000,-0.016813,-0.063498,-0.011330,0.002727,-0.002735,-0.006049
0.140000,-0.020229,-0.009974,0.037985,-0.002000,0.004050,0.002383
0.150000,-0.016773,0.056179,0.002071,-0.007889,-0.004264,-0.003505
0.160000,-0.038020,0.030304,-0.026251,-0.012755,0.001127,-0.008551
0.170000,0.027414,-0.013420,-0.053139,0.016320,0.002376,0.003375
0.180000,0.048677,-0.074317,0.042615,0.006899,-0.010191,0.002635
0.190000,0.051600,0.036553,0.061342,-0.003534,0.004237,-0.001350
0.200000,0.008407,0.090158,0.007566,-0.004940,-0.012561,-0.020942
0.210000,-0.049825,-0.001259,-0.034144,0.011224,-0.003629,0.001646
0.220000,0.048580,0.016595,-0.018104,0.000074,-0.024695,-0.007881
0.230000,0.063166,0.010743,0.037523,0.005235,0.009568,-0.000360
0.240000,-0.026756,0.075796,-0.107099,-0.010969,0.008215,0.013289
0.250000,0.019505,0.053680,0.000385,0.002309,-0.003894,-0.010453
0.260000,-0.009167,0.093433,0.052110,-0.000720,0.006371,-0.007230
0.270000,-0.009369,-0.042901,-0.031097,0.003738,-0.006501,-0.002868
0.280000,-0.078282,0.033118,-0.068622,0.019251,-0.013482,0.003507
0.290000,0.035614,0.015653,-0.070293,0.001209,-0.000648,0.003746
0.300000,0.084666,0.048420,-0.016922,0.004116,0.000697,-0.004713
0.310000,-0.067065,-0.071976,0.013857,0.006164,-0.007978,-0.000353
0.320000,0.042694,-0.000430,-0.033042,0.003690,-0.010053,0.001366
0.330000,-0.064723,0.073811,0.022318,-0.012225,0.003309,-0.002392
0.340000,-0.040525,-0.008134,0.070076,0.008259,-0.002290,-0.006560
0.350000,0.003708,0.026377,0.080230,-0.005968,0.001132,-0.005296
0.360000,0.066024,0.055976,0.012933,0.003025,0.016025,-0.011489
0.370000,0.035198,0.066383,0.027515,-0.001594,0.003158,-0.009697
0.380000,0.007581,-0.026006,0.034458,0.005665,-0.019208,0.003861
0.390000,-0.085904,-0.057748,0.053533,-0.017862,-0.001798,-0.006348
0.400000,0.075425,0.013181,0.043485,-0.007480,-0.003315,-0.000614
0.410000,0.077779,-0.079070,-0.104727,0.000931,0.003738,-0.011396
0.420000,-0.047182,-0.051891,-0.023430,0.020344,-0.009920,0.011392
0.430000,0.162941,-0.090846,-0.054283,0.021862,0.014804,-0.001717
0.440000,0.070094,0.086782,0.018421,0.007855,0.005556,-0.009454
0.450000,-0.107811,-0.034458,-0.034984,-0.019023,0.005100,0.005274
0.460000,-0.007655,-0.016164,0.114959,-0.001607,0.006176,0.000870
0.470000,0.032292,-0.004265,0.002897,0.013279,-0.026804,0.025426
0.480000,-0.091630,-0.086840,0.109145,-0.005541,-0.007347,0.016851
0.490000,-0.024951,-0.108679,0.041297,-0.009320,0.010657,0.016078
0.500000,0.072729,0.092305,0.000423,0.008068,0.011995,0.008448
0.510000,0.010541,0.006980,-0.003334,0.006227,-0.012018,0.004223
0.520000,-0.011957,-0.095849,-0.041861,-0.006446,0.006126,-0.002553
0.530000,-0.012776,-0.087238,-0.075587,0.015999,-0.009003,0.003970
