t,ax,ay,az,gx,gy,gz
0.000000,-0.048430,0.080830,0.038411,-0.005993,-0.005098,-0.016161
0.010000,0.012962,0.014415,-0.020476,-0.003940,-0.017127,-0.002181
0.020000,0.051237,0.026989,-0.037493,-0.005600,0.010943,0.000496
0.030000,-0.002648,-0.071850,-0.025917,0.005731,-0.007128,-0.009181
0.040000,-0.091086,-0.050032,-0.100548,-0.014430,-0.010222,0.006228
0.050000,-0.012941,0.015041,-0.070814,-0.004815,0.008582,-0.010164
0.060000,-0.029022,-0.010592,0.045941,-0.028656,0.005754,-0.008382
0.070000,-0.072010,0.064914,0.089654,0.005428,-0.012954,0.007001
0.080000,-0.005917,0.052644,-0.014390,-0.015625,-0.004387,-0.020248
0.090000,0.021141,0.032613,0.107560,0.006780,-0.014672,-0.002286
0.100000,0.052183,-0.025643,0.095443,0.014715,-0.014410,0.004012
0.110000,0.034420,-0.006908,0.000986,0.000046,0.004186,-0.004094
0.120000,0.018586,-0.022668,0.011363,-0.000730,-0.007326,0.005013
0.130000,-0.022076,0.032234,-0.036472,0.000995,0.009589,-0.015223
0.140000,0.028642,0.109509,0.072876,0.001367,0.001170,-0.008602
0.150000,-0.013626,0.004978,-0.124007,0.003668,0.004433,-0.007752
0.160000,0.010184,0.004588,0.028149,0.002835,-0.011857,0.006154
0.170000,0.028489,-0.059649,0.027240,0.003162,0.014842,0.007724
0.180000,-0.007379,-0.063268,0.005302,0.023533,0.007311,-0.000225
0.190000,0.026539,0.040795,0.016767,-0.006481,-0.003835,0.017009
0.200000,0.013859,0.055314,-0.101014,0.007853,-0.015037,0.019265
0.210000,-0.039409,-0.115030,-0.013638,0.014737,-0.008475,-0.007231
0.220000,-0.035141,-0.069303,-0.022744,0.001402,0.001652,0.015722
0.230000,0.082265,0.047851,0.052724,0.009002,-0.000020,-0.004647
0.240000,0.040513,-0.050616,-0.084000,-0.023837,-0.007856,0.010394
0.250000,-0.068443,-0.006646,0.006455,0.007408,0.000980,0.002359
0.260000,-0.006009,0.003430,0.031855,-0.007411,-0.017968,0.008802
0.270000,0.034995,0.010448,-0.016886,-0.022364,0.005533,0.019605
0.280000,0.040272,-0.016280,-0.046228,-0.012825,0.000079,-0.008086
0.290000,-0.045633,0.028529,0.042009,-0.012427,-0.015758,-0.008001
0.300000,0.020537,-0.094378,0.056420,0.006668,0.002223,-0.007198
0.310000,-0.062358,-0.074117,0.077520,0.008245,0.002300,0.012834
0.320000,0.005682,0.036819,0.067093,0.011090,-0.003626,0.009013
0.330000,-0.047777,0.046546,0.061549,-0.005574,-0.010605,-0.002106
0.340000,0.053367,-0.004987,0.005179,0.002620,-0.000863,-0.001082
0.350000,0.008210,0.099907,0.001306,0.004935,-0.015455,0.008145
0.360000,0.017588,-0.081761,0.021162,0.003386,-0.000833,0.022056
0.370000,0.039123,-0.072668,0.073848,-0.000841,-0.014103,-0.031403
0.380000,0.099944,0.044164,0.020102,0.011224,-0.005689,0.003258
0.390000,0.016038,-0.027949,0.014388,0.015182,0.013790,-0.000503
0.400000,0.059142,0.008986,-0.026006,0.005420,-0.006518,0.003327
0.410000,0.026676,0.030953,-0.074724,-0.003570,-0.009526,-0.002610
0.420000,0.049709,-0.041205,-0.041338,-0.006709,-0.002359,-0.004570
0.430000,0.044396,-0.022028,-0.077471,0.016205,0.006183,0.002185
0.440000,-0.073167,0.002070,-0.087066,0.001799,0.011368,-0.021469
0.450000,0.016462,0.033758,0.003238,-0.010511,0.005494,-0.013911
0.460000,-0.022279,-0.017608,-0.035761,0.011747,0.011951,-0.005148
0.470000,0.061675,0.029720,0.018972,-0.001781,-0.001158,0.023022
0.480000,-0.029795,0.030553,-0.005706,0.010892,-0.001219,-0.004463
0.490000,0.059228,0.031013,-0.011995,0.013945,0.010821,0.001737
0.500000,-0.041122,0.034139,-0.015926,0.010415,-0.000330,-0.015858
0.510000,0.049209,-0.033918,-0.001528,-0.000287,-0.012570,-0.013401
0.520000,0.021873,0.022613,0.018517,0.012332,-0.000247,-0.017449
0.530000,-0.051779,-0.073985,0.034475,0.001584,-0.003374,-0.010063
0.540000,0.021673,0.026257,0.054029,0.015478,-0.004624,-0.023685
0.550000,0.023871,-0.017509,-0.005227,0.005396,-0.007539,0.008298
0.560000,-0.067135,-0.000744,0.057872,0.004987,-0.014304,0.001065
0.570000,-0.035708,0.036636,-0.054354,-0.013287,0.000220,0.005316
0.580000,0.055100,-0.011551,-0.046013,0.003899,0.010007,-0.002508
0.590000,-0.017692,-0.102926,0.000019,0.008646,0.008336,-0.008484
0.600000,0.047618,0.027671,-0.008322,-0.016639,0.003740,0.005007
0.610000,-0.015266,-0.002121,-0.051916,0.002679,0.005925,0.005505
0.620000,0.033269,-0.020722,-0.054521,-0.012021,0.015522,-0.035137
0.630000,0.060400,-0.012488,0.023253,-0.010425,0.016051,0.012670
0.640000,-0.037763,0.033455,-0.054593,0.002983,0.007145,-0.013816
0.650000,-0.023002,0.028068,-0.054596,0.002365,-0.010526,0.016578
0.660000,-0.068822,-0.055888,0.024967,0.003930,-0.002294,0.012666
0.670000,0.005470,-0.011065,-0.006019,0.003036,0.000835,0.015060
0.680000,0.021162,-0.030774,0.072768,-0.003648,-0.005962,-0.016482
0.690000,-0.069153,0.060878,-0.034869,-0.007301,-0.004421,-0.005675
0.700000,0.042634,-0.047488,-0.019533,-0.013382,0.005326,0.001626
0.710000,-0.028504,0.016656,0.034048,-0.001725,-0.017066,-0.013115
0.720000,0.012927,0.088267,0.022678,-0.003821,-0.020422,-0.003354
0.730000,-0.040343,0.054676,0.030323,0.006544,0.015524,-0.006796
0.740000,-0.082453,0.011133,-0.014973,-0.010965,0.016521,-0.004038
0.750000,-0.002539,-0.005220,-0.024122,-0.002313,0.002920,-0.002905
0.760000,-0.134758,-0.010749,-0.023567,-0.009005,-0.009993,0.004522
0.770000,-0.024738,0.054255,-0.008826,-0.004126,0.005973,0.006264
0.780000,-0.118005,-0.104946,-0.072586,0.013717,-0.001595,-0.017074
0.790000,0.101987,-0.058974,0.038992,-0.006491,-0.023634,-0.009737
0.800000,-0.040469,0.046043,0.098640,0.002060,0.012321,-0.007399
0.810000,-0.009488,0.054904,0.102198,0.003481,-0.012373,-0.002889
0.820000,-0.024276,-0.023683,0.010200,0.001963,0.004203,-0.001296
0.830000,-0.050084,0.020031,0.027758,-0.014474,0.007067,-0.015083
0.840000,-0.078308,-0.022781,-0.059738,0.001725,0.007991,-0.006834
0.850000,-0.130715,-0.009011,-0.048861,-0.007397,-0.005954,0.013689
0.860000,0.023343,0.096210,-0.002178,0.020535,0.008311,0.014861
0.870000,0.074200,0.012900,0.019133,0.001562,0.022438,-0.009293
0.880000,0.055057,-0.001385,-0.027906,-0.002810,0.001016,-0.014705
0.890000,-0.059102,-0.037810,-0.021893,0.004850,-0.034049,0.022104
0.900000,-0.001026,-0.026057,-0.007455,0.006206,0.004438,-0.002098
0.910000,-0.013459,0.015698,0.017028,-0.002196,-0.004245,-0.010658
0.920000,0.094328,-0.006782,0.052897,-0.009676,0.008251,0.007971
0.930000,-0.030844,0.081093,0.034025,-0.011807,0.013185,-0.003749
0.940000,-0.015834,-0.049451,-0.039295,0.002296,-0.006383,-0.016015
0.950000,0.058711,-0.051079,-0.012474,-0.004810,-0.006408,0.022385
0.960000,0.038941,-0.030050,-0.004803,-0.006015,-0.004006,0.013044
0.970000,0.040308,0.055782,0.034731,0.018912,-0.001955,-0.003725
0.980000,0.033521,0.002897,-0.036481,0.001083,0.001120,0.001761
0.990000,0.018135,-0.078494,-0.102664,-0.001399,0.004107,-0.006175
1.000000,0.022607,0.005265,0.051008,0.012231,0.003289,0.000875
1.010000,0.046837,-0.102302,0.049140,0.006608,0.014795,-0.012692
1.020000,0.065331,0.005850,0.005283,-0.005079,-0.029568,-0.015707
1.030000,-0.035866,0.081804,-0.000193,0.003811,0.005631,-0.002131
1.040000,-0.035858,-0.051288,-0.019960,0.012339,0.001923,0.004129
1.050000,0.078024,-0.005314,0.000428,0.014918,-0.003913,-0.003217
1.060000,-0.046767,0.058462,-0.060595,-0.012388,-0.002879,-0.027954
1.070000,-0.040084,-0.056655,-0.085069,-0.003749,-0.010421,0.002384
1.080000,0.042000,0.012513,0.063281,0.008227,0.002933,-0.004422
1.090000,-0.022948,0.067575,-0.061953,0.006186,0.004196,0.002466
1.100000,-0.023369,0.069423,0.044757,0.005565,0.013359,-0.002690
1.110000,0.080647,-0.023305,0.046009,0.002002,-0.002308,0.021897
1.120000,-0.065623,0.060126,0.011372,-0.004023,-0.000051,-0.007443
1.130000,-0.002678,0.030378,0.005341,0.003941,0.000610,-0.010604
1.140000,0.025356,-0.024752,0.181906,-0.014014,-0.007551,0.009613
1.150000,-0.054551,0.009949,-0.049996,-0.004163,-0.004790,-0.016468
1.160000,0.032123,-0.050981,0.004994,-0.003966,0.008953,0.020852
1.170000,0.044613,-0.001532,-0.009455,0.004676,-0.000836,-0.019327
1.180000,0.000262,0.011952,0.021047,-0.010307,-0.000407,-0.017445
1.190000,-0.051806,0.074434,-0.019196,-0.007985,-0.004484,0.004545
1.200000,0.096005,0.056961,-0.011755,-0.012436,0.004041,0.012196
1.210000,-0.057675,0.023911,0.027619,-0.008015,-0.019945,0.007694
1.220000,-0.138519,-0.041434,-0.045855,-0.001281,-0.002306,-0.001622
1.230000,-0.168427,-0.011956,-0.009827,-0.005843,-0.011557,0.000736
1.240000,-0.061204,0.009426,-0.109646,-0.009942,-0.005122,-0.008673
1.250000,0.030659,0.034856,-0.111055,-0.005020,0.001457,0.000926
1.260000,0.003928,-0.051909,0.012400,0.001661,0.003731,-0.017094
1.270000,0.001257,0.054574,-0.046603,0.019535,-0.001330,0.003270
1.280000,-0.097021,-0.020783,0.072503,-0.004392,0.011136,0.011476
1.290000,0.036240,-0.056823,-0.070045,0.006083,-0.006849,-0.002195
1.300000,0.047667,0.036284,0.028812,-0.004125,0.002217,0.007012
1.310000,-0.018712,-0.028730,-0.020675,0.009878,-0.006763,0.010187
1.320000,-0.050389,0.020184,0.059915,-0.008670,0.010252,-0.001276
1.330000,0.000264,0.019110,0.023742,0.012088,-0.012456,-0.010259
1.340000,0.036324,-0.020288,0.009285,0.000653,0.007735,0.000209
1.350000,0.085462,-0.080500,-0.002670,-0.004016,0.008077,0.036729
1.360000,0.042209,-0.064951,-0.033020,0.004602,0.001708,0.001923
1.370000,0.088342,0.019685,-0.004967,-0.000748,-0.000673,0.003886
1.380000,0.020225,-0.047955,0.050132,-0.002523,-0.004932,-0.016405
1.390000,0.029028,-0.009832,-0.017920,0.007992,0.008066,0.016257
1.400000,0.041240,0.013226,0.080928,0.006380,-0.012977,0.006113
1.410000,-0.019875,0.041709,-0.037171,-0.003452,-0.004926,-0.009420
1.420000,-0.032736,-0.012243,0.104618,-0.004634,-0.001592,0.001419
1.430000,-0.064795,-0.054628,0.010341,0.006485,0.004020,-0.000076
1.440000,0.101790,0.013199,-0.023852,-0.018824,-0.018957,0.008813
1.450000,-0.019119,0.031896,-0.056699,-0.006422,-0.005230,0.007267
1.460000,0.107435,-0.098140,-0.038095,-0.004544,-0.000829,-0.000308
1.470000,0.056848,0.008898,-0.003368,-0.024086,0.003156,-0.006698
1.480000,0.000968,0.048024,0.008070,-0.011902,0.007584,0.007073
1.490000,0.002552,-0.061553,-0.046478,-0.006335,0.001543,0.005928
1.500000,0.041594,0.044204,-0.021625,0.019562,-0.010161,-0.015279
1.510000,-0.002382,0.044491,-0.053533,-0.001347,0.005568,-0.015412
1.520000,0.072290,0.110112,-0.023355,0.014535,-0.002986,-0.002874
1.530000,0.098740,0.039078,-0.001809,0.000181,-0.010664,-0.012893
1.540000,0.065464,-0.115999,-0.065500,-0.013433,0.003314,0.014117
1.550000,-0.052816,0.000181,0.026462,-0.012248,0.016291,0.004336
1.560000,-0.011777,-0.024716,0.010221,-0.006638,-0.002605,0.002355
1.570000,-0.006112,-0.024518,-0.003193,0.002113,0.002852,-0.016313
1.580000,0.052202,0.070517,0.042616,-0.003762,-0.025716,0.013080
1.590000,-0.078206,0.085372,-0.094407,0.009097,0.004614,-0.006787
1.600000,-0.008733,-0.032712,0.072508,0.005422,0.009481,-0.005771
1.610000,0.003147,0.004352,-0.015245,-0.001453,0.005296,-0.006766
1.620000,-0.045757,-0.082585,-0.000080,-0.009866,0.018940,0.002938
1.630000,-0.003093,-0.012804,-0.007618,-0.000525,0.031161,0.000637
1.640000,0.024286,-0.033617,-0.022708,0.001383,-0.017535,-0.010469
1.650000,0.096681,0.044767,0.000156,0.002772,-0.019207,-0.006557
1.660000,-0.051337,0.023262,-0.048491,0.004166,-0.008363,-0.006967
1.670000,-0.069748,0.060145,0.094772,0.007349,0.005447,-0.003121
1.680000,-0.071922,-0.015286,0.011025,0.011608,0.002249,0.004287
1.690000,-0.021918,0.018783,0.031312,0.013732,0.002524,-0.006049
1.700000,0.020188,-0.045138,-0.012987,0.012663,0.001712,-0.021167
1.710000,-0.020910,-0.036404,-0.044611,-0.004404,0.009344,0.010054
1.720000,-0.007089,-0.096696,-0.054920,0.020812,0.002875,0.004219
1.730000,0.118750,-0.014602,-0.089711,0.008072,-0.007420,0.014356
1.740000,0.113118,0.006333,-0.068909,-0.027749,-0.011638,0.016309
1.750000,0.027481,0.016568,-0.024270,-0.000018,-0.004908,0.022369
1.760000,-0.050781,-0.049115,0.030736,0.006227,0.002510,0.006130
1.770000,0.002127,0.024477,0.070934,-0.009672,-0.003858,-0.014895
1.780000,-0.022434,0.088232,-0.010383,0.010168,-0.002591,-0.001084
1.790000,0.034282,-0.013836,0.038835,0.005795,-0.003821,-0.007156
1.800000,0.112365,0.096546,0.055955,-0.000561,0.003614,0.021841
1.810000,0.033676,-0.055171,-0.032198,-0.013499,-0.004763,0.010055
1.820000,-0.059296,-0.064252,0.006986,0.007735,0.000660,-0.001991
1.830000,-0.027849,0.054709,0.007667,0.003935,0.000123,-0.014800
1.840000,0.000523,0.046770,-0.021820,-0.001223,0.003012,-0.002672
1.850000,-0.046758,0.039879,0.092745,-0.001442,-0.004118,0.010752
1.860000,-0.078381,-0.029388,0.039328,0.002400,0.001941,-0.004448
1.870000,0.017396,-0.073544,-0.029900,0.010472,-0.011245,-0.009826
1.880000,0.038709,0.033323,-0.014654,0.010202,-0.003881,-0.000104
1.890000,0.023298,-0.139860,0.001802,0.015974,0.007756,0.000676
1.900000,0.016858,-0.063709,0.039490,-0.013152,-0.007065,0.011269
1.910000,-0.004742,-0.027498,-0.006720,-0.012640,0.002689,0.013814
1.920000,-0.144745,0.036518,0.061327,-0.000006,-0.025461,0.008336
1.930000,0.050278,-0.034153,0.014563,-0.006856,-0.015804,-0.002482
1.940000,0.067078,-0.035477,0.016249,0.008737,-0.004538,0.007351
1.950000,-0.009298,-0.010222,0.102621,0.010852,-0.004963,0.017427
1.960000,-0.010787,0.011234,0.027334,0.009710,0.005644,0.007665
1.970000,0.162904,-0.039487,-0.044194,-0.001725,0.001000,-0.016551
1.980000,-0.008947,-0.033299,0.037704,-0.006469,-0.003314,0.018002
1.990000,0.016829,-0.059406,-0.006693,0.010745,-0.000964,0.000837
2.000000,0.017608,0.096427,0.004491,-0.002901,0.003836,0.008394
2.010000,-0.019470,0.017522,-0.018028,0.000146,-0.002196,-0.004109
