t,ax,ay,az,gx,gy,gz
0.000000,0.002285,0.062973,0.028739,0.009995,0.001149,-0.014213
0.010000,0.003125,0.031084,0.000972,-0.001355,-0.015451,-0.000437
0.020000,0.043119,0.014305,-0.061089,0.003878,-0.007400,-0.008782
0.030000,-0.080254,-0.076359,0.056175,0.012140,-0.017531,0.014255
0.040000,-0.022951,0.043201,-0.017356,0.006323,-0.016997,-0.026377
0.050000,0.057619,0.023816,0.091248,-0.011283,-0.007787,-0.001596
0.060000,0.000619,0.062222,0.021463,-0.004379,0.006090,-0.009222
0.070000,0.029024,-0.038150,-0.044712,-0.001099,-0.003938,-0.000776
0.080000,0.059417,0.027876,-0.012055,0.004285,0.000398,0.007127
0.090000,0.002679,-0.078904,0.031676,0.006387,-0.014657,0.004345
0.100000,0.105439,-0.112422,-0.058206,-0.006793,0.004298,0.004215
0.110000,-0.001787,0.055031,-0.014781,-0.008240,0.001246,-0.000753
0.120000,0.056525,-0.072265,-0.027602,0.006682,0.004307,0.006702
0.130000,0.025742,0.066730,-0.065340,0.003561,-0.018899,0.007059
0.140000,0.061558,0.124213,0.004716,0.002408,0.023665,0.006750
0.150000,-0.039386,0.016517,-0.033899,0.009169,0.009144,0.001464
0.160000,-0.059254,-0.067080,-0.057662,-0.007607,0.002354,0.004266
0.170000,0.035073,0.008592,-0.001869,-0.003824,-0.022220,-0.009294
0.180000,0.076864,-0.000742,-0.019934,-0.002176,0.022138,-0.004726
0.190000,-0.046301,0.018447,0.034851,0.025670,0.000495,-0.002646
0.200000,-0.018017,0.079913,-0.058904,-0.003512,0.007184,-0.006463
0.210000,-0.040448,0.137318,0.017114,-0.000579,-0.011296,-0.012769
0.220000,-0.072182,-0.052263,0.014154,0.006609,-0.018137,-0.006270
0.230000,-0.013932,0.020273,0.025952,0.004259,-0.005469,-0.004831
0.240000,-0.009322,-0.139108,-0.051681,0.013221,0.008820,0.012632
0.250000,-0.020020,-0.013247,0.039802,-0.008655,0.006938,-0.000485
0.260000,0.058607,-0.058317,-0.095728,-0.017642,-0.007743,0.022485
0.270000,0.003028,-0.001409,0.019495,-0.006592,0.010639,0.003787
0.280000,0.013096,-0.092008,0.009161,-0.012882,0.017182,0.004519
0.290000,-0.043429,-0.037092,-0.044705,-0.002796,0.013861,-0.015180
0.300000,0.017393,0.020651,-0.098295,-0.003797,0.009713,0.006379
0.310000,-0.077907,-0.003177,0.018986,0.008127,0.006217,0.000835
0.320000,0.061753,-0.027665,0.012109,-0.009821,-0.007694,0.006571
0.330000,0.017821,-0.045358,-0.029211,-0.009174,-0.015823,0.011666
0.340000,-0.031750,0.038866,0.039566,0.033657,-0.003450,-0.010446
0.350000,0.028978,0.050686,0.014171,0.017012,-0.004419,-0.000719
0.360000,-0.047572,-0.033323,0.063184,-0.022033,-0.016650,0.002538
0.370000,-0.007156,-0.008238,-0.063649,-0.005563,-0.010543,0.004381
0.380000,-0.048979,-0.014608,0.040235,-0.002791,-0.002216,0.009312
0.390000,-0.007024,-0.122461,0.006385,-0.001709,-0.009748,0.008736
0.400000,0.028713,0.043415,-0.004582,0.000634,-0.006407,0.007752
0.410000,-0.030241,-0.052318,0.026537,-0.012387,-0.003288,-0.003416
0.420000,-0.006961,-0.066611,0.012990,0.017412,0.014427,-0.003698
0.430000,0.020480,0.016667,0.040572,0.013257,-0.000913,0.006861
0.440000,-0.111427,-0.008464,-0.052318,-0.005278,0.013695,0.017202
0.450000,-0.013930,0.038744,0.035676,-0.002746,0.007259,0.020566
0.460000,0.030223,-0.120906,0.048749,0.014253,-0.001267,-0.011380
0.470000,0.026175,0.057564,0.046883,0.014458,-0.008201,-0.004668
0.480000,-0.069997,-0.078661,-0.046899,-0.000225,-0.008818,0.018937
0.490000,-0.021874,-0.012632,0.105691,-0.001211,-0.007472,0.013871
0.500000,-0.072055,-0.020345,0.012498,-0.001536,-0.007061,-0.004824
0.510000,0.011323,-0.014424,0.029456,0.002110,0.009902,0.021560
0.520000,0.126668,-0.021214,0.059801,0.012578,0.002708,0.012246
0.530000,-0.015246,-0.064028,0.041394,0.010001,0.001263,-0.007268
0.540000,0.043273,0.035661,0.110187,-0.002999,0.002442,0.004207
0.550000,-0.080069,0.033209,-0.051579,0.005287,-0.024502,0.001867
0.560000,0.009984,-0.026082,0.019563,0.011837,0.010165,-0.013487
0.570000,0.005736,0.014357,-0.057536,0.005212,0.004433,-0.000791
0.580000,0.031646,-0.064702,0.033696,0.000871,0.008060,-0.017010
0.590000,-0.013296,0.024615,-0.065382,0.004893,0.000506,0.006755
0.600000,0.051514,-0.032566,-0.022983,-0.003103,-0.003270,-0.002170
0.610000,-0.044628,-0.006709,0.052751,-0.009823,-0.003987,0.000767
0.620000,0.023912,-0.031141,0.034842,0.002371,-0.015857,-0.014896
0.630000,0.016240,0.035022,-0.079051,0.004132,-0.004640,0.005648
0.640000,0.041789,-0.045284,-0.022995,-0.008063,0.019425,0.007461
0.650000,-0.056388,0.089209,0.024584,0.012632,-0.001781,-0.002028
0.660000,0.060791,-0.001123,-0.039053,0.010035,-0.009334,0.002963
0.670000,-0.019538,0.001579,-0.067128,0.006796,-0.014777,-0.002299
0.680000,-0.028968,-0.062586,-0.074429,0.000576,0.008833,-0.011545
0.690000,0.012857,0.107211,0.049621,-0.004172,0.002937,0.011384
0.700000,0.050187,-0.008835,0.037680,0.010209,0.009626,0.008052
0.710000,0.015980,-0.049920,-0.036073,-0.004182,-0.012581,-0.008022
0.720000,-0.003678,0.050904,0.069063,0.006201,-0.016276,0.018482
0.730000,0.039233,0.122981,-0.006678,-0.018233,-0.011220,0.000094
0.740000,-0.029498,-0.029901,-0.003463,-0.004995,-0.006996,-0.007042
0.750000,-0.070176,-0.045379,0.024006,0.002901,0.012030,-0.010079
0.760000,0.054645,-0.045198,-0.071574,-0.002473,-0.006968,-0.017196
0.770000,-0.051620,0.002130,0.017989,-0.013146,-0.009446,0.005333
0.780000,0.089050,-0.010783,-0.095801,-0.014672,0.010489,0.008506
0.790000,0.050412,0.034664,0.010538,-0.006401,0.010916,-0.009943
0.800000,-0.001914,0.076648,0.028236,0.000911,0.001834,0.023170
0.810000,-0.030541,-0.038662,0.002215,0.002885,-0.001752,0.001787
0.820000,0.039407,-0.069415,-0.087635,0.000529,0.010881,-0.008301
0.830000,-0.041198,-0.108488,-0.057474,0.016395,-0.015495,0.011265
0.840000,0.093493,0.025358,0.033404,0.015941,-0.018816,0.011140
0.850000,0.000248,-0.037220,-0.022049,-0.001820,-0.002476,0.002090
0.860000,-0.090742,0.043357,-0.013604,-0.001462,-0.014826,0.004341
0.870000,-0.034633,-0.030862,0.068788,0.000188,0.008482,0.004564
0.880000,-0.072816,0.013148,-0.028689,0.000650,0.002747,-0.004943
0.890000,0.025974,-0.026869,-0.045982,0.025448,-0.012027,-0.001213
0.900000,0.050225,-0.037524,0.037875,0.008160,0.004931,-0.013426
0.910000,0.026453,0.068360,-0.031218,-0.012212,-0.008737,-0.014433
0.920000,-0.002990,-0.081707,-0.030531,-0.006099,0.011388,0.002475
0.930000,-0.036809,-0.088341,-0.024110,0.020931,-0.008790,-0.013393
0.940000,-0.049096,-0.005824,0.023307,-0.003328,-0.011937,0.001756
0.950000,0.027470,0.008111,0.019971,0.011778,-0.000714,-0.009692
0.960000,0.005313,-0.088144,-0.002667,-0.005640,-0.007661,0.013274
0.970000,0.006012,-0.002880,0.049115,0.002407,0.013027,-0.014386
0.980000,-0.013677,0.018531,0.044670,0.025701,0.011509,0.010957
0.990000,-0.022671,0.066430,-0.001262,-0.000059,0.010030,-0.013612
1.000000,-0.025811,-0.005739,-0.024535,0.003471,0.001392,-0.007403
1.010000,0.015186,0.046901,0.046845,-0.001712,-0.005374,-0.017128
1.020000,-0.086095,0.064415,0.032394,-0.013553,-0.018873,0.004046
1.030000,-0.036213,-0.070150,-0.048813,0.014424,0.014803,-0.005653
1.040000,0.041736,0.055137,0.035091,-0.003891,-0.010954,0.000254
1.050000,0.023509,0.025588,-0.091912,0.012014,0.011534,-0.002083
1.060000,-0.019145,0.050843,0.045435,0.010202,-0.009161,-0.007400
1.070000,0.103215,0.007321,0.014304,0.005556,-0.006221,-0.024322
1.080000,0.071996,0.003056,0.018539,0.010734,0.000639,0.008987
1.090000,0.006597,-0.054344,0.002197,-0.016666,0.005600,0.007447
1.100000,0.032003,-0.009512,0.006691,0.009690,-0.009152,-0.013749
1.110000,0.072870,-0.064962,0.030271,0.000139,-0.004179,0.017895
1.120000,0.040366,-0.063783,0.057110,-0.013612,0.001291,0.007957
1.130000,0.150033,0.065186,0.090501,0.007807,-0.015113,-0.010709
1.140000,-0.062577,0.039130,0.018479,0.004551,-0.007308,0.010576
1.150000,-0.021853,0.099617,-0.022726,0.019290,-0.005545,-0.008798
1.160000,-0.046931,0.013838,-0.039329,0.011986,0.010240,-0.005852
1.170000,0.074868,-0.107754,-0.017261,-0.008864,-0.012108,0.026096
1.180000,-0.104679,0.019382,0.055535,0.013880,0.000934,-0.000290
1.190000,0.025341,0.056280,-0.063728,0.004077,-0.007496,-0.021665
1.200000,0.005292,-0.000815,-0.010725,-0.008124,-0.006333,-0.003110
1.210000,-0.043435,0.029823,-0.070144,-0.003921,0.003114,-0.008957
1.220000,-0.000493,0.007392,-0.019329,0.006828,-0.017451,-0.000409
1.230000,-0.070326,0.015851,0.023129,0.001035,0.015083,0.008934
1.240000,-0.023973,0.004114,-0.043232,-0.014660,-0.006986,0.005561
1.250000,0.074442,0.112487,0.018550,-0.012648,0.012708,-0.017919
1.260000,0.036907,0.084006,0.017563,0.015009,0.009407,-0.001383
1.270000,0.070269,-0.062043,-0.131682,0.006133,-0.001846,-0.005443
1.280000,0.036166,0.049708,-0.023856,0.005321,-0.001466,0.000711
1.290000,-0.042511,0.007690,-0.021860,-0.009578,-0.024101,-0.003898
1.300000,0.074234,-0.092106,-0.011155,-0.001359,-0.010395,0.019931
1.310000,-0.006142,-0.042561,0.024495,0.000242,-0.000239,0.004249
1.320000,-0.006045,0.072395,0.100273,0.004834,0.006640,0.001856
1.330000,-0.148427,0.032418,-0.042456,0.005731,0.019356,0.009408
