t,ax,ay,az,gx,gy,gz
0.000000,-0.008761,0.040367,-0.040795,0.011476,0.015907,0.019445
0.010000,0.010046,0.002804,-0.020937,0.004801,-0.002557,-0.008840
0.020000,0.098608,0.019118,-0.037565,-0.006697,-0.000561,-0.016289
0.030000,0.012976,0.017906,0.012384,0.004922,0.008736,-0.018596
0.040000,0.037932,0.014871,-0.045687,0.005973,-0.005247,0.001771
0.050000,0.032482,0.084753,0.067707,0.012708,0.013026,0.007000
0.060000,-0.114659,-0.031605,0.008785,0.003723,-0.018288,0.001117
0.070000,-0.049098,-0.006884,0.084784,-0.006657,-0.006281,0.005807
0.080000,0.077662,-0.023208,-0.076946,0.002743,-0.009637,0.004477
0.090000,-0.035461,0.022441,0.072050,-0.010315,0.020703,0.007728
0.100000,0.071823,0.018418,-0.009972,-0.002299,-0.013504,-0.011426
0.110000,-0.006429,0.123859,-0.081744,-0.001322,-0.004610,0.005413
0.120000,0.035746,-0.031473,-0.047143,-0.026569,-0.007669,0.029035
0.130000,0.038309,0.044749,0.020650,0.022018,0.006425,0.010754
0.140000,-0.005511,0.028157,-0.041346,0.003351,-0.029481,0.009363
0.150000,0.023319,-0.049621,-0.022756,0.018698,-0.000183,-0.009202
0.160000,-0.027293,-0.028402,0.005761,0.003735,0.002246,0.012652
0.170000,0.012812,-0.030937,-0.074969,0.004527,0.000345,0.018251
0.180000,-0.031371,-0.000720,0.003518,0.010001,-0.004094,-0.012531
0.190000,-0.025158,0.004828,0.061508,0.002640,0.011417,-0.001075
0.200000,0.065739,-0.064846,-0.011438,0.006655,-0.009782,0.000327
0.210000,0.006578,-0.069509,0.085174,0.003668,-0.003926,0.000013
0.220000,0.011455,-0.021178,0.066912,-0.005760,0.006463,-0.008197
0.230000,0.035451,0.054733,-0.028982,-0.019595,0.002289,-0.012254
0.240000,0.048558,-0.045574,0.017092,-0.008183,-0.003054,-0.019100
0.250000,0.042989,0.043985,-0.015714,-0.013851,0.008003,-0.006332
0.260000,-0.080948,-0.023473,0.070691,0.021976,0.005375,0.010735
0.270000,-0.031021,0.016450,-0.022806,0.003482,-0.007245,0.001188
0.280000,0.025042,0.015779,0.014435,-0.003885,0.018334,-0.010506
0.290000,-0.063505,-0.063948,-0.042768,-0.000683,-0.000937,0.008829
0.300000,-0.011033,-0.009489,-0.071545,0.008683,0.011389,-0.001612
0.310000,0.112012,-0.077880,0.027746,0.026860,0.022875,-0.012458
0.320000,0.056890,-0.023496,-0.048036,-0.017136,-0.001291,0.004569
0.330000,-0.032875,0.091093,-0.001231,0.008941,0.012858,-0.000235
0.340000,-0.016163,-0.013872,-0.074486,0.001358,-0.015981,-0.007569
0.350000,0.065207,-0.022660,-0.018188,0.003345,0.000216,-0.010716
0.360000,-0.012224,-0.037996,-0.052165,-0.000582,0.005155,-0.008449
0.370000,-0.088860,0.013163,-0.019107,0.002482,-0.002862,0.014069
0.380000,-0.047849,0.050165,0.051179,0.010287,-0.030860,0.008907
0.390000,-0.127236,-0.020275,-0.043752,-0.003385,-0.007753,-0.003450
0.400000,0.021739,-0.013650,0.065355,0.000426,0.002089,-0.000654
0.410000,-0.084874,-0.026344,-0.092267,-0.008977,0.000527,0.004255
0.420000,-0.029533,-0.057602,0.029816,0.003648,0.009536,0.011086
0.430000,0.017790,-0.027759,-0.069801,0.028540,-0.002505,0.022250
0.440000,0.035952,0.004895,-0.019877,0.016620,-0.008040,-0.004583
0.450000,0.098486,0.086540,0.012124,-0.010788,-0.010283,-0.001483
0.460000,-0.108118,-0.021697,-0.081363,-0.017251,-0.020815,0.003143
0.470000,0.070649,0.069520,-0.005081,-0.007159,0.015740,-0.011205
0.480000,0.037825,0.044739,0.015124,-0.001936,-0.016726,0.005170
0.490000,0.031857,0.115251,-0.005734,-0.013941,0.006074,-0.005641
