t,ax,ay,az,gx,gy,gz
0.000000,-0.035185,-0.004757,0.006866,-0.001090,-0.009750,0.000704
0.010000,-0.056386,-0.083475,0.071711,-0.003128,-0.008642,0.019975
0.020000,-0.052963,-0.039154,-0.017047,0.019491,0.016701,0.014847
0.030000,0.029998,0.050868,-0.069056,0.020250,0.026511,-0.010333
0.040000,0.066121,-0.069613,0.053864,0.010403,-0.001156,-0.006373
0.050000,0.006632,0.082368,0.057510,0.005137,-0.019267,0.014401
0.060000,0.032033,0.003685,-0.082693,-0.004588,-0.000412,0.005014
0.070000,0.035697,-0.005064,0.009055,-0.006819,-0.001588,-0.005160
0.080000,-0.067933,-0.066814,-0.010819,-0.003037,0.002253,0.005362
0.090000,-0.014366,-0.032364,-0.015414,0.020510,-0.017419,-0.000664
0.100000,0.017711,0.070940,0.066535,0.000392,-0.005869,-0.006480
0.110000,-0.045120,0.019018,0.023394,0.013916,-0.009917,0.004184
0.120000,-0.064351,0.011646,-0.095892,0.004728,-0.001785,-0.029535
0.130000,-0.079846,0.037656,-0.048352,0.009708,-0.013033,-0.007910
0.140000,-0.041189,-0.023536,0.018628,0.003004,0.012495,-0.006276
0.150000,0.005239,0.040404,-0.029121,-0.000087,-0.007458,0.002761
0.160000,0.012483,-0.059320,0.080721,0.003025,-0.014307,0.009161
0.170000,-0.061738,-0.034490,-0.068634,0.007322,0.004532,0.007902
0.180000,-0.113528,0.006449,0.048261,0.001370,0.002339,-0.019918
0.190000,0.079220,0.049352,-0.023346,-0.001786,-0.014486,0.009228
0.200000,0.002576,0.009684,0.032261,-0.017092,-0.009089,0.002746
0.210000,0.017517,-0.005613,0.068808,0.001573,0.002736,-0.002829
0.220000,-0.021455,0.031436,0.043912,-0.008687,-0.008104,0.000607
0.230000,-0.085025,0.004357,-0.078464,-0.007803,0.003896,-0.003030
0.240000,0.029013,0.021547,-0.023584,0.020201,0.007297,0.008859
0.250000,0.042172,-0.019572,0.051175,0.003353,-0.001493,0.007411
0.260000,0.055407,-0.038206,-0.051009,-0.000167,-0.011791,-0.013289
0.270000,-0.078125,-0.039258,0.032911,-0.014863,0.019151,0.002003
0.280000,-0.002948,0.025871,0.063690,0.003286,-0.004513,0.005072
0.290000,0.035055,-0.017070,0.002164,-0.005027,0.005451,-0.026833
0.300000,0.010340,-0.087755,0.050809,0.007004,0.002601,-0.010610
0.310000,-0.053664,0.051094,0.041844,0.003131,0.000087,0.000621
0.320000,-0.008249,0.084193,-0.087460,0.009433,0.013693,0.017913
0.330000,0.067917,0.018025,0.087385,0.003612,0.004323,-0.001685
0.340000,-0.064876,-0.011319,-0.025359,-0.000332,-0.010208,0.003165
0.350000,-0.048227,0.079228,-0.030704,0.007360,-0.012554,0.009173
0.360000,0.002721,-0.004202,-0.005110,-0.015541,-0.003339,0.011270
0.370000,-0.051007,-0.045230,0.006770,-0.012360,0.017199,0.002112
0.380000,0.009414,-0.012700,-0.159101,0.018219,0.002298,0.001831
0.390000,0.124354,0.017752,0.000675,-0.000728,0.005334,-0.004226
0.400000,-0.008142,0.018470,-0.003367,-0.000572,0.008491,-0.010615
0.410000,0.054888,0.010655,-0.005212,0.007167,0.002534,0.009376
0.420000,0.047791,-0.035679,0.030292,0.007912,0.005788,-0.005472
0.430000,-0.002811,-0.018717,-0.054786,0.005948,-0.000333,-0.002068
0.440000,-0.011844,0.014261,-0.049856,0.016052,0.003809,0.003991
0.450000,0.001836,0.030487,-0.089355,0.020970,-0.002797,0.009048
0.460000,0.054789,-0.066902,0.004543,0.013001,-0.024656,0.032227
0.470000,0.007398,0.007469,0.040094,-0.013905,-0.005268,0.003131
0.480000,-0.019031,0.002580,0.044344,-0.001443,-0.003867,-0.025845
0.490000,-0.080355,0.025376,-0.012506,-0.007525,-0.004353,-0.003445
0.500000,0.008815,-0.000541,-0.102550,0.003175,0.010388,0.007030
0.510000,0.014851,0.013649,-0.064816,0.016928,0.000055,-0.017846
0.520000,0.035919,0.017393,0.070639,-0.006265,-0.000139,0.001086
0.530000,-0.048808,0.051929,0.003954,0.006447,-0.015827,-0.012257
0.540000,0.051351,-0.040533,-0.013520,0.011696,0.000555,-0.005867
0.550000,0.049402,0.012481,0.064808,-0.005961,-0.005366,0.000547
0.560000,0.042024,0.078495,0.000425,0.015206,0.008425,-0.010684
0.570000,-0.006417,0.053304,0.097761,-0.009471,0.001746,0.005691
0.580000,-0.019921,-0.064311,0.022031,0.011112,0.013817,-0.013759
0.590000,0.071156,-0.056335,-0.034927,0.000160,-0.007974,0.000001
0.600000,0.010342,-0.063205,0.006229,-0.010605,-0.013910,-0.017625
0.610000,0.012654,0.080298,-0.024902,0.006648,-0.001668,0.005833
0.620000,-0.112837,0.093726,0.026488,0.002671,0.002647,-0.010314
0.630000,0.038933,-0.002304,0.054619,0.003052,-0.013943,0.000563
0.640000,0.048341,-0.019033,0.037211,0.013039,-0.004194,0.015089
0.650000,-0.053643,-0.183545,0.028670,0.004026,0.005799,-0.016610
0.660000,-0.047638,-0.116953,0.053340,0.011396,-0.006870,0.003205
0.670000,-0.030774,0.055119,-0.027441,-0.001062,-0.005832,0.006158
0.680000,0.008892,-0.067492,-0.035026,-0.009483,-0.005263,-0.006634
0.690000,-0.019124,-0.107534,0.080453,0.011668,0.023018,0.010882
0.700000,-0.068828,-0.041374,0.061369,0.003633,0.009759,0.012333
0.710000,0.019344,0.046032,0.057687,-0.003219,-0.001480,0.007800
0.720000,0.042151,0.023894,-0.016255,-0.007600,0.003605,0.000606
0.730000,-0.029403,0.097462,0.032217,-0.019724,-0.016175,0.004061
0.740000,0.031452,0.000872,0.059422,-0.002666,-0.006972,0.006342
0.750000,0.064325,-0.035210,0.081979,0.007423,0.018894,-0.009315
0.760000,0.071046,-0.115154,0.047626,-0.002304,0.024301,-0.002063
0.770000,0.071388,-0.041541,0.077914,0.004478,0.012871,-0.009168
0.780000,-0.038595,-0.024790,0.019167,0.003478,-0.006783,0.011425
0.790000,0.001908,0.006506,-0.020867,0.005254,-0.006091,-0.008506
0.800000,-0.066317,-0.000985,0.045998,-0.010189,-0.024249,0.005352
0.810000,-0.063154,-0.001422,-0.004118,0.001215,0.005208,0.008034
0.820000,-0.032916,0.019314,0.021861,0.014888,-0.005039,-0.002673
0.830000,-0.045733,0.002127,0.034369,-0.003390,0.007626,-0.004436
0.840000,0.064538,-0.098526,0.049572,0.017210,0.002480,0.017335
0.850000,0.058841,-0.012428,0.023168,0.004287,0.004216,-0.007181
0.860000,-0.037598,0.012006,0.046402,-0.008120,0.004287,-0.003224
0.870000,0.088586,0.062858,0.006036,0.013178,0.015752,-0.010724
0.880000,0.036225,-0.086582,0.004429,0.006489,0.004309,0.005528
0.890000,0.045726,0.012002,-0.027209,-0.007879,0.007821,-0.007240
0.900000,-0.055622,-0.012820,-0.063447,-0.008268,-0.009013,0.011144
0.910000,0.085815,-0.104913,-0.035389,0.011513,-0.021732,0.004836
0.920000,0.029108,-0.058538,0.079449,0.000513,0.006955,-0.004506
0.930000,-0.004037,0.039486,-0.058237,-0.016965,-0.008510,0.007519
0.940000,0.042115,0.036369,0.038496,0.005804,-0.015230,0.003853
0.950000,0.014410,0.002250,-0.012783,0.002947,0.004513,-0.011773
0.960000,-0.026303,0.053716,0.024103,0.002568,0.000499,-0.000928
0.970000,-0.072911,-0.046622,0.063777,0.014141,-0.015482,0.007697
0.980000,0.041156,0.043371,-0.040965,-0.012271,0.001946,-0.009013
0.990000,0.089552,-0.004908,0.011892,0.008521,-0.003833,-0.011876
1.000000,0.003511,-0.049235,0.021354,0.005482,0.006825,0.000167
1.010000,-0.028529,-0.047485,0.085942,-0.005798,-0.019779,0.010129
1.020000,-0.067515,-0.071172,-0.071951,0.007364,0.002252,-0.022723
1.030000,0.072293,-0.044786,0.052928,-0.005292,-0.004244,-0.018615
1.040000,0.013472,0.030324,0.007860,-0.020999,-0.004822,-0.006862
1.050000,-0.066477,-0.000880,0.004879,0.007235,-0.016436,0.000237
1.060000,0.051868,-0.039274,0.049030,0.007866,-0.001341,0.006992
1.070000,0.025876,0.039545,-0.025428,0.006211,-0.000622,0.012712
1.080000,-0.040607,0.028447,0.099922,0.005216,-0.001000,0.000898
1.090000,0.043983,-0.002334,0.077356,0.010066,0.019774,-0.003515
1.100000,0.036832,-0.039497,-0.090658,-0.002466,0.005641,-0.006380
1.110000,-0.030220,0.002087,-0.004447,0.016366,-0.000075,0.002194
1.120000,-0.001404,-0.001519,0.013883,-0.004407,-0.006055,-0.007341
1.130000,-0.026893,-0.035789,-0.015552,-0.010630,0.001621,0.004324
1.140000,-0.019363,0.037128,0.014177,-0.008638,-0.018615,0.014558
1.150000,-0.008375,-0.033149,-0.026990,-0.024332,-0.003033,-0.002099
1.160000,0.067003,-0.048192,0.038939,0.007108,0.009022,0.008641
1.170000,-0.028549,-0.033715,0.043784,0.000087,-0.006694,-0.014109
1.180000,-0.046523,0.102325,0.053029,0.009105,-0.023132,-0.002217
1.190000,0.139057,-0.055861,0.004088,-0.002089,-0.007055,0.020108
1.200000,-0.031218,0.011039,-0.089933,0.003174,-0.009204,-0.012104
1.210000,0.030388,0.037985,0.043826,-0.012068,-0.011842,-0.001563
1.220000,-0.019541,0.027215,-0.097958,-0.004409,0.021471,0.006099
1.230000,-0.095817,0.046696,0.023286,-0.002698,-0.011826,-0.000218
1.240000,0.062110,-0.013810,0.001364,-0.009551,0.000420,0.000090
1.250000,-0.036606,0.062429,-0.010520,0.004561,-0.007580,0.011520
1.260000,-0.007734,0.012314,0.051211,0.007788,0.010147,0.011266
1.270000,0.001173,0.009494,0.154803,0.002213,-0.002948,0.018755
1.280000,-0.076846,-0.011527,0.025968,-0.003996,-0.003759,-0.006256
1.290000,0.052228,-0.072302,0.088859,0.011443,0.006914,-0.002540
1.300000,-0.034796,-0.035755,0.046225,-0.001571,0.004600,-0.007486
1.310000,0.057710,-0.000042,0.048766,-0.007875,0.008663,0.005610
1.320000,0.021218,-0.042258,0.005122,0.007518,0.015030,-0.008124
1.330000,-0.061594,0.061028,0.016949,0.003547,-0.001945,-0.000585
1.340000,0.073959,0.048721,0.083418,0.004428,0.012411,-0.013474
1.350000,0.042576,0.000545,-0.083336,0.009918,-0.020188,-0.006161
1.360000,0.006115,0.094897,-0.034819,-0.012736,-0.018763,0.004123
1.370000,0.010895,-0.057772,0.018457,0.014075,-0.005363,-0.008416
1.380000,-0.001787,-0.006618,0.000814,0.006109,-0.024652,0.000282
1.390000,0.084312,-0.033846,-0.028985,-0.023386,-0.009078,-0.005264
1.400000,0.007719,0.040804,0.068689,-0.014977,-0.004467,-0.002638
1.410000,0.011413,-0.073568,0.003645,0.005394,-0.013347,0.013537
1.420000,-0.021072,-0.004704,-0.002262,-0.012680,0.021409,0.001392
1.430000,-0.016399,0.016737,-0.018029,-0.010354,-0.006143,-0.011867
1.440000,-0.043341,-0.028060,-0.034365,-0.004435,0.000239,0.016684
1.450000,0.023898,0.052736,0.007774,0.001196,-0.013753,0.007088
1.460000,-0.030989,-0.080269,-0.026105,0.018552,0.006041,-0.007871
1.470000,0.073406,0.010477,0.047826,0.007746,0.006896,-0.017918
1.480000,-0.048710,0.004563,-0.020785,0.015703,-0.014397,0.002056
1.490000,0.021301,0.075496,0.035020,0.012723,0.003702,-0.008083
1.500000,0.057632,-0.030934,-0.017071,0.002349,0.002057,-0.013039
1.510000,-0.049178,-0.010708,0.047803,0.008310,0.009021,0.001323
1.520000,-0.082431,0.075163,-0.007516,-0.001159,-0.000169,0.001600
1.530000,-0.071727,0.013332,-0.004218,0.006519,0.002754,-0.008002
1.540000,0.063543,-0.057664,-0.096947,-0.001672,0.010641,0.002788
1.550000,-0.068432,-0.025568,-0.004868,-0.001561,-0.020897,-0.005094
