t,ax,ay,az,gx,gy,gz
0.000000,0.044391,-0.013962,0.021452,0.009432,0.005572,0.006817
0.010000,-0.071807,-0.026746,-0.030230,0.006920,0.000077,-0.006197
0.020000,-0.069963,-0.006397,0.080625,0.000022,0.011138,0.031877
0.030000,-0.011120,-0.076354,-0.068439,-0.000020,-0.022257,-0.011240
0.040000,0.047175,0.059209,0.042145,0.002140,0.007012,0.008174
0.050000,0.017623,-0.026628,-0.045513,-0.001095,0.040896,0.001130
0.060000,-0.026928,-0.030637,0.012162,-0.005733,-0.007471,0.010110
0.070000,0.116112,-0.091257,0.053908,-0.001396,0.008694,0.000427
0.080000,0.054591,-0.033930,0.012957,-0.003406,-0.020403,-0.000689
0.090000,-0.118463,0.024804,0.008038,0.000315,0.015882,0.008910
0.100000,0.050818,-0.065797,-0.016765,0.010197,0.007942,-0.012333
0.110000,0.002216,-0.051685,-0.046637,-0.001656,-0.000738,0.008969
0.120000,0.029016,0.078870,0.036432,-0.005682,-0.000330,-0.010665
0.130000,-0.031324,0.031047,0.044803,-0.005846,0.006227,-0.006965
0.140000,0.102115,-0.017454,0.015221,0.009999,-0.017940,-0.004284
0.150000,-0.052530,-0.035855,-0.047176,0.003841,0.017591,-0.000391
0.160000,-0.019077,0.011268,-0.087662,0.004024,0.000642,0.010957
0.170000,0.025066,-0.040804,0.072650,-0.006666,0.006603,0.000482
0.180000,0.002564,0.071832,-0.015665,-0.013422,0.010648,0.000667
0.190000,0.052993,0.025840,-0.046488,0.008890,-0.003248,0.001574
0.200000,0.149603,0.006337,-0.073060,-0.002019,0.000676,0.002850
0.210000,0.004851,-0.043632,-0.040988,0.002260,-0.004435,0.002124
0.220000,-0.095120,-0.062286,-0.065505,0.003924,-0.001378,0.009194
0.230000,0.010062,0.015002,-0.062735,-0.002446,0.025014,-0.003214
0.240000,-0.102670,0.009636,-0.022723,0.018223,-0.016249,0.007983
0.250000,-0.019992,0.048452,0.044447,-0.007206,0.024085,-0.016431
0.260000,0.041302,0.045662,0.072911,-0.011793,0.003505,-0.011434
0.270000,0.008069,0.064565,-0.000197,-0.002174,0.001347,0.006846
0.280000,-0.041450,0.046216,-0.045673,-0.015240,-0.005908,0.000384
0.290000,0.080931,0.100980,0.044102,0.012516,0.016292,-0.001494
0.300000,0.045431,0.031699,0.022517,0.003922,0.014914,0.003512
0.310000,0.071929,0.066854,-0.064470,-0.007237,-0.012355,0.002213
0.320000,-0.080488,-0.092468,0.048889,0.002015,-0.008225,-0.000806
0.330000,-0.016703,-0.013915,0.069182,-0.002565,-0.004702,0.007377
0.340000,0.035626,0.072976,-0.041787,-0.004642,0.002895,-0.012440
0.350000,-0.002412,0.042840,0.061245,0.012622,0.009356,0.005854
0.360000,0.050726,0.111830,0.006239,-0.012537,-0.006253,0.001094
0.370000,-0.017779,-0.019444,0.014261,-0.033627,0.010918,-0.010539
0.380000,-0.074178,0.050813,0.060223,0.014226,-0.013954,0.000481
0.390000,0.033559,-0.033845,0.033835,0.019613,-0.004256,0.018961
0.400000,-0.002383,0.072674,-0.035725,-0.001885,-0.008311,-0.000008
0.410000,0.059023,-0.020924,-0.048756,-0.006609,-0.016330,0.016175
0.420000,-0.029529,0.014445,-0.017343,-0.006594,0.009750,0.010863
0.430000,0.038133,-0.042511,-0.059471,0.002548,0.003055,-0.007253
0.440000,0.008651,0.018158,-0.057121,0.015378,0.009857,0.017607
0.450000,-0.045130,0.084282,0.007200,-0.012754,0.015628,0.007838
0.460000,-0.120729,0.067497,0.064380,0.025434,0.005451,-0.000521
0.470000,0.023095,-0.087338,0.027696,0.009597,0.002667,-0.012988
0.480000,0.038591,-0.022266,0.007519,0.007851,-0.018656,0.002558
0.490000,-0.067596,0.012579,-0.023297,0.012581,-0.006961,0.007280
0.500000,-0.034096,0.050407,-0.038203,0.002659,0.007268,-0.002290
0.510000,-0.065028,-0.032330,-0.024968,0.011829,0.004032,0.016093
0.520000,-0.039071,-0.007294,-0.026317,0.016836,-0.003019,-0.001226
0.530000,0.043102,0.025489,-0.053002,0.007705,0.002338,0.002335
0.540000,-0.056734,-0.009605,0.001226,-0.017365,-0.017206,0.016133
0.550000,-0.002833,-0.092527,0.008949,0.017110,0.000350,0.015990
0.560000,0.030349,-0.067294,0.087576,-0.001083,-0.003004,-0.005734
0.570000,0.064962,0.030628,-0.029638,-0.003340,-0.003028,-0.018012
0.580000,-0.030657,-0.021075,0.037238,-0.015705,-0.011751,0.009437
0.590000,-0.015352,-0.025738,0.044781,0.003659,0.015174,-0.008885
0.600000,0.074807,-0.103703,-0.042656,0.008339,0.001076,-0.004601
0.610000,-0.102900,-0.028941,0.021892,-0.001012,-0.004590,-0.008285
0.620000,0.008515,0.043667,0.019378,0.009880,-0.011712,-0.009895
0.630000,0.003217,-0.022320,0.044784,-0.001804,0.000336,-0.007679
0.640000,0.020585,0.042486,0.051459,0.000805,-0.001024,-0.012192
0.650000,-0.047343,0.019703,-0.019536,0.001369,0.024288,-0.008157
0.660000,0.092111,0.021199,0.077405,0.005641,0.003377,-0.004880
0.670000,-0.073751,0.004862,-0.047167,-0.007118,-0.001757,0.002838
0.680000,0.031557,-0.011043,-0.033801,-0.000444,0.001036,-0.008213
0.690000,0.088076,-0.067131,0.020973,-0.014320,0.001625,0.003428
0.700000,0.048424,-0.059174,0.033394,0.009869,0.016855,0.014477
0.710000,-0.053699,0.012777,0.009911,-0.008516,0.006692,-0.004716
0.720000,0.005891,-0.021586,0.052534,0.002115,0.007951,0.000950
0.730000,-0.019532,0.005075,-0.071205,0.007650,0.007917,0.018299
0.740000,0.009374,0.043850,-0.006627,-0.011232,-0.007760,0.009559
0.750000,0.059678,-0.084993,0.069762,-0.011654,0.003733,-0.000171
0.760000,0.005523,-0.072695,0.059443,0.009555,-0.000705,-0.005206
0.770000,0.086056,0.000247,-0.010136,0.009454,0.000658,-0.001934
0.780000,-0.096938,0.027532,0.092698,-0.007338,0.008647,-0.010379
0.790000,-0.036690,-0.098342,0.060493,0.006434,0.005086,0.000879
0.800000,-0.018745,-0.071477,0.041706,-0.020093,0.004467,0.005715
0.810000,0.020030,0.024628,0.018441,0.013030,0.011535,-0.008592
0.820000,-0.041222,0.006394,-0.034313,-0.011138,-0.010187,0.005671
0.830000,0.001602,0.121126,-0.044266,0.008581,-0.003370,-0.006363
0.840000,-0.046772,0.016464,-0.036090,-0.005373,-0.010524,-0.005344
0.850000,-0.002650,0.033111,0.074847,0.001514,-0.011669,0.000660
0.860000,-0.018978,0.056499,0.079352,0.004395,-0.006948,0.001082
0.870000,0.003520,-0.048332,-0.027581,0.000113,0.003650,-0.005819
0.880000,-0.001470,0.055587,0.017934,0.009105,-0.012370,0.014723
0.890000,-0.071959,0.099037,-0.016171,0.019841,0.004122,0.007665
0.900000,0.002503,0.022752,-0.004402,-0.007340,0.013935,-0.008071
0.910000,0.007787,0.008353,0.032333,-0.001480,0.017929,0.002693
0.920000,-0.005131,-0.004113,-0.017718,0.007157,-0.001487,0.002477
0.930000,0.026111,0.046090,0.014873,0.008431,0.007906,-0.001365
0.940000,0.036242,-0.029529,0.057509,-0.006243,-0.008524,-0.000096
0.950000,-0.066723,0.009778,0.000559,0.005410,0.021618,0.010216
0.960000,0.055719,0.008599,-0.001589,0.006779,-0.004409,0.008213
0.970000,0.004435,0.024223,0.009014,-0.006100,0.006670,-0.001886
0.980000,-0.063792,-0.028085,0.049216,-0.005623,0.008765,-0.002858
0.990000,0.028322,-0.006644,0.009672,0.012796,-0.002370,0.012854
1.000000,-0.103296,0.028480,0.044335,-0.004358,-0.013431,-0.004361
1.010000,0.044665,0.074597,0.095542,-0.003037,-0.000868,0.018447
1.020000,-0.045386,0.090455,0.017170,-0.007022,0.009853,-0.006190
1.030000,-0.014347,0.090492,0.122531,-0.008743,0.000481,0.014646
1.040000,0.071639,0.006794,-0.009347,-0.012842,0.003387,0.005631
1.050000,-0.013176,0.057623,-0.015291,0.001698,-0.000837,-0.023544
1.060000,0.057483,0.022692,-0.002900,0.002834,0.006739,0.012301
1.070000,0.017250,0.029220,0.010774,-0.015681,0.019362,0.012094
1.080000,0.045259,0.043935,0.055633,-0.005100,0.010587,0.007922
1.090000,0.005150,-0.031753,0.102843,-0.003355,0.009502,-0.006781
1.100000,-0.049788,0.035795,0.012925,0.001400,-0.029100,0.011177
1.110000,-0.001601,0.061338,0.018442,-0.005470,-0.007706,0.002553
1.120000,-0.019297,-0.054218,0.044244,-0.001289,-0.006360,-0.008483
1.130000,-0.029137,0.032897,-0.015705,-0.001962,-0.000948,0.002108
1.140000,-0.022031,0.033726,-0.017417,-0.006265,-0.001111,0.000253
1.150000,0.030851,0.014889,0.039084,0.015184,-0.017156,-0.018185
1.160000,-0.055668,-0.033357,0.034319,0.011664,0.012025,0.013416
1.170000,-0.029421,0.025116,0.018825,0.004244,0.007563,0.001615
1.180000,0.020627,-0.004431,-0.013997,0.001724,-0.000075,-0.003396
1.190000,0.071121,-0.077805,-0.049295,0.004011,0.019186,-0.017215
1.200000,0.050571,-0.012009,0.017800,-0.000174,0.004547,0.002399
