t,ax,ay,az,gx,gy,gz
0.000000,-0.051541,-0.081526,-0.003045,-0.002839,0.011616,0.003734
0.010000,0.024491,0.000728,0.014680,-0.000248,-0.002243,-0.003811
0.020000,0.043856,0.073516,0.017546,0.012959,-0.009269,0.004477
0.030000,0.002293,0.022715,-0.028293,-0.002603,-0.010490,0.010370
0.040000,-0.021780,0.071090,0.002330,0.004398,0.004718,0.002000
0.050000,-0.014563,0.025503,-0.004733,0.011295,-0.008051,0.004278
0.060000,-0.012715,-0.019398,-0.058048,0.011646,0.000064,-0.015138
0.070000,-0.055847,0.035332,0.025075,0.012925,0.009274,0.000272
0.080000,0.061571,-0.059406,0.014105,-0.001983,0.005391,0.001674
0.090000,0.023828,-0.010990,-0.124321,0.004696,0.001786,-0.023139
0.100000,0.031411,-0.009343,-0.020915,0.004612,-0.002412,0.004518
0.110000,-0.050898,0.025034,-0.020525,-0.009286,0.003241,0.007512
0.120000,0.124822,-0.008252,0.049328,-0.008887,0.011327,0.012212
0.130000,0.006512,-0.037798,0.038596,0.000426,0.003160,-0.009198
0.140000,-0.061603,-0.040987,-0.010719,-0.001295,0.013264,-0.000628
0.150000,0.017430,-0.077024,0.013684,0.005150,0.004239,-0.007264
0.160000,-0.027559,0.004646,0.014624,-0.011615,-0.014397,-0.005452
0.170000,-0.035631,-0.017762,-0.047227,-0.006652,0.002542,-0.000865
0.180000,0.041069,-0.017126,0.009606,-0.003755,0.019135,0.010651
0.190000,-0.120904,0.007417,0.082735,0.008873,-0.015038,-0.010670
0.200000,0.032965,-0.017910,0.003584,0.027326,0.011268,0.003424
0.210000,0.022431,0.045320,-0.009915,-0.010213,-0.000142,-0.005263
0.220000,0.026403,-0.077325,-0.086876,-0.014793,-0.023009,0.004723
0.230000,-0.022175,0.112984,-0.040274,0.002037,-0.002424,0.004747
0.240000,0.029093,0.112971,-0.018195,0.011945,-0.002071,0.004722
0.250000,0.033288,0.004634,-0.038567,-0.004102,0.004381,0.012701
0.260000,0.008408,-0.005908,-0.008285,-0.003719,0.002086,0.001994
0.270000,-0.118432,-0.060151,-0.035105,0.001634,0.012260,-0.004546
0.280000,0.029867,0.013771,0.019084,-0.008351,0.006588,0.015317
0.290000,-0.022030,0.031555,0.077221,-0.004103,-0.011217,0.000604
0.300000,0.051507,-0.032675,0.006219,0.000269,0.007737,0.020145
0.310000,0.057174,0.012719,-0.046244,0.011026,0.004184,-0.006504
0.320000,-0.017943,-0.058007,-0.017855,-0.003730,-0.011534,0.003785
0.330000,0.020057,-0.033102,0.018792,-0.005882,0.005926,0.007184
0.340000,0.017843,0.036161,0.024869,0.000725,-0.002871,-0.000542
0.350000,0.032468,-0.043184,-0.011531,-0.004570,-0.008137,0.014038
0.360000,0.017239,0.092242,0.048098,-0.002707,-0.005710,0.001270
0.370000,-0.018262,-0.021892,0.033775,0.010925,-0.004288,-0.025227
0.380000,0.003310,0.002904,-0.021046,-0.004744,0.003654,-0.004151
0.390000,-0.030357,-0.043296,0.049675,0.007884,0.004683,-0.019211
0.400000,0.014437,-0.031767,0.004862,-0.006844,0.015290,-0.004394
0.410000,-0.014185,-0.003844,-0.002479,-0.011529,-0.000398,0.011822
0.420000,-0.009737,-0.012675,0.016726,-0.000678,-0.008649,0.015668
0.430000,0.075957,-0.036555,-0.099795,-0.000747,-0.001829,-0.015585
0.440000,-0.026114,0.023971,0.007562,-0.000854,-0.014142,-0.001447
0.450000,0.031030,-0.051867,0.058747,0.012972,-0.013051,-0.008226
0.460000,0.034335,-0.090920,-0.084369,0.018206,0.001492,-0.012034
0.470000,0.004832,0.009220,0.060208,0.004644,-0.004211,-0.004181
0.480000,0.065540,-0.079831,0.020654,-0.018912,0.003787,0.001221
0.490000,0.006352,-0.016606,-0.066802,0.006099,-0.001860,-0.008447
0.500000,-0.121512,0.026538,-0.032249,-0.016144,0.017420,-0.012177
0.510000,-0.005876,0.064438,0.006451,-0.017880,0.021026,-0.007447
0.520000,-0.070482,0.025157,0.024466,0.003375,-0.023067,0.010322
0.530000,0.055036,0.040911,-0.009690,-0.000614,0.001277,0.003530
0.540000,0.050328,-0.051056,-0.018864,-0.002852,-0.004651,-0.007259
0.550000,0.004408,-0.040484,-0.017813,0.012396,0.018842,-0.022102
0.560000,-0.082097,0.003952,0.014699,0.003578,0.011101,0.008225
0.570000,-0.150191,-0.046537,0.016570,-0.000746,-0.008587,0.013312
0.580000,0.067252,0.049572,-0.026748,-0.029261,0.000312,-0.001818
0.590000,-0.014717,-0.043386,-0.055539,0.015449,-0.005283,0.009623
0.600000,0.033505,-0.023238,-0.057421,0.014516,-0.001543,0.011576
0.610000,0.082680,-0.097344,-0.012885,-0.000799,-0.004093,0.000492
0.620000,0.072535,0.055818,0.023919,0.013501,-0.014418,0.011071
0.630000,0.055379,-0.036245,-0.035220,0.002312,-0.004330,-0.013060
0.640000,0.036219,0.060896,0.081081,-0.009575,-0.003687,0.007943
0.650000,0.016259,-0.010102,0.025161,0.005032,0.003991,0.000405
0.660000,-0.068384,-0.026140,-0.044165,-0.002186,-0.028518,0.003632
0.670000,-0.031807,0.015097,-0.007551,-0.004792,-0.003209,-0.004766
0.680000,0.134132,0.035259,0.035541,0.016060,0.009303,0.013131
0.690000,0.049559,-0.051229,-0.025221,-0.011785,0.016288,0.009965
0.700000,0.003532,-0.038543,-0.017839,-0.010533,0.004958,-0.011873
0.710000,0.073140,-0.039238,-0.019891,-0.011956,-0.000690,-0.011014
0.720000,0.123811,0.076316,0.064665,-0.002767,0.002153,0.003563
0.730000,-0.000272,-0.086113,0.028082,0.010574,-0.003620,0.007570
0.740000,0.068084,-0.025555,-0.064905,-0.012259,0.003652,0.008157
0.750000,0.009661,0.037447,-0.002191,0.002190,-0.005906,-0.007672
0.760000,0.092476,-0.030755,-0.036259,-0.012776,-0.006770,-0.000955
0.770000,0.016986,0.014083,0.063234,-0.003936,-0.007476,0.012293
0.780000,-0.015362,0.073852,0.090174,-0.000347,-0.012075,-0.005111
0.790000,-0.016779,0.059555,0.096510,0.026006,0.003181,0.009713
0.800000,0.074418,-0.051390,-0.009695,0.001620,0.014230,-0.001502
0.810000,-0.005506,-0.021963,-0.036281,-0.002130,0.005031,-0.007554
0.820000,-0.052143,0.032602,-0.026853,0.011065,-0.006399,0.005879
0.830000,-0.020449,0.053535,0.036769,0.004888,-0.011591,0.003582
0.840000,0.052106,0.027901,0.010241,0.002630,-0.007466,-0.015973
0.850000,-0.056445,-0.074956,0.002725,0.012584,0.023509,-0.008602
0.860000,-0.066193,0.163242,0.046603,0.007517,0.003866,0.002136
