t,ax,ay,az,gx,gy,gz
0.000000,-0.060041,-0.001247,-0.061258,-0.010979,0.002703,0.002294
0.010000,0.025752,0.027817,-0.042686,-0.016589,0.016433,0.002310
0.020000,-0.007778,-0.032649,-0.055934,0.012583,0.013636,0.000503
0.030000,0.065250,-0.049703,0.011290,-0.006854,0.008696,-0.006666
0.040000,0.055970,-0.029383,-0.021117,-0.006337,0.014764,-0.003503
0.050000,0.029774,0.073023,-0.052790,-0.002042,0.009665,-0.002524
0.060000,0.027187,0.012028,0.040882,-0.009348,-0.000771,0.004826
0.070000,-0.015201,0.045882,0.116559,-0.003718,0.001245,-0.002163
0.080000,0.033377,-0.049219,0.009457,-0.009400,-0.019545,0.008488
0.090000,0.055849,-0.029094,-0.033999,0.002233,0.000072,-0.004110
0.100000,0.002343,0.001141,0.129638,0.003804,-0.004573,0.005378
0.110000,0.002814,-0.026716,0.043162,-0.001494,-0.008224,0.017299
0.120000,-0.071398,0.008705,-0.027049,0.008605,0.013957,0.011006
0.130000,0.014138,-0.046284,0.036949,-0.004406,-0.000604,0.009394
0.140000,0.048397,0.008985,-0.078933,-0.000323,-0.008277,0.001259
0.150000,0.077123,-0.011235,0.023250,0.017410,0.003548,-0.014580
0.160000,0.028713,-0.007383,0.001801,-0.005080,0.014207,-0.000741
0.170000,-0.036462,-0.058047,-0.042019,-0.014635,0.003579,-0.003064
0.180000,0.017675,0.060849,0.018221,0.011630,-0.000046,0.019214
0.190000,0.085533,0.038786,0.020858,-0.004237,0.011447,0.001292
0.200000,0.058129,-0.005042,0.040392,-0.003337,-0.001222,-0.009086
0.210000,0.005019,0.017028,0.020609,0.011039,-0.005172,0.015098
0.220000,-0.037959,-0.022957,0.084182,0.007610,-0.000937,0.002972
0.230000,-0.132192,-0.036784,0.081284,0.006654,0.008202,0.019053
0.240000,-0.047476,0.048630,-0.026694,0.016931,-0.016493,0.012990
0.250000,0.066295,0.041780,0.039325,0.004855,-0.008703,-0.006713
0.260000,0.012141,0.008787,-0.055386,0.009916,0.003975,0.000116
0.270000,-0.015447,-0.087861,-0.028807,0.016006,-0.000381,0.013312
0.280000,0.040334,0.037335,-0.083438,-0.033479,0.019959,0.012696
0.290000,-0.000853,0.035208,-0.073100,-0.003034,-0.003389,-0.002268
0.300000,0.054597,0.007736,0.042593,0.012745,0.005581,-0.007782
0.310000,-0.005409,-0.037364,-0.047711,0.000092,0.009123,0.010051
0.320000,-0.009212,0.062471,0.086519,0.014912,-0.003098,-0.003060
0.330000,-0.013870,0.071329,0.059090,0.013751,-0.001475,0.010696
0.340000,0.003603,0.032053,-0.039560,-0.001211,-0.007921,-0.003319
0.350000,0.024905,0.093799,-0.025497,-0.001488,-0.012625,0.005984
0.360000,-0.040222,0.020657,0.038863,0.007539,-0.005568,0.017639
0.370000,0.047652,-0.070245,-0.083309,0.007218,0.005479,0.007444
0.380000,-0.071063,0.021756,0.016105,-0.003257,-0.007759,-0.016093
0.390000,-0.057599,-0.032675,-0.044155,0.018026,-0.007976,0.000381
0.400000,0.079393,0.022509,-0.040839,0.005272,0.003625,0.009993
0.410000,0.035668,0.056302,-0.043033,0.006202,0.000546,-0.004060
0.420000,-0.062879,0.007337,-0.063883,0.012227,-0.007589,0.019126
0.430000,-0.021971,-0.021158,-0.008830,0.003653,-0.007821,-0.005222
0.440000,0.015568,0.028598,0.056327,0.012409,-0.007259,0.004528
0.450000,-0.022302,-0.039648,-0.005169,-0.002544,0.002801,0.015136
0.460000,-0.076942,0.052887,0.008058,-0.001643,0.013397,-0.000620
0.470000,0.010530,-0.075691,-0.058830,-0.004278,0.007446,0.002503
0.480000,-0.041840,0.085803,0.020735,0.014305,-0.005245,-0.008725
0.490000,0.033078,-0.032983,0.042663,0.012050,-0.010985,0.012567
0.500000,-0.010896,-0.004306,0.019118,-0.010878,0.009857,0.004158
0.510000,0.059613,0.026777,0.093361,-0.013498,-0.019924,0.002971
0.520000,0.086160,0.058965,0.009164,0.011261,0.013837,-0.011208
0.530000,0.072388,-0.047850,-0.091589,0.009024,0.001520,0.016705
0.540000,0.026756,0.058312,-0.054890,-0.003977,0.004626,-0.014263
0.550000,-0.050025,0.032918,0.009459,0.008266,-0.010125,0.006969
0.560000,0.005411,0.024544,0.060082,0.003088,-0.003738,-0.004423
0.570000,-0.025916,-0.013504,0.011062,0.001635,0.006292,0.004403
0.580000,-0.030470,-0.060805,0.017515,0.010564,-0.000845,0.002813
0.590000,-0.100076,-0.016672,-0.016660,0.015998,0.008941,-0.011617
0.600000,-0.008914,-0.080337,-0.021156,-0.005175,-0.000597,-0.006149
0.610000,-0.007732,0.006717,-0.001996,0.007871,-0.008036,-0.011394
0.620000,0.008323,-0.038995,-0.043479,-0.000208,-0.009556,-0.005325
0.630000,-0.049380,0.004456,0.063315,0.006894,-0.005834,0.004615
0.640000,-0.110719,0.061866,0.075325,-0.004928,-0.002456,0.007996
0.650000,-0.106205,0.056401,0.022800,0.003121,0.012650,-0.005616
0.660000,0.017936,0.025847,-0.078627,0.001685,-0.011840,-0.001576
0.670000,-0.012584,-0.062145,0.008701,-0.012031,0.005945,-0.003230
0.680000,-0.145630,0.024361,0.026273,0.005566,0.008783,0.000675
0.690000,0.020469,-0.088900,-0.002720,0.014570,0.001347,-0.003217
0.700000,-0.037999,-0.004674,-0.075469,-0.004384,-0.007649,-0.006010
0.710000,0.014392,-0.094594,0.067754,-0.010836,-0.000332,0.004857
0.720000,-0.008786,0.014260,0.037435,-0.007876,0.013022,0.022338
0.730000,0.006478,0.059189,0.011648,-0.008258,0.017294,0.003719
0.740000,0.079707,-0.017065,-0.050477,0.006095,-0.026091,-0.008704
0.750000,0.016868,0.038438,-0.044616,-0.005256,-0.024749,-0.004046
0.760000,-0.050652,-0.099703,0.043003,0.006622,-0.008158,0.006338
0.770000,0.021970,-0.060384,-0.042244,-0.006271,0.013168,-0.007066
0.780000,0.002190,0.006185,0.069435,0.016158,0.001336,0.002243
0.790000,0.016699,0.006574,-0.068494,-0.003955,0.005409,-0.013658
0.800000,-0.029787,0.056562,-0.052789,-0.001837,-0.001536,-0.000947
0.810000,0.028852,-0.012051,-0.009929,-0.006178,-0.006363,-0.004048
0.820000,-0.058637,-0.018870,-0.007375,-0.004799,0.000883,0.020677
0.830000,-0.081253,-0.118218,-0.014824,-0.002803,0.007964,0.002034
0.840000,-0.046733,-0.013936,-0.045294,0.029403,0.010911,0.008410
0.850000,-0.008303,-0.039034,-0.085521,-0.002441,0.008562,0.001767
0.860000,0.011356,-0.068817,0.047961,0.002956,0.019540,-0.004101
0.870000,-0.007948,0.072685,0.085367,0.009442,-0.015083,0.007437
0.880000,-0.124079,-0.067994,-0.017497,0.004141,0.003851,0.008087
0.890000,0.017349,0.068555,0.063718,0.015359,-0.001050,-0.000832
0.900000,-0.024870,-0.021380,-0.029769,0.003435,-0.006888,0.002115
0.910000,-0.051909,-0.085056,-0.026300,-0.002128,0.009989,0.000291
0.920000,0.011269,0.059895,-0.027104,-0.002274,0.002214,-0.015756
0.930000,-0.013535,0.055713,0.020964,-0.008019,0.012345,-0.018547
0.940000,-0.002002,-0.058055,0.018732,0.004189,0.008776,-0.004948
0.950000,0.015738,-0.008522,-0.002757,0.001444,-0.008474,0.004240
0.960000,-0.078243,-0.038134,0.118209,-0.006649,0.000252,0.000110
0.970000,0.023340,0.016003,0.048958,0.008694,-0.004407,0.003499
0.980000,-0.009075,0.029427,0.037858,-0.013656,-0.014908,-0.006282
0.990000,0.099258,-0.017619,0.046334,-0.003479,0.005054,-0.014778
1.000000,-0.010394,-0.047140,0.019912,0.004199,0.005229,-0.025160
1.010000,0.098703,-0.033990,-0.000504,-0.008708,-0.010776,-0.014642
1.020000,0.030637,0.014514,0.060914,-0.019005,0.016675,-0.009435
1.030000,-0.031422,-0.050929,0.051196,-0.004734,0.003438,-0.005711
1.040000,0.006437,-0.034729,0.103173,0.001380,0.008538,-0.018067
1.050000,0.001066,0.040776,-0.000682,-0.018262,0.000081,-0.017637
1.060000,-0.017063,-0.054751,0.032963,-0.008093,-0.012447,-0.004614
1.070000,-0.003811,-0.011569,0.006164,-0.010360,-0.002007,-0.027701
1.080000,0.007408,-0.002252,-0.002414,-0.006732,-0.008148,-0.002698
1.090000,0.001621,0.039734,0.011779,-0.017094,-0.007391,-0.020090
1.100000,-0.086080,-0.006139,0.017524,0.013528,-0.006147,-0.005696
1.110000,0.047383,0.000197,0.070809,0.002531,0.002583,0.005721
1.120000,-0.074466,-0.025923,0.024581,0.005773,0.005434,-0.006372
1.130000,-0.088928,-0.035815,-0.010511,-0.027197,0.016725,0.010881
1.140000,-0.007491,0.051904,0.029936,0.001822,0.003864,0.017527
1.150000,-0.015523,-0.086247,-0.030120,0.000555,-0.008092,0.002900
1.160000,0.019035,0.008486,0.000451,-0.008298,0.007467,-0.001308
1.170000,0.046811,0.047766,0.026382,-0.011822,-0.002924,-0.012883
1.180000,0.090193,-0.071051,-0.017885,-0.005812,-0.004402,-0.006477
1.190000,-0.069994,0.047167,-0.000295,0.004215,-0.004969,-0.002781
1.200000,-0.024968,-0.000842,-0.069235,0.004364,0.007160,-0.011211
1.210000,0.086841,0.054810,-0.113640,-0.009121,0.013743,-0.009352
1.220000,0.034691,-0.005098,0.006875,-0.012061,0.018582,-0.011598
1.230000,0.046191,-0.024375,0.067282,-0.007948,-0.001126,-0.001344
1.240000,-0.041706,-0.026382,0.037226,-0.015368,-0.007248,0.001092
1.250000,0.039594,-0.082559,0.018972,0.013401,0.007416,-0.003401
1.260000,0.038237,0.008912,-0.053201,-0.000319,0.004481,-0.004850
1.270000,0.024085,-0.094467,-0.011303,-0.006964,-0.007966,0.007554
1.280000,-0.019780,-0.049688,0.002963,-0.000425,-0.005239,-0.000460
1.290000,-0.012305,0.052369,-0.076093,-0.015698,0.010146,0.004994
1.300000,0.024257,-0.014675,0.093694,-0.006898,0.011612,-0.003308
1.310000,-0.099773,-0.036655,-0.017810,-0.010880,0.008425,0.003012
1.320000,-0.068358,-0.010700,0.041751,0.000194,-0.006152,-0.012938
1.330000,0.009112,0.031102,-0.016260,-0.013470,-0.009695,-0.002810
1.340000,-0.016808,-0.095562,-0.029953,0.003582,-0.011069,-0.000702
1.350000,0.024135,-0.005124,0.086782,0.006840,-0.007779,-0.004685
1.360000,0.008515,0.088596,-0.010469,-0.008991,-0.006177,-0.000699
1.370000,0.000720,0.000562,-0.000553,0.017161,0.017279,0.000869
1.380000,-0.004596,-0.000216,-0.001459,-0.013662,0.000006,-0.004376
1.390000,0.075070,-0.078106,-0.073142,-0.004232,-0.000508,0.008602
1.400000,0.046491,0.038202,-0.043242,-0.008015,0.010053,-0.005152
1.410000,-0.006262,-0.036330,-0.068993,0.001826,0.000833,-0.000759
1.420000,0.017227,-0.009979,0.018851,-0.007265,-0.002514,0.006055
1.430000,0.003836,0.176541,0.053709,-0.011851,0.013538,-0.013392
1.440000,0.045200,0.092981,0.001767,0.013273,-0.016703,0.002971
1.450000,0.079965,0.016123,0.006995,0.011993,0.006437,-0.011598
1.460000,0.056601,-0.023266,0.021068,-0.001120,-0.002819,-0.019296
1.470000,-0.049767,0.097600,0.065514,-0.009775,0.010133,-0.003709
1.480000,-0.052762,-0.067479,0.076485,-0.002562,-0.002921,0.002979
1.490000,-0.138184,0.102883,0.005526,0.011725,0.007573,-0.002270
1.500000,0.002404,-0.014066,-0.003091,-0.005894,0.008726,-0.005877
1.510000,0.047246,-0.030989,0.017254,0.001332,0.019846,-0.012059
1.520000,0.054120,-0.040593,0.026251,-0.010693,-0.004199,-0.009399
1.530000,-0.023755,0.075344,-0.049811,0.000515,-0.015288,0.013447
1.540000,0.066098,-0.018076,0.034794,-0.005859,-0.008691,0.010981
1.550000,-0.077499,-0.061046,-0.040937,0.006001,-0.004173,0.001698
1.560000,-0.076077,-0.098341,0.049838,-0.004331,-0.005723,-0.011228
1.570000,0.037130,-0.101659,-0.070289,0.006947,0.019259,-0.009811
1.580000,0.099723,-0.041758,0.013368,-0.001268,0.008045,0.008409
1.590000,-0.017321,-0.062069,-0.010503,-0.009376,0.003143,-0.009857
1.600000,0.055283,-0.024844,-0.019401,-0.013178,-0.016308,0.007252
1.610000,0.082928,-0.025082,0.003554,-0.012787,-0.002185,0.003727
1.620000,-0.000158,0.000140,-0.030090,0.011915,-0.000999,0.003310
1.630000,0.131099,0.038489,0.094625,0.004557,-0.006129,-0.006648
1.640000,-0.060811,0.016295,0.048779,-0.000072,-0.000078,0.018704
1.650000,-0.039045,0.007244,0.015892,0.001118,-0.001228,-0.003697
1.660000,0.044126,0.019137,0.062977,-0.004027,-0.002779,0.004229
1.670000,0.038374,-0.106376,0.076268,-0.000792,0.000564,0.003599
1.680000,-0.037530,0.006311,-0.007756,-0.005405,0.013116,-0.019658
1.690000,-0.004593,-0.001350,-0.007450,0.015021,-0.005086,-0.012176
1.700000,0.043767,-0.050397,-0.036077,0.011531,-0.014013,0.013964
1.710000,0.021815,-0.065087,0.108024,-0.019959,0.010107,-0.005173
1.720000,-0.014886,0.073798,-0.006505,-0.008165,0.014075,-0.009786
1.730000,-0.045457,0.009185,0.026729,-0.002441,-0.012930,0.001413
1.740000,-0.017338,-0.130029,-0.008941,0.005883,0.017576,0.004808
1.750000,-0.007051,-0.059157,0.072643,-0.009400,-0.002299,-0.007266
1.760000,0.006436,0.053231,0.037838,-0.001933,0.005908,-0.006955
1.770000,-0.052027,-0.063783,-0.039259,-0.011346,-0.002088,-0.002222
1.780000,0.026527,0.034957,0.083094,-0.003688,0.000991,-0.007398
1.790000,0.014446,0.018826,-0.042539,-0.002199,-0.013539,0.003212
1.800000,-0.088152,0.028126,-0.077189,-0.010369,0.001691,-0.011564
1.810000,0.043286,0.053070,0.023405,-0.008965,-0.004506,0.015202
1.820000,-0.015675,-0.018502,-0.011235,0.006454,-0.010656,0.003934
1.830000,0.090307,0.032721,0.035007,0.011454,-0.010902,-0.000424
1.840000,-0.001129,0.056199,-0.072122,0.005134,0.003813,0.002535
1.850000,-0.043299,-0.002661,0.009731,-0.013821,0.003719,-0.018805
1.860000,0.024953,-0.044358,-0.067153,-0.023400,-0.020677,0.017012
1.870000,-0.063197,0.003029,-0.047332,-0.014863,0.002594,0.014517
1.880000,-0.066261,-0.052419,0.041465,-0.000201,-0.003686,-0.001859
1.890000,-0.034093,0.098591,0.087188,0.008137,0.004779,0.008569
1.900000,-0.010387,-0.020031,0.035861,-0.001050,0.016248,0.002006
1.910000,-0.003900,0.007609,-0.016968,0.003846,0.002220,0.000768
1.920000,-0.068762,0.030141,0.025811,-0.001958,-0.019905,-0.012593
1.930000,0.039101,0.034088,-0.050620,-0.008446,-0.000153,-0.005333
1.940000,0.032829,-0.008276,0.037008,0.013135,0.010184,-0.013304
1.950000,-0.036117,0.076550,0.087422,-0.010341,-0.010600,-0.009897
1.960000,-0.032517,0.004582,0.013098,0.006231,-0.004264,-0.001247
1.970000,0.002699,-0.041368,-0.088459,0.013843,0.003758,-0.023252
1.980000,0.009616,-0.032519,0.017117,0.023749,-0.022585,-0.019905
1.990000,-0.008457,0.109919,-0.007578,0.005634,-0.000076,0.008947
2.000000,0.068129,-0.046787,0.044335,0.001689,0.012192,-0.006644
2.010000,0.008368,-0.006415,-0.024320,-0.004671,-0.007485,-0.001216
2.020000,0.033396,0.046591,0.006781,0.001258,0.010263,0.018003
2.030000,0.025715,0.047626,0.118871,0.003652,0.001681,0.001396
2.040000,0.099684,-0.029466,0.020682,0.002321,-0.004155,-0.010804
2.050000,0.028568,0.005180,0.017365,-0.008136,0.007561,0.011389
2.060000,-0.050802,-0.139922,0.033493,0.007311,0.002801,0.018666
2.070000,0.068364,-0.063604,-0.073065,0.004478,0.010157,0.003093
2.080000,0.034837,-0.029772,-0.057068,0.011006,0.011441,-0.012060
2.090000,0.009347,0.021015,0.057566,0.009690,0.000462,-0.012291
2.100000,-0.001720,-0.011577,0.016893,-0.011291,0.016329,0.000569
2.110000,0.042519,-0.013861,0.049044,-0.006009,-0.009626,-0.006666
2.120000,-0.042430,-0.118658,-0.003790,0.000107,0.009409,0.008623
2.130000,-0.017786,-0.024146,0.074736,0.026172,0.008615,0.000458
2.140000,0.041976,-0.084217,-0.021893,0.015395,-0.010996,0.009598
2.150000,0.020413,-0.033026,-0.118506,0.015235,0.006798,0.013022
2.160000,-0.005752,0.069079,0.044232,0.003750,0.010065,-0.006235
2.170000,-0.025496,0.039865,0.047373,0.006560,-0.010110,0.012859
2.180000,0.046508,0.065230,-0.052555,0.010681,-0.004052,-0.018596
2.190000,-0.021621,-0.000728,-0.044752,-0.007611,0.001025,-0.000924
2.200000,-0.038126,0.040478,0.083079,-0.011969,0.012025,0.007240
2.210000,-0.031309,-0.006892,0.017508,0.000939,0.005973,0.000472
2.220000,-0.006393,0.016105,0.005770,-0.022159,0.014856,0.021358
2.230000,-0.009757,-0.070642,0.025501,0.005285,-0.002795,-0.017549
2.240000,0.017821,0.078442,0.020698,-0.003879,-0.014047,-0.003965
2.250000,0.044331,-0.100946,0.015015,-0.007397,-0.000682,-0.003190
2.260000,-0.098187,0.016447,-0.012922,-0.000917,-0.002047,0.003991
2.270000,0.019397,0.032360,0.014958,-0.006548,-0.020287,-0.003437
2.280000,-0.051075,-0.008045,-0.043376,0.014602,-0.003498,-0.009867
