t,ax,ay,az,gx,gy,gz
0.000000,-0.029709,0.048903,0.057226,-0.009302,0.014358,-0.007018
0.010000,-0.026419,-0.040369,-0.016442,0.008025,0.014084,-0.005812
0.020000,0.007145,-0.021835,0.002892,0.007178,-0.002624,0.014421
0.030000,0.030360,-0.044293,0.016181,-0.018238,-0.002311,-0.001487
0.040000,0.004398,-0.034038,-0.120601,0.004391,0.002326,0.009399
0.050000,-0.013394,0.021133,-0.023372,-0.006608,0.003744,0.009436
0.060000,-0.035557,0.009732,0.033002,0.011728,0.007936,-0.030047
0.070000,-0.062451,-0.008773,-0.009898,-0.003851,0.009627,-0.008069
0.080000,0.118436,-0.049868,0.021673,-0.009094,-0.024862,-0.000266
0.090000,-0.036684,-0.010881,0.101427,0.009018,0.016031,-0.015787
0.100000,0.008250,0.044123,0.113619,-0.006980,-0.013165,-0.001360
0.110000,-0.007258,-0.005768,-0.076676,0.000918,-0.012412,0.000577
0.120000,0.100277,0.002208,-0.012286,0.017637,0.003695,-0.008794
0.130000,0.031229,-0.099652,-0.044323,-0.013824,-0.002247,0.017477
0.140000,0.033061,0.083005,0.062570,0.001054,0.001244,-0.015624
0.150000,-0.098636,0.104329,-0.043088,0.009631,0.004700,0.007175
0.160000,-0.026516,-0.000341,-0.020769,-0.002673,-0.004182,0.005602
0.170000,0.036041,-0.013569,0.052102,-0.003388,-0.005917,0.014004
0.180000,0.037539,0.030532,0.024903,-0.003678,0.005984,-0.007129
0.190000,0.066672,0.000456,0.039862,-0.002890,0.005915,-0.001526
0.200000,-0.078401,0.018061,0.082946,0.002135,-0.010791,-0.024936
0.210000,0.031433,-0.097571,-0.008642,0.001449,0.003953,-0.012432
0.220000,0.061662,-0.008937,0.030053,-0.007589,0.004409,0.004574
0.230000,0.044931,0.051862,-0.018069,0.002992,-0.005510,-0.003222
0.240000,-0.045340,-0.003521,-0.100963,-0.018422,-0.004812,-0.002837
0.250000,0.010984,-0.014876,0.010324,0.004337,-0.007141,0.011121
0.260000,0.048392,-0.052158,0.041432,-0.005642,0.002245,-0.011105
0.270000,-0.066775,0.093156,0.057880,0.000161,0.011972,0.012768
0.280000,0.045173,-0.050601,-0.019191,-0.006507,-0.008077,-0.017066
0.290000,0.028079,-0.039100,0.011386,-0.008159,0.002581,-0.001505
0.300000,-0.091327,-0.030376,0.013912,0.005535,-0.015355,-0.003904
0.310000,0.022177,-0.088867,-0.102068,0.009368,-0.017117,-0.011607
0.320000,-0.024061,-0.031341,-0.006405,-0.008215,-0.004365,0.005454
0.330000,-0.057425,0.050836,0.008831,0.002070,0.010356,0.005274
0.340000,0.051708,-0.005278,-0.024709,-0.001105,0.010245,-0.016582
0.350000,0.011166,0.048154,-0.036114,-0.011478,0.008678,0.026810
0.360000,-0.011245,-0.039358,-0.092224,-0.016215,0.012242,-0.008718
0.370000,0.140727,0.051019,-0.008464,-0.028417,0.013026,0.021993
0.380000,0.003889,-0.035207,-0.045920,-0.002982,-0.005134,0.003380
0.390000,-0.008875,-0.081286,-0.020454,0.009163,-0.003074,0.001416
0.400000,-0.013505,-0.040315,-0.099232,0.013076,-0.005139,-0.013776
0.410000,0.082091,0.007788,-0.053758,-0.009150,-0.012082,0.001779
0.420000,0.020902,-0.009173,0.049587,0.004976,0.031603,0.000953
0.430000,-0.036577,-0.038029,0.058231,0.015144,0.003424,0.003412
0.440000,0.006902,0.036542,0.063743,0.004845,-0.000282,-0.008904
0.450000,0.115256,-0.022292,0.093406,-0.003605,-0.003984,0.004619
0.460000,-0.015879,0.007081,0.086161,-0.000593,0.000048,0.001263
0.470000,0.027246,-0.036270,-0.012190,-0.007398,-0.003254,0.000920
0.480000,-0.038321,-0.001298,-0.026379,0.004010,0.008039,-0.006875
0.490000,-0.096568,-0.043353,-0.060093,-0.004816,0.013249,0.018618
0.500000,-0.097135,-0.116857,0.044098,0.018314,-0.011026,0.000252
0.510000,-0.097809,0.014420,-0.053963,-0.002612,-0.003801,-0.005149
0.520000,-0.039384,-0.000570,0.052327,0.015489,0.000351,0.004474
0.530000,-0.008229,-0.096541,0.014503,0.013684,0.003385,-0.002904
0.540000,-0.064375,-0.017227,-0.032637,-0.013692,-0.000112,0.011783
0.550000,0.026322,0.060468,0.033751,-0.009671,-0.011116,-0.018394
0.560000,-0.119413,0.009462,0.061817,-0.017344,0.021154,0.022692
0.570000,0.053580,-0.007216,-0.091738,0.018888,0.002197,0.005979
0.580000,0.034570,-0.077566,0.036018,0.002441,0.011671,-0.005606
0.590000,0.057280,-0.059460,-0.007313,-0.004394,-0.010822,-0.012567
0.600000,-0.033010,-0.035894,-0.011320,0.010714,0.006148,0.000030
0.610000,-0.093955,-0.023883,-0.053313,-0.001432,0.012967,0.005343
0.620000,-0.043014,0.006217,0.011748,-0.005950,0.013683,-0.000991
0.630000,0.067914,-0.081037,-0.035252,-0.008854,0.011193,0.010546
0.640000,0.009842,-0.039724,-0.095683,-0.011283,-0.002650,-0.012785
0.650000,-0.023918,-0.046295,0.050673,-0.023220,-0.004556,-0.013315
0.660000,0.109510,0.056686,0.005342,0.011197,-0.002651,-0.010658
0.670000,0.031332,-0.052738,0.068958,0.005060,0.008616,-0.000947
0.680000,0.023244,-0.010146,-0.023190,0.001935,0.005734,0.017794
0.690000,0.084987,-0.054896,0.071816,0.000999,0.006458,0.012225
0.700000,0.007309,-0.034405,0.003825,0.004461,0.005467,-0.009791
0.710000,-0.039741,-0.082287,-0.017371,-0.012328,-0.005242,-0.002169
0.720000,-0.097060,0.011072,0.022525,0.006844,-0.015243,-0.005166
0.730000,0.026976,0.005133,-0.029005,0.025114,0.007370,0.014212
0.740000,-0.000346,-0.015591,-0.059473,-0.007814,-0.007428,-0.009785
0.750000,-0.074008,-0.009355,0.026713,-0.000784,0.004855,-0.005840
0.760000,0.048767,-0.012028,0.024516,-0.007733,0.000189,-0.015463
0.770000,-0.074555,0.023148,0.018680,0.001580,0.002437,0.019947
0.780000,-0.004247,0.008222,0.030282,0.002784,-0.035817,0.011996
0.790000,-0.014817,-0.021629,-0.071802,0.011213,-0.000309,0.006522
0.800000,-0.010302,0.048112,0.012402,0.006584,-0.005911,0.011787
0.810000,-0.077132,0.021732,0.033719,0.003884,0.004885,-0.014516
0.820000,0.078486,-0.034977,0.032349,-0.006915,-0.004548,-0.003929
0.830000,0.058469,0.011879,-0.002075,-0.003817,0.002554,0.010465
0.840000,0.016631,0.015767,0.044395,0.003840,0.006193,0.004001
0.850000,0.071835,0.002005,-0.055385,0.003436,-0.008059,-0.002413
0.860000,-0.008892,-0.012662,0.012217,-0.009695,0.007343,0.015277
0.870000,-0.057626,0.040317,0.049518,0.003460,-0.011332,0.001895
0.880000,-0.005313,-0.032555,0.014326,-0.006855,-0.006555,-0.003559
0.890000,0.026571,-0.014045,0.034671,-0.009330,-0.001617,0.004206
0.900000,-0.002913,-0.031007,-0.022300,0.001939,-0.005645,0.004251
0.910000,-0.020477,-0.035685,0.011101,0.013497,-0.013931,-0.001079
0.920000,0.073231,-0.014715,0.039236,0.000883,0.001757,0.015947
0.930000,0.055319,0.081480,0.027341,-0.010185,-0.004999,0.007248
0.940000,-0.061737,-0.082582,-0.069400,-0.005591,0.002686,-0.011005
0.950000,-0.065724,-0.032568,-0.031585,-0.011768,-0.002433,0.011945
0.960000,0.021147,0.029695,-0.115860,0.007058,0.009612,-0.021663
0.970000,-0.065895,-0.030879,-0.026453,0.001155,0.003381,-0.014251
0.980000,0.012787,0.058333,-0.063393,0.010834,0.006633,0.001883
0.990000,0.158343,0.018358,-0.079998,0.015362,0.014293,0.000454
1.000000,-0.007817,-0.035360,-0.113456,0.012847,-0.002246,0.000462
1.010000,-0.019507,0.032688,-0.012704,-0.001831,0.011378,0.000593
1.020000,0.038663,-0.063464,0.067274,-0.009974,0.012854,-0.000958
1.030000,0.045813,0.046329,-0.121758,-0.001943,-0.015953,-0.005206
1.040000,0.011750,0.023410,0.067611,0.000794,0.015536,0.012345
1.050000,-0.075803,-0.000766,0.077422,0.009989,-0.023145,-0.002095
1.060000,-0.056126,0.091052,-0.104636,-0.003631,0.011064,-0.002042
1.070000,0.016956,0.000883,0.004151,-0.004070,-0.011117,-0.005726
1.080000,0.079810,-0.020534,0.025468,-0.031222,-0.014836,0.006760
1.090000,0.019147,0.053630,-0.038159,0.005180,-0.005446,-0.005639
1.100000,0.031320,-0.018908,0.057921,0.013713,0.013349,-0.001556
1.110000,-0.025333,0.050507,-0.033404,0.017883,-0.004745,0.014748
1.120000,-0.034555,-0.045637,-0.025897,0.000605,0.014487,-0.015450
1.130000,-0.019873,-0.086493,0.016972,0.007264,-0.004047,0.008777
1.140000,0.024722,-0.050312,0.000410,0.008112,0.003447,0.017112
1.150000,-0.054986,-0.054373,0.033360,-0.003378,0.007649,-0.001412
1.160000,0.070269,0.055961,-0.069662,0.001194,0.000853,-0.010388
1.170000,-0.001020,0.076795,0.038124,0.000370,-0.000605,0.000371
1.180000,0.057259,0.083640,0.105088,0.005821,-0.008625,-0.000120
1.190000,-0.031870,-0.071060,0.171422,0.005323,0.003086,0.001145
1.200000,-0.014081,-0.017862,-0.013262,0.013757,-0.005581,0.005952
1.210000,0.071365,-0.007775,0.054074,0.004557,-0.003916,-0.022459
1.220000,0.049632,-0.020571,0.011602,-0.015597,-0.006709,0.004457
1.230000,-0.044027,0.047354,-0.100103,0.005163,-0.000289,0.004365
1.240000,-0.009214,-0.009735,0.029605,-0.002525,-0.004620,-0.003450
1.250000,0.006672,-0.018619,-0.016553,-0.006515,0.000670,-0.001984
1.260000,-0.011983,0.042119,0.007426,0.013254,-0.011910,0.007019
1.270000,0.000758,-0.015671,0.014571,-0.001442,-0.015270,-0.006000
1.280000,0.126922,0.033162,-0.017969,0.008763,-0.004999,-0.023339
1.290000,-0.040378,0.008581,0.027549,0.013712,0.007290,-0.011190
1.300000,0.003758,-0.016315,-0.042295,-0.013953,-0.007065,0.004939
1.310000,0.008116,0.059246,-0.062292,0.009795,-0.015971,0.003732
1.320000,-0.006239,0.019802,-0.039115,-0.004795,0.009990,0.019438
1.330000,0.055157,-0.050763,-0.013435,-0.010983,0.012479,0.000425
1.340000,0.034836,0.113411,0.003610,0.014249,0.005856,0.002842
1.350000,-0.039007,0.044195,-0.022730,-0.013363,0.001289,0.011541
1.360000,-0.003853,0.024580,-0.043561,-0.003893,-0.010555,0.001161
1.370000,-0.058850,0.004784,0.077168,0.006500,0.010585,0.014105
1.380000,0.133885,0.010372,-0.024341,-0.011539,0.002610,0.001299
1.390000,0.003994,0.023171,0.006301,0.004274,-0.006526,-0.000768
1.400000,0.047478,-0.020650,-0.005623,-0.010364,0.008479,-0.018700
1.410000,-0.003459,-0.021215,0.083620,-0.002667,-0.002427,-0.007479
1.420000,-0.042181,0.068091,0.002594,-0.002558,-0.011875,0.014995
1.430000,-0.053553,-0.034707,-0.066670,0.005487,-0.013246,0.005841
1.440000,-0.006304,0.000726,0.037106,0.014485,-0.003585,-0.003605
1.450000,0.122502,0.006955,-0.006991,0.005035,0.008798,0.006427
1.460000,0.019987,0.064638,0.013680,0.003989,-0.000169,0.003148
1.470000,-0.002277,-0.025476,0.063133,0.016839,-0.014383,0.005887
1.480000,0.008454,-0.022823,0.002914,-0.019509,-0.004271,-0.002123
1.490000,-0.022840,-0.024786,0.021277,-0.000745,-0.002634,-0.002845
1.500000,0.070975,-0.023503,0.000614,-0.006438,0.004472,0.009836
1.510000,-0.005383,0.009366,0.018460,0.025243,0.003024,-0.007091
1.520000,0.120768,0.068585,-0.051494,0.005294,-0.005984,-0.006479
1.530000,-0.003247,-0.032622,0.068857,-0.015138,-0.010007,-0.019461
1.540000,0.012039,0.105489,-0.015020,-0.002998,0.003550,0.007478
1.550000,-0.072460,0.028394,0.097513,0.002111,0.018670,-0.001488
1.560000,-0.033435,0.025420,-0.003599,0.007558,-0.011917,-0.012232
1.570000,-0.053724,0.032607,-0.015338,-0.001472,-0.005320,0.013583
1.580000,0.016400,-0.078068,-0.057531,-0.016936,0.010052,0.006827
1.590000,-0.001644,0.030246,-0.048411,0.007126,-0.005557,0.002959
1.600000,0.028066,-0.072851,-0.023102,0.008316,0.001736,-0.002136
1.610000,0.023155,-0.056824,0.000027,0.006044,-0.012367,-0.013667
1.620000,-0.029786,-0.041853,-0.013843,0.005493,0.019237,0.010576
1.630000,-0.030014,0.039154,0.017598,-0.012513,0.001737,0.002078
1.640000,-0.013998,-0.057104,0.028261,0.014494,-0.014739,-0.006153
1.650000,0.019678,-0.050787,0.060258,0.006767,0.003511,0.002666
1.660000,0.004160,-0.005423,0.080064,0.027089,0.013441,0.023053
1.670000,0.005088,-0.036043,-0.032058,0.004771,0.001043,-0.014263
1.680000,0.001651,-0.005350,-0.017286,0.001239,0.007279,0.004022
1.690000,0.069234,-0.044542,0.040452,-0.006772,0.006329,-0.000125
1.700000,0.006250,0.014455,0.028003,-0.008862,0.002087,-0.013332
1.710000,0.118870,0.044530,-0.044955,-0.021307,-0.006646,-0.013255
1.720000,-0.050757,0.017831,0.045788,0.010633,-0.009783,0.011131
1.730000,0.027727,-0.117802,0.050298,0.006286,0.004825,-0.007521
1.740000,0.096777,0.043972,0.031589,0.002077,0.009925,0.026579
1.750000,-0.008312,0.015752,-0.064870,-0.005746,0.021322,0.003396
1.760000,-0.093023,-0.016220,0.071128,0.008678,-0.009272,-0.006835
1.770000,0.114546,-0.004391,-0.066401,-0.018356,0.013186,-0.002473
1.780000,-0.046255,0.009961,0.046186,0.005321,-0.003829,-0.008807
1.790000,-0.097911,-0.039411,-0.002662,-0.000701,0.014008,0.005809
1.800000,-0.053964,-0.043765,-0.001626,-0.003075,0.008092,-0.004561
1.810000,-0.014077,-0.003131,-0.049190,0.002258,-0.013899,0.017657
1.820000,-0.027425,-0.055643,-0.007641,-0.006552,0.022081,-0.011705
